Round,File Viewing,Python,SQL Query,Other,File Operating,Python Debug,System Operations,Package Management,Action Parse Failed,SQL Update,SQL Debug
1,164,90,8,1,0,0,0,0,0,0,0
2,116,105,7,1,8,15,2,2,6,1,0
3,104,83,6,0,12,19,9,3,23,1,1
4,34,94,9,0,26,30,10,4,43,0,1
5,40,69,6,0,9,44,11,2,48,1,0
6,34,62,6,1,13,34,15,3,32,0,3
7,28,52,8,2,15,33,8,1,19,1,3
8,32,48,4,2,8,27,16,2,14,1,1
9,24,40,5,2,11,26,9,2,16,0,2
10,19,41,4,2,11,18,6,2,14,0,4
11,20,44,4,2,7,13,6,2,13,2,0
12,19,34,4,2,11,18,3,2,8,0,2
13,14,41,3,2,10,13,1,2,8,0,2
14,17,32,3,2,7,20,2,2,7,1,2
15,19,37,2,2,10,13,1,2,3,1,2
16,16,35,3,2,10,14,1,2,2,0,3
17,16,40,1,2,8,11,2,2,3,1,1
18,17,30,3,1,9,16,1,2,3,0,3
19,15,37,2,2,9,11,1,2,2,1,2
20,17,30,2,1,8,16,1,2,0,1,2
