Round,Action Parse Failed,File Viewing,Python,SQL Query,File Operating,System Operations,Python Debug,Other,Package Management,SQL Debug,Data Processing
1,236,21,7,0,0,0,0,0,0,0,0
2,8,55,194,5,1,1,0,0,0,0,0
3,1,150,60,1,12,13,23,2,1,0,0
4,3,56,122,1,31,8,26,1,3,0,0
5,3,71,80,3,12,21,51,0,2,0,0
6,2,41,79,2,13,35,45,1,1,3,0
7,1,34,60,3,5,33,48,1,1,1,0
8,3,35,43,3,1,23,43,1,0,2,0
9,2,23,38,4,3,19,36,2,0,1,0
10,0,8,45,1,3,20,26,2,1,3,1
11,0,9,24,2,1,17,35,2,0,0,0
12,1,12,20,1,0,9,29,1,0,0,0
13,0,11,19,0,1,6,25,0,0,0,0
14,0,3,19,1,2,10,20,0,0,0,1
15,0,7,15,1,0,5,17,1,0,0,0
16,0,8,16,0,0,5,10,0,0,1,0
17,0,3,13,1,0,3,14,0,0,0,0
18,0,5,8,1,0,3,14,0,0,0,0
19,1,3,6,0,0,2,15,0,0,1,0
20,0,3,11,1,0,2,9,0,0,0,0
