Round,File Viewing,Action Parse Failed,Python,File Operating,Package Management,SQL Query,System Operations,Data Processing,SQL Update,Python Debug
1,263,1,1,0,0,0,0,0,0,0
2,261,0,1,3,0,0,0,0,0,0
3,237,1,19,1,3,3,1,0,0,0
4,129,9,116,1,1,1,0,2,3,2
5,107,4,113,0,3,3,14,3,1,16
6,85,2,54,0,6,1,70,1,1,30
7,39,0,54,0,1,1,64,1,0,20
8,35,1,29,0,1,1,31,0,0,18
9,20,0,17,0,0,1,32,1,0,14
10,12,0,13,0,0,1,15,1,0,11
11,6,0,18,0,0,0,10,0,0,4
12,3,0,14,0,0,0,5,0,0,6
13,4,0,11,0,0,0,2,0,0,6
14,5,0,5,0,0,0,4,0,0,6
15,3,1,4,0,0,0,4,0,0,4
16,1,1,6,0,0,0,1,0,0,3
17,4,1,5,0,0,0,0,0,0,0
18,2,1,4,0,0,0,1,0,0,0
19,2,1,2,0,0,0,1,0,0,1
20,2,0,2,0,0,0,0,0,0,1
