Round,File Viewing,Python,SQL Query,File Operating,Package Management,System Operations,Python Debug,Data Processing,SQL Update,SQL Debug,Action Parse Failed,Other
1,262,1,1,1,0,0,0,0,0,0,0,0
2,220,35,0,9,1,0,0,0,0,0,0,0
3,160,83,3,2,3,2,12,0,0,0,0,0
4,111,117,3,5,6,7,12,1,1,0,0,0
5,82,108,1,0,1,28,33,1,1,1,0,0
6,70,58,2,1,0,57,40,0,0,0,0,0
7,43,34,1,1,1,58,33,0,0,0,0,0
8,23,29,1,0,0,37,23,0,0,0,0,0
9,15,25,1,0,0,18,17,0,0,0,0,0
10,13,21,0,0,0,12,12,0,0,0,0,0
11,9,15,0,0,0,8,14,0,0,0,0,0
12,7,15,0,0,0,7,9,0,0,0,0,0
13,8,9,0,0,0,5,9,0,0,0,0,0
14,5,7,0,0,0,4,10,0,0,0,0,0
15,7,5,0,0,0,4,5,0,0,0,1,0
16,3,6,0,0,0,4,5,0,0,0,0,0
17,3,6,0,0,0,1,4,0,0,0,0,0
18,2,8,0,0,0,0,3,0,0,0,0,0
19,3,4,0,0,0,1,4,0,0,0,0,1
20,2,3,0,0,0,3,3,0,0,0,0,1
