Round,File Viewing,Python,System Operations,SQL Query,Data Processing,File Operating,Package Management,Other,Action Parse Failed,Python Debug,SQL Update,SQL Debug
1,247,10,8,0,0,0,0,0,0,0,0,0
2,154,95,7,1,1,1,3,2,1,0,0,0
3,43,186,6,0,0,1,3,0,2,23,1,0
4,36,142,11,1,1,1,5,1,3,62,0,0
5,19,112,32,1,0,1,4,0,2,84,0,0
6,15,73,50,2,1,1,0,0,1,83,0,0
7,9,74,25,0,0,1,2,0,0,66,0,1
8,4,65,28,2,0,1,0,0,0,56,0,0
9,2,37,28,1,0,1,2,0,0,59,0,1
10,5,36,25,0,0,1,1,0,1,38,0,1
11,4,20,21,1,2,1,0,0,0,38,0,0
12,0,19,17,0,0,1,0,0,2,30,0,0
13,7,13,12,1,1,1,0,0,0,23,0,0
14,4,18,7,0,0,0,0,0,1,19,1,0
15,3,12,6,1,2,1,0,0,2,20,0,0
16,4,12,9,1,0,1,0,0,0,17,0,0
17,4,13,6,0,1,0,0,0,0,15,0,0
18,4,10,5,0,0,0,1,0,3,12,0,0
19,7,8,7,0,1,0,0,0,0,9,0,0
20,3,10,4,0,0,0,0,0,0,10,0,0
