Round,SQL Query,Python,File Viewing,Action Parse Failed,SQL Debug,Python Debug,System Operations,Other,Package Management,File Operating,SQL Update
1,7,37,2,0,0,0,0,0,0,0,0
2,2,12,18,1,6,6,1,0,0,0,0
3,0,10,13,1,3,9,5,1,3,0,0
4,0,11,13,2,0,8,4,1,1,0,0
5,0,8,11,1,0,11,2,1,2,2,0
6,2,7,12,1,0,11,3,1,1,0,0
7,1,9,8,0,1,9,5,1,0,1,1
8,3,6,10,1,0,7,4,0,0,1,0
9,0,5,11,2,1,7,3,0,0,0,0
10,1,5,11,1,0,6,1,0,0,1,0
11,1,3,11,1,0,8,1,0,0,1,0
12,1,7,7,2,1,5,0,0,0,2,0
13,5,4,6,0,2,6,1,0,0,1,0
14,3,7,1,1,3,7,0,1,0,0,1
15,3,4,1,0,5,9,1,0,0,1,0
16,3,4,5,0,4,6,0,0,0,1,0
17,1,2,5,2,5,7,1,0,0,0,0
18,6,6,2,1,1,3,1,1,0,1,0
19,3,3,5,0,4,5,0,0,0,1,0
20,3,3,1,0,4,7,0,0,0,1,0
