Round,File Viewing,Python,Action Parse Failed,System Operations,SQL Query,Package Management,Other,File Operating,Python Debug,SQL Debug,SQL Update,Data Processing
1,250,14,1,0,0,0,0,0,0,0,0,0
2,89,157,0,10,3,1,1,3,1,0,0,0
3,76,130,0,11,4,4,0,0,30,0,0,0
4,35,133,0,19,0,2,0,0,55,1,1,0
5,47,59,0,35,2,3,1,1,79,0,0,2
6,27,62,0,48,1,0,1,0,55,0,0,1
7,14,36,1,36,1,0,1,1,58,0,0,0
8,16,27,0,20,1,1,0,0,48,1,0,0
9,7,21,0,23,1,0,0,0,43,0,0,0
10,4,18,0,20,1,0,0,0,31,0,0,0
11,5,14,0,8,0,0,0,0,28,0,0,0
12,4,10,0,10,0,0,0,0,25,0,0,0
13,3,6,0,7,0,0,0,1,23,0,0,0
14,2,7,0,4,0,0,0,0,20,0,0,0
15,2,4,1,2,0,0,0,0,20,0,0,0
16,2,5,0,3,0,0,0,1,16,0,0,0
17,0,4,0,4,0,0,0,0,16,0,0,0
18,0,3,0,4,0,0,0,0,13,0,0,0
19,0,4,0,2,0,0,0,0,10,0,0,0
20,1,2,0,3,0,0,0,0,8,0,0,0
