Round,File Viewing,SQL Query,Other,Python,SQL Debug,File Operating,Python Debug,SQL Update,Package Management,System Operations,Data Processing
1,475,13,2,10,0,0,0,0,0,0,0
2,371,27,1,87,1,1,3,9,0,0,0
3,227,31,0,204,5,9,10,9,2,3,0
4,136,40,0,240,9,1,26,19,4,22,0
5,114,33,2,178,10,0,50,21,11,57,2
6,94,15,1,145,22,0,52,13,2,79,2
7,88,15,0,115,13,0,41,12,4,58,4
8,69,13,0,73,9,4,44,7,1,65,7
9,47,7,0,51,10,0,43,8,1,60,0
10,44,7,0,50,6,0,21,4,0,37,1
11,23,4,0,31,3,3,21,2,0,46,0
12,19,4,0,20,4,0,13,2,0,25,0
13,19,4,0,8,2,0,11,1,0,17,0
14,17,4,0,8,3,0,4,0,0,10,0
15,4,0,0,6,4,1,4,1,0,17,0
16,3,2,0,8,1,0,3,0,0,3,0
17,0,2,0,4,1,0,4,0,0,6,0
18,1,2,0,4,0,0,3,1,0,1,0
19,1,2,0,4,0,0,2,1,0,1,0
20,1,1,0,3,0,0,4,1,0,0,0
