Round,SQL Query,File Viewing,Python,SQL Update,Other,Action Parse Failed,File Operating,Python Debug,System Operations,SQL Debug,Data Processing,Package Management
1,27,196,237,24,10,1,5,0,0,0,0,0
2,2,134,17,2,11,228,17,65,6,13,5,0
3,5,106,59,5,13,231,2,36,10,8,13,12
4,5,83,53,4,8,264,10,23,0,1,14,26
5,3,83,61,6,8,47,6,19,0,1,9,20
6,5,85,50,3,8,44,2,9,0,1,9,16
7,2,75,35,2,11,27,5,15,14,4,9,6
8,3,81,37,4,11,31,3,4,0,1,9,4
9,3,81,29,2,7,10,2,4,14,1,10,4
10,2,76,21,2,4,17,7,0,10,0,10,4
11,1,77,11,1,0,26,6,0,4,0,10,4
12,1,80,12,0,4,17,3,0,10,0,10,0
13,1,81,10,1,0,2,2,3,14,0,10,4
14,1,80,8,0,4,12,3,0,10,0,10,0
15,1,74,15,1,0,10,2,0,4,0,10,4
16,1,69,13,1,4,0,7,0,10,0,10,4
17,1,74,6,0,0,4,2,0,14,0,10,0
18,1,69,3,0,4,1,7,3,10,0,9,4
19,1,71,6,0,0,1,2,0,4,0,9,0
20,1,66,6,0,4,0,7,0,0,0,9,0
