Round,Action Parse Failed,SQL Query,Python,Other,File Viewing,SQL Debug,Python Debug,System Operations,File Operating
1,450,4,8,1,37,0,0,0,0
2,435,3,11,1,48,2,0,0,0
3,432,3,24,1,35,4,1,0,0
4,7,0,19,1,26,5,13,0,0
5,13,9,21,1,19,2,5,1,0
6,13,3,17,1,25,1,9,1,0
7,22,3,12,1,16,1,6,1,1
8,10,1,17,1,14,3,8,1,0
9,12,10,11,1,11,1,1,1,0
10,5,4,13,1,14,3,2,0,3
11,2,4,6,1,15,0,6,3,3
12,1,8,10,1,11,0,3,3,0
13,7,4,11,1,8,0,3,0,0
14,5,3,9,1,10,0,6,0,0
15,9,6,5,1,8,1,1,0,0
16,3,2,14,1,8,1,1,0,0
17,6,3,8,1,8,0,4,0,0
18,2,7,9,1,7,0,0,0,0
19,0,3,12,1,7,0,0,0,0
20,0,3,9,1,6,0,4,0,0
