Round,File Viewing,Python,SQL Query,SQL Update,Other,File Operating,Python Debug,System Operations,SQL Debug,Package Management,Action Parse Failed
1,298,147,33,19,3,0,0,0,0,0,0
2,223,167,30,16,1,17,22,7,4,4,9
3,191,144,23,18,0,21,31,13,8,4,40
4,69,151,30,13,0,44,50,22,11,6,83
5,70,115,18,16,0,22,70,23,10,2,94
6,65,93,20,8,3,24,55,31,17,4,69
7,45,89,17,13,6,27,50,16,14,1,42
8,56,70,10,12,6,14,48,34,9,3,28
9,45,62,12,8,6,21,41,15,12,2,31
10,31,63,12,7,6,17,33,13,11,3,30
11,33,68,12,9,6,14,24,13,3,2,26
12,35,50,12,7,6,18,31,7,7,3,17
13,20,66,11,3,6,21,22,3,8,2,16
14,27,50,10,7,6,11,35,7,9,3,10
15,35,55,9,7,6,18,24,3,7,2,5
16,26,53,12,5,6,18,27,3,7,3,2
17,23,63,7,4,6,17,20,6,7,2,6
18,29,47,11,6,3,14,27,3,8,3,6
19,25,56,7,6,6,18,22,3,8,2,3
20,28,46,8,6,3,14,27,3,9,3,0
