Round,Action Parse Failed,File Viewing,Python,SQL Update,SQL Query,File Operating,System Operations,Python Debug,Other,SQL Debug,Package Management,Data Processing
1,448,41,9,2,0,0,0,0,0,0,0,0
2,17,100,314,22,44,1,2,0,0,0,0,0
3,2,290,99,10,9,17,20,40,4,4,3,0
4,8,101,206,8,25,57,14,45,2,6,7,0
5,5,134,127,14,17,25,45,75,0,18,5,0
6,3,81,129,10,15,21,67,71,1,20,2,0
7,3,61,96,6,13,7,61,87,1,16,2,0
8,6,61,76,5,9,1,41,74,2,16,0,0
9,3,41,62,8,10,5,37,65,4,7,0,0
10,0,15,71,7,9,5,39,43,3,10,1,3
11,0,16,37,5,6,2,33,58,3,8,0,0
12,2,20,38,2,4,0,15,43,2,8,0,0
13,0,20,30,2,2,2,12,40,0,7,0,0
14,0,6,33,2,5,2,19,31,0,4,0,1
15,0,12,20,1,4,0,8,34,2,3,0,0
16,0,14,27,3,3,0,7,17,0,4,0,0
17,0,5,18,4,5,0,3,27,0,3,0,0
18,0,10,11,1,5,0,7,24,0,4,0,0
19,1,6,11,1,1,0,5,22,0,8,0,0
20,0,6,16,2,5,0,3,16,0,2,0,0
