Round,File Viewing,SQL Query,Python,File Operating,Package Management,SQL Update,System Operations,Python Debug,SQL Debug,Data Processing,Action Parse Failed,Other
1,484,12,3,1,0,0,0,0,0,0,0,0
2,401,17,56,17,3,6,0,0,0,0,0,0
3,303,15,134,5,4,12,2,21,4,0,0,0
4,205,22,192,7,9,19,17,22,3,2,0,0
5,153,13,174,0,3,20,43,62,11,2,0,0
6,136,17,83,2,0,10,111,71,8,0,0,0
7,75,6,62,3,2,7,109,56,7,0,0,0
8,48,5,49,0,0,7,65,39,5,0,0,0
9,29,4,44,0,0,2,41,27,6,0,0,0
10,23,1,40,0,0,6,21,16,5,0,0,0
11,18,1,27,0,0,3,16,21,5,0,0,0
12,11,2,27,0,0,3,15,13,4,0,0,0
13,13,0,15,0,0,3,9,15,5,0,0,0
14,10,1,11,0,0,2,8,16,3,0,0,0
15,14,0,6,0,0,0,9,8,3,0,3,0
16,8,0,10,0,0,2,6,8,0,0,0,0
17,5,1,10,0,0,2,2,7,1,0,0,0
18,6,0,13,0,0,2,0,4,1,0,0,0
19,3,1,6,0,0,2,3,7,1,0,0,3
20,5,0,4,0,0,1,5,5,0,0,0,3
