Round,File Viewing,Action Parse Failed,Python,SQL Query,File Operating,SQL Update,Package Management,System Operations,Data Processing,Python Debug,SQL Debug
1,496,1,3,0,0,0,0,0,0,0,0
2,466,0,1,26,7,0,0,0,0,0,0
3,449,1,19,16,2,5,5,3,0,0,0
4,246,17,176,27,1,20,2,0,4,4,0
5,191,6,193,23,0,17,6,22,6,28,5
6,173,4,83,12,0,8,12,122,2,52,7
7,74,0,92,18,0,6,1,126,1,33,2
8,75,2,47,7,0,2,3,53,0,34,4
9,42,0,36,2,0,2,0,66,3,20,3
10,26,0,22,3,0,2,0,31,3,20,1
11,15,0,29,5,0,1,0,19,0,8,0
12,7,0,30,1,0,0,0,9,0,8,3
13,12,0,18,1,0,1,0,5,0,9,3
14,15,0,7,0,0,1,0,10,0,9,1
15,6,3,9,0,0,0,0,10,0,3,2
16,4,3,9,0,0,1,0,1,0,4,1
17,7,3,9,1,0,0,0,0,0,0,0
18,5,3,6,0,0,1,0,1,0,0,0
19,5,3,3,0,0,0,0,1,0,3,0
20,7,0,2,0,0,1,0,0,0,1,0
