Round,File Viewing,SQL Query,Python,Package Management,SQL Update,System Operations,Other,File Operating,Data Processing,Python Debug,SQL Debug,Action Parse Failed
1,431,11,40,14,4,0,0,0,0,0,0,0
2,249,20,179,10,12,11,1,3,1,11,3,0
3,148,18,178,17,11,39,1,4,1,60,11,3
4,97,21,190,10,14,47,2,0,3,56,9,3
5,65,11,134,3,14,80,2,2,5,85,5,3
6,54,6,92,14,7,82,1,0,2,65,6,2
7,25,4,90,3,7,44,0,0,2,68,8,0
8,27,1,40,3,3,70,2,1,2,54,5,0
9,22,2,54,0,1,26,0,0,0,29,4,0
10,15,0,34,0,3,35,0,0,0,22,3,0
11,11,0,20,3,1,15,0,0,0,25,2,0
12,4,0,21,0,2,9,3,0,0,23,0,0
13,3,0,17,3,2,2,0,0,0,26,0,0
14,9,0,11,0,3,5,1,0,0,22,0,0
15,0,0,7,0,2,5,1,0,0,26,2,3
16,2,0,11,0,0,6,0,0,0,18,4,0
17,3,0,9,0,0,4,0,0,0,17,2,0
18,4,0,8,1,0,3,0,0,0,14,1,0
19,0,0,11,0,1,0,0,0,0,15,1,0
20,3,0,8,0,0,2,0,0,0,14,1,0
