Round,File Viewing,Python,SQL Query,SQL Update,System Operations,Data Processing,File Operating,Package Management,Other,Action Parse Failed,Python Debug,SQL Debug
1,466,15,2,2,15,0,0,0,0,0,0,0
2,289,154,14,17,10,2,1,9,3,1,0,0
3,77,311,20,23,15,0,1,5,0,4,38,6
4,70,223,13,17,24,1,3,11,2,7,104,20
5,34,185,11,19,66,0,2,6,0,6,129,21
6,34,107,12,12,94,1,2,0,0,3,137,18
7,21,116,8,12,45,0,2,4,0,0,107,15
8,7,116,12,3,54,0,2,0,0,0,81,17
9,5,54,9,7,54,0,2,4,0,0,96,14
10,9,61,4,3,50,0,2,3,0,2,59,12
11,5,36,3,2,36,3,2,0,0,0,70,9
12,0,39,1,3,37,0,2,0,0,3,48,5
13,16,21,2,2,25,1,2,0,0,0,42,2
14,7,29,1,4,14,0,0,0,0,4,37,1
15,6,17,2,4,13,3,4,0,0,4,35,2
16,10,16,5,2,15,0,4,0,0,0,32,2
17,9,24,1,4,10,1,0,0,0,0,27,2
18,11,18,1,1,11,0,0,1,0,5,25,0
19,14,15,0,3,14,1,0,0,0,0,17,1
20,7,17,0,2,7,0,0,0,0,0,20,2
