Round,File Viewing,SQL Query,Python,Package Management,SQL Update,Python Debug,File Operating,System Operations,SQL Debug,Data Processing,Action Parse Failed,Other
1,439,13,34,14,0,0,0,0,0,0,0,0
2,237,42,200,9,1,4,2,4,1,0,0,0
3,144,25,201,12,0,81,5,21,6,1,4,0
4,143,21,159,10,3,92,3,37,11,2,0,0
5,85,16,135,3,2,108,2,81,9,7,0,0
6,59,20,115,4,1,113,2,48,10,0,0,0
7,70,17,102,1,1,80,2,45,5,3,0,0
8,54,14,89,1,1,72,6,40,4,1,0,1
9,35,5,94,0,0,61,3,33,6,3,2,2
10,29,6,72,2,1,80,2,18,2,0,0,0
11,29,4,80,5,0,54,3,14,3,3,0,0
12,18,9,87,2,1,56,0,6,3,0,0,0
13,29,4,81,1,0,48,1,5,4,3,0,1
14,21,4,77,4,1,55,3,3,4,0,0,1
15,25,7,83,2,0,47,0,2,2,3,0,0
16,23,4,73,2,0,59,0,5,3,0,1,0
17,31,5,84,5,0,32,3,1,2,3,0,0
18,16,6,82,1,0,53,1,1,4,0,1,1
19,31,3,85,1,0,37,0,1,4,3,0,1
20,21,6,76,5,0,51,3,1,2,0,0,0
