Round,File Viewing,Python,SQL Query,Action Parse Failed,System Operations,SQL Update,Package Management,Other,File Operating,Python Debug,SQL Debug,Data Processing
1,459,29,10,2,0,0,0,0,0,0,0,0
2,167,249,28,0,22,20,3,2,7,2,0,0
3,134,210,31,0,19,16,9,0,0,51,8,0
4,63,206,19,0,39,25,3,0,0,92,14,0
5,86,95,13,0,63,7,6,2,1,125,22,4
6,47,94,11,0,88,7,0,2,0,97,15,1
7,27,61,5,3,59,6,0,2,2,97,13,0
8,28,50,7,0,35,6,1,0,0,78,13,0
9,10,36,3,0,42,1,0,0,0,79,13,0
10,6,26,3,0,37,3,0,0,0,61,8,0
11,8,20,2,0,16,3,0,0,0,53,6,0
12,8,16,2,0,18,2,0,0,0,41,7,0
13,5,10,0,0,17,1,0,0,1,36,7,0
14,2,11,0,0,9,1,0,0,0,30,7,0
15,3,8,0,3,4,1,0,0,0,27,5,0
16,4,8,1,0,5,1,0,0,2,21,5,0
17,0,6,1,0,8,0,0,0,0,22,5,0
18,0,4,0,0,8,0,0,0,0,18,4,0
19,0,5,1,0,2,0,0,0,0,15,3,0
20,1,3,0,0,6,0,0,0,0,12,2,0
