Round,File Viewing,SQL Query,Python,SQL Update,Other,System Operations,Data Processing,File Operating,Python Debug,SQL Debug,Package Management,Action Parse Failed
1,462,28,8,2,0,0,0,0,0,0,0,0
2,232,26,206,10,11,2,2,11,0,0,0,0
3,221,31,164,6,4,0,0,5,60,9,0,0
4,97,36,203,23,0,55,11,6,60,7,2,0
5,102,31,149,15,6,44,0,0,78,21,0,0
6,70,17,136,7,0,67,6,5,73,14,7,0
7,46,20,80,6,0,81,0,0,96,6,0,0
8,42,14,80,4,0,64,0,0,48,4,0,0
9,16,16,73,2,0,16,0,0,62,7,0,0
10,27,11,48,3,0,30,0,0,55,2,0,0
11,20,8,46,4,0,23,0,0,39,6,0,0
12,21,12,22,3,0,29,0,0,35,1,0,0
13,7,8,16,2,0,25,0,0,31,5,0,0
14,6,6,13,0,0,7,0,0,34,3,0,0
15,0,4,10,0,0,8,0,0,37,3,0,0
16,0,2,11,0,0,0,0,0,32,5,0,4
17,0,6,22,0,0,0,0,0,21,1,0,4
18,0,2,8,0,0,0,0,0,31,3,0,6
19,6,0,3,0,0,6,0,0,28,3,0,4
20,6,0,10,0,0,0,0,0,21,3,0,0
