Round,File Viewing,SQL Query,Other,Python,SQL Debug,File Operating,Python Debug,Package Management,System Operations,SQL Update,Data Processing
1,478,10,2,10,0,0,0,0,0,0,0
2,363,32,1,99,1,1,3,0,0,0,0
3,218,38,0,215,1,9,14,2,3,0,0
4,136,54,0,242,4,1,31,4,22,3,0
5,112,38,2,195,9,0,51,11,57,1,2
6,92,28,0,147,18,0,56,2,80,0,2
7,88,24,0,117,7,0,47,4,58,0,4
8,70,17,0,73,9,4,43,1,65,2,7
9,47,10,0,56,5,0,47,1,60,0,0
10,45,11,0,48,2,0,25,0,37,0,1
11,21,6,0,32,5,3,19,0,46,0,0
12,19,3,0,23,3,0,14,0,24,0,0
13,19,4,0,9,2,0,11,0,17,0,0
14,17,2,0,10,2,0,5,0,10,0,0
15,4,1,0,6,2,1,6,0,17,0,0
16,3,3,0,7,0,0,4,0,3,0,0
17,0,2,0,4,0,0,5,0,6,0,0
18,1,2,0,5,0,0,3,0,1,0,0
19,1,2,0,5,0,0,2,0,1,0,0
20,1,0,0,5,0,0,4,0,0,0,0
