Round,File Viewing,Python,SQL Query,File Operating,Python Debug,System Operations,Other,SQL Update,SQL Debug,Package Management,Action Parse Failed
1,301,159,40,0,0,0,0,0,0,0,0
2,223,174,32,18,23,4,1,3,3,4,15
3,186,129,27,24,48,7,0,2,3,8,62
4,49,172,30,69,52,11,0,0,13,6,87
5,84,122,22,26,87,18,0,3,5,6,94
6,68,133,22,29,54,31,0,0,12,8,50
7,59,84,23,47,68,25,5,2,10,4,34
8,64,82,19,23,60,36,5,3,6,5,23
9,48,78,14,31,53,17,5,0,8,4,34
10,35,81,20,26,39,19,5,0,12,5,28
11,48,89,17,23,29,10,5,5,1,4,18
12,34,82,17,28,40,7,5,0,8,5,6
13,32,83,14,34,28,5,5,0,4,4,18
14,28,70,16,20,49,8,5,3,8,5,15
15,44,83,11,26,32,5,5,2,4,4,8
16,27,79,16,31,28,5,5,0,8,5,9
17,35,87,10,28,25,7,5,3,1,4,8
18,29,74,16,23,36,5,5,0,8,5,6
19,32,79,10,29,24,5,5,2,6,4,6
20,25,71,14,25,34,5,5,3,6,5,0
