Round,File Viewing,SQL Query,Python,SQL Update,Package Management,System Operations,Other,File Operating,Data Processing,Python Debug,SQL Debug,Action Parse Failed
1,429,18,29,10,14,0,0,0,0,0,0,0
2,244,27,171,18,10,11,1,3,1,10,4,0
3,146,27,165,17,17,39,1,4,1,50,21,3
4,95,33,178,16,10,47,2,0,3,48,17,3
5,64,22,119,19,3,80,2,2,5,71,19,3
6,55,11,81,12,14,82,1,0,2,56,15,2
7,25,7,83,11,3,44,0,0,2,58,18,0
8,27,5,35,4,3,70,2,1,2,49,10,0
9,22,5,48,4,0,26,0,0,0,23,10,0
10,14,6,30,2,0,35,0,0,0,19,6,0
11,11,2,19,0,3,15,0,0,0,19,8,0
12,4,3,20,0,0,9,3,0,0,17,6,0
13,3,2,17,0,3,2,0,0,0,19,7,0
14,9,1,12,1,0,5,1,0,0,16,6,0
15,0,0,9,0,0,5,1,0,0,21,7,3
16,2,2,7,2,0,6,0,0,0,19,3,0
17,3,2,6,1,0,4,0,0,0,15,4,0
18,4,2,5,1,1,3,0,0,0,12,3,0
19,0,1,10,1,0,0,0,0,0,12,4,0
20,3,0,7,1,0,2,0,0,0,11,4,0
