Round,File Viewing,SQL Query,Python,File Operating,Package Management,System Operations,Python Debug,SQL Debug,Data Processing,SQL Update,Action Parse Failed,Other
1,486,10,3,1,0,0,0,0,0,0,0,0
2,404,18,58,17,3,0,0,0,0,0,0,0
3,305,25,134,5,4,2,23,2,0,0,0,0
4,205,37,195,7,9,17,22,3,2,1,0,0
5,151,16,190,0,3,43,59,14,2,3,0,0
6,139,19,88,2,0,111,74,5,0,0,0,0
7,76,11,63,3,2,109,58,5,0,0,0,0
8,49,7,53,0,0,65,40,4,0,0,0,0
9,29,7,43,0,0,41,31,2,0,0,0,0
10,23,6,41,0,0,21,21,0,0,0,0,0
11,18,4,27,0,0,16,25,1,0,0,0,0
12,12,4,27,0,0,15,17,0,0,0,0,0
13,13,3,15,0,0,9,19,1,0,0,0,0
14,10,2,12,0,0,8,19,0,0,0,0,0
15,14,0,6,0,0,9,11,0,0,0,3,0
16,8,1,11,0,0,6,8,0,0,0,0,0
17,5,2,11,0,0,2,8,0,0,0,0,0
18,6,3,12,0,0,0,5,0,0,0,0,0
19,3,1,8,0,0,3,8,0,0,0,0,3
20,5,1,4,0,0,5,5,0,0,0,0,3
