Round,File Viewing,Python,SQL Update,System Operations,SQL Query,Data Processing,File Operating,Package Management,Other,Action Parse Failed,Python Debug,SQL Debug
1,464,15,2,15,4,0,0,0,0,0,0,0
2,289,140,22,10,23,2,1,9,3,1,0,0
3,76,279,36,15,40,0,1,5,0,4,32,12
4,71,203,24,24,25,1,3,11,2,7,92,32
5,33,170,22,66,24,0,2,6,0,6,120,30
6,33,103,13,94,16,1,2,0,0,3,120,35
7,21,104,18,45,14,0,2,4,0,0,97,25
8,7,103,14,54,14,0,2,0,0,0,78,20
9,5,52,9,54,9,0,2,4,0,0,87,23
10,8,58,6,50,5,0,2,3,0,2,56,15
11,6,30,4,36,6,3,2,0,0,0,67,12
12,0,37,3,37,3,0,2,0,0,3,42,11
13,16,19,4,25,2,1,2,0,0,0,34,10
14,7,29,3,14,2,0,0,0,0,4,29,9
15,6,18,2,13,3,3,4,0,0,4,28,9
16,10,16,2,15,5,0,4,0,0,0,25,9
17,9,23,2,10,4,1,0,0,0,0,23,6
18,11,15,4,11,1,0,0,1,0,5,19,6
19,14,16,1,14,1,1,0,0,0,0,13,5
20,7,17,0,7,2,0,0,0,0,0,19,3
