Round,SQL Query,Python,File Viewing,Action Parse Failed,SQL Debug,Python Debug,System Operations,Other,Package Management,File Operating,SQL Update
1,123,357,20,0,0,0,0,0,0,0,0
2,36,111,192,13,79,58,11,0,0,0,0
3,14,111,126,8,41,76,57,11,45,0,0
4,11,100,133,29,8,81,45,11,14,0,0
5,8,85,111,15,11,101,22,11,28,17,0
6,23,73,121,15,14,110,28,11,14,0,0
7,20,83,94,0,20,94,50,11,0,10,6
8,41,50,111,14,3,68,56,0,0,10,0
9,6,52,122,23,16,58,35,0,0,0,0
10,14,38,127,9,6,63,15,0,0,6,0
11,14,29,123,15,8,72,3,0,0,14,0
12,20,66,85,26,14,44,0,0,0,20,0
13,58,36,74,0,27,53,10,0,0,17,0
14,46,74,14,8,43,63,0,11,0,0,6
15,33,42,14,0,63,86,10,0,0,17,0
16,42,38,57,0,42,59,0,0,0,17,0
17,18,22,52,20,65,65,13,0,0,0,0
18,74,60,20,11,12,30,7,11,0,17,0
19,37,27,58,0,50,46,0,0,0,17,0
20,46,35,6,0,47,65,0,0,0,14,0
