Round,File Viewing,SQL Query,Python,Action Parse Failed,System Operations,SQL Update,Package Management,Other,File Operating,Python Debug,SQL Debug,Data Processing
1,462,7,29,2,0,0,0,0,0,0,0,0
2,168,37,227,0,22,32,3,2,7,2,0,0
3,135,36,197,0,19,23,9,0,0,47,12,0
4,63,30,199,0,39,21,3,0,0,81,25,0
5,86,22,86,0,63,7,6,2,1,116,31,4
6,49,15,85,0,88,10,0,2,0,84,28,1
7,26,8,60,3,59,5,0,2,2,76,34,0
8,28,10,47,0,35,6,1,0,0,67,24,0
9,10,6,31,0,42,3,0,0,0,68,24,0
10,7,8,21,0,37,2,0,0,0,53,16,0
11,8,5,18,0,16,2,0,0,0,44,15,0
12,9,5,14,0,18,0,0,0,0,37,11,0
13,5,2,9,0,17,0,0,0,1,31,12,0
14,2,4,7,0,9,1,0,0,0,28,9,0
15,3,2,7,3,4,0,0,0,0,22,10,0
16,4,2,8,0,5,0,0,0,2,17,9,0
17,0,1,6,0,8,0,0,0,0,19,8,0
18,0,0,4,0,8,0,0,0,0,14,8,0
19,0,2,4,0,2,0,0,0,0,13,5,0
20,1,1,2,0,6,0,0,0,0,11,3,0
