Model,Solid_Action_Ratio,Executable_Code_Ratio
Deepseek-Coder-33b-instruct,0.8851549755301794,0.6172920065252855
GPT-3.5-turbo,0.8978243978243978,0.4801864801864802
Llama3-70b,0.9919323857087975,0.600076834421821
Qwen-max,0.9986320109439124,0.5595075239398085
Qwen2-72B-Instruct,0.9938295410721172,0.6378711916698805
GPT-4-turbo,0.9995440036479708,0.7551299589603283
CodeLlama-34b-Instruct-hf,0.7398005439709883,0.6319129646418857
Claude-3-opus-20240229,1.0,0.7565591397849463
CodeLlama-70b-Instruct-hf,0.300561797752809,0.24087078651685392
GPT-4o,0.9885110294117647,0.7913602941176471
Gemini-1.5-pro-latest,0.9975845410628019,0.6217391304347826
Mixtral-8x22B-Instruct-v0.1,0.9979310344827587,0.6110344827586207
