Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
dm-csv-001,Bash-new-ls,Python-new,Python-new,Python-new,Python-debug,Python-debug,Python-debug,Python-new,Terminate,,,,,,,,,,,
dm-csv-002,Bash-new-ls,Python-new,Python-new,Python-debug,Python-new,Python-debug,Python-debug,Python-new,Python-new,Terminate,,,,,,,,,,
dm-csv-003,Bash-new-ls,Bash-new-cat,Bash-new-head,Python-new,Python-debug,Python-new,Python-debug,Bash-new-cat,Python-new,Terminate,,,,,,,,,,
dm-csv-004,Bash-new-ls,Python-new,Python-new,Python-new,Terminate,,,,,,,,,,,,,,,
dm-csv-005,Bash-new-ls,Bash-new-cat,Bash-new-head,Python-new,Python-new,Terminate,,,,,,,,,,,,,,
dm-csv-006,Bash-new-ls,Python-new,Python-new,Python-new,Python-debug,Python-debug,Terminate,,,,,,,,,,,,,
dm-csv-007,Bash-new-ls,Python-new,Python-new,Python-debug,Python-new,Terminate,,,,,,,,,,,,,,
dm-csv-008,Bash-new-ls,Python-new,Python-debug,Bash-new-cat,Python-new,Terminate,,,,,,,,,,,,,,
dm-csv-009,Bash-new-ls,Bash-new-head,SQL-new-SELECT,SQL-new-SELECT,Terminate,,,,,,,,,,,,,,,
dm-csv-010,Bash-new-cat,Bash-new-sqlite3,Bash-new-pip,Bash-new-sqlite3,Bash-new-apt-get,Bash-new-sqlite3,Bash-new-sqlite3,Bash-new-sqlite3,Bash-new-sqlite3,Bash-new-sqlite3,Bash-new-.open,Bash-new-sqlite3,SQL-new-SELECT,SQL-new-PRAGMA,SQL-new-SELECT,Python-new,Terminate,,,
dm-csv-011,Bash-new-ls,Python-new,Python-new,Python-debug,Python-debug,Python-new,Python-debug,Python-new,Python-debug,Python-new,Terminate,,,,,,,,,
