main_type,sub_type,count
Bash-new,ls,2141
Bash-new,cat,1453
Bash-new,git,2
Bash-new,head,1529
Bash-new,grep,45
Bash-new,echo,17
Bash-new,unzip,19
Bash-new,display,7
Bash-new,pip,145
Bash-new,head+echo,23
Bash-new,tail,14
Bash-new,sqlite3,41
Bash-new,find,22
Bash-new,file,4
Bash-new,ls+wc,1
Bash-new,cat+echo,4
Bash-new,sed,15
Bash-new,pip+python,2
Bash-new,wc,13
Bash-new,ls+head,12
Bash-new,head+echo+wc,2
Bash-new,python,77
Bash-new,ls+cat+echo,1
Bash-new,date,20
Bash-new,cd+ls,6
Bash-new,mv,46
Bash-new,cd,76
Bash-new,wget,24
Bash-new,python3+source+pip,9
Bash-new,pip+python3,1
Bash-new,mkdir+mv,2
Bash-new,export,1
Bash-new,mkdir,19
Bash-new,mkdir+cd,19
Bash-new,rm,2
Bash-new,open,1
Bash-new,cd+cat,1
Bash-new,xdg,2
Bash-new,eog,1
Bash-new,feh,1
Bash-new,ls+cat,3
Bash-new,lsnhead,1
Bash-new,cat+head,6
Bash-new,csv2sqlite,3
Bash-new,awk,6
Bash-new,apt,6
Bash-new,echo+head,1
Bash-new,head+cat,2
Bash-new,curl,2
Bash-new,sort,4
Bash-new,cut,5
Bash-new,cp,6
Bash-new,mv+cat,1
Bash-new,huggingface,1
Bash-new,head+tail,2
Bash-new,cat+ls,4
Bash-new,cat+echo+head,1
Bash-new,tail+cat,2
Bash-new,head+ls,2
Bash-new,echo+grep,1
Bash-new,head+echo+tail,2
Bash-new,csvkit,1
Bash-new,xlsx2csv,2
Bash-new,.open,1
Bash-new,cat+python,1
Bash-new,diff,15
Bash-new,sed+python,3
Bash-new,gunzip,1
Bash-new,touch,2
Bash-new,touch+echo,1
Bash-new,yum,4
Bash-new,apk,4
Bash-new,conda,3
Bash-new,dnf,1
Bash-new,zypper,1
Bash-new,pacman,1
Bash-new,brew,1
Bash-new,pkg,1
Bash-new,emerge,1
Bash-new,port,1
Bash-new,pkg_add,1
Bash-new,pkgutil,1
Bash-new,pkg_info,1
Bash-new,pkg_search,1
Bash-new,python3,4
Bash-new,mail,1
Bash-new,pwd,6
Bash-new,lynx,1
Bash-new,ssh,1
Bash-new,xls2csv,1
Bash-new,head+echo+tail+shuf,1
Bash-new,pip+xlsx2csv,1
Bash-new,zcat,1
SQL-new,SELECT,267
SQL-new,PRAGMA,16
SQL-new,CREATE,9
SQL-new,WITH,8
SQL-new,.mode,1
Python-new,,5844
SQL-debug,SELECT,60
SQL-debug,,1
SQL-debug,CREATE,13
SQL-debug,PRAGMA,15
SQL-debug,.tables,7
Python-debug,,3290
Terminate,,1500
Bash-debug,pip+python,1
Bash-debug,ls,43
Bash-debug,pip+python3,1
Bash-debug,cat,6
Bash-debug,awk,1
Bash-debug,echo,5
Bash-debug,pip,1
Bash-debug,python,21
Bash-debug,sqlite3,16
Bash-debug,cat+python,1
Bash-debug,diff,1
Bash-debug,sudo,1
Bash-debug,apt,2
Bash-debug,pwd,5
Bash-debug,cd+ls,3
Bash-debug,cd+pwd,1
Bash-debug,find,1
Bash-debug,grep,1
failParse,,967
