sector,profits
Retailing,13643.0
Financials,24074.0
Technology,45687.0
Energy,7840.0
Wholesalers,2258.0
Health Care,7017.0
Health Care,5317.0
Motor Vehicles & Parts,9427.0
Telecommunications,12976.0
Motor Vehicles & Parts,4596.0
Wholesalers,1427.9
Technology,2371.0
Industrials,8831.0
Telecommunications,13127.0
Wholesalers,1427.0
Retailing,2350.0
Food & Drug Stores,4173.0
Food & Drug Stores,1975.0
Energy,-497.0
Financials,12313.0
Financials,24733.0
Health Care,3404.4
Retailing,7957.0
Aerospace & Defense,4895.0
Financials,21938.0
Financials,17906.0
Technology,19478.0
Technology,16798.0
Health Care,2469.8
Financials,14912.0
Telecommunications,8695.0
Technology,11872.0
Financials,350.3
Energy,1555.0
Health Care,16540.0
Household Products,10508.0
Energy,2289.0
Retailing,2737.0
Financials,7815.0
Retailing,3093.0
Technology,-1672.0
Financials,800.0
Health Care,2271.0
"Food, Beverages & Tobacco",6329.0
"Food, Beverages & Tobacco",1279.0
Transportation,3431.0
Technology,10316.0
Financials,4368.0
Food & Drug Stores,-502.2
Aerospace & Defense,5055.0
Energy,1174.0
Media,9391.0
Health Care,614.0
Health Care,7215.0
Financials,-849.0
Aerospace & Defense,5302.0
Wholesalers,949.6
Transportation,1820.0
Technology,3161.0
Technology,10739.0
Technology,2496.0
Chemicals,4318.0
Health Care,2890.0
"Food, Beverages & Tobacco",6527.0
Financials,1088.1
Health Care,562.0
Transportation,2676.0
Financials,334.3
Health Care,3920.0
Health Care,1867.0
Transportation,4373.0
Retailing,1228.0
Industrials,4809.0
Industrials,-67.0
Financials,1006.0
Financials,5979.0
Financials,1273.5
Financials,7398.0
Energy,995.0
Financials,1492.3
Technology,8901.0
"Food, Beverages & Tobacco",1768.0
Transportation,2263.0
Financials,1877.0
Food & Drug Stores,2025.7
Financials,5408.0
Retailing,2298.2
Apparel,3760.0
Energy,1134.0
Aerospace & Defense,2955.0
Food & Drug Stores,165.5
Health Care,13501.0
"Food, Beverages & Tobacco",424.2
Industrials,5050.0
Media,3926.0
Telecommunications,3522.0
Financials,818.0
Technology,10217.0
Financials,3014.0
Financials,3751.0
Media,2755.0
Financials,1779.1
Energy,126.5
"Food, Beverages & Tobacco",6967.0
Industrials,1523.9
"Food, Beverages & Tobacco",3632.0
Wholesalers,195.1
Wholesalers,506.5
"Food, Beverages & Tobacco",1659.0
Retailing,619.0
Health Care,5953.0
"Hotels, Restaurants & Leisure",4686.5
Chemicals,2513.0
Aerospace & Defense,2200.0
Energy,-3615.0
Aerospace & Defense,2211.0
Energy,734.0
Wholesalers,522.8
Technology,5705.0
Financials,1031.0
Energy,2152.0
Energy,2513.1
Health Care,7722.0
Wholesalers,209.8
Financials,5888.0
Financials,2659.0
Retailing,-2221.0
Retailing,1251.1
Retailing,430.5
Health Care,-1721.0
"Hotels, Restaurants & Leisure",2817.7
Health Care,2737.6
Materials,904.0
Health Care,-192.0
Health Care,1400.0
Retailing,896.2
Industrials,888.0
Transportation,2244.0
Industrials,1635.0
Retailing,-1497.0
Energy,94.0
Retailing,342.9
Transportation,4233.0
Technology,2553.7
Energy,2448.0
Business Services,443.7
Health Care,4457.0
"Food, Beverages & Tobacco",14239.0
Engineering & Construction,281.4
Retailing,556.0
Motor Vehicles & Parts,975.1
Technology,254.1
Financials,896.0
Technology,2021.8
Household Products,2166.0
Health Care,52.0
Energy,1393.0
Food & Drug Stores,178.0
Industrials,1394.0
Telecommunications,626.0
Engineering & Construction,96.1
Technology,-477.0
"Hotels, Restaurants & Leisure",780.0
Industrials,521.7
"Food, Beverages & Tobacco",1697.4
Financials,3903.0
Energy,610.9
Financials,-1128.0
Materials,796.3
Energy,2912.0
Wholesalers,68.3
Energy,170.8
Energy,-5763.0
Retailing,623.4
Energy,-4154.0
Food & Drug Stores,507.0
Financials,3547.0
Retailing,676.0
Business Services,1148.6
Wholesalers,687.2
Health Care,879.9
Household Products,2441.0
Chemicals,877.0
Motor Vehicles & Parts,1264.0
Financials,2251.0
Telecommunications,1449.9
Business Services,5991.0
Retailing,354.0
Financials,54.7
Materials,-396.3
Transportation,69.0
Business Services,287.8
Media,1261.0
Energy,-1130.0
Health Care,242.1
Energy,-6177.0
"Food, Beverages & Tobacco",-677.0
Wholesalers,234.9
Technology,424.4
Aerospace & Defense,962.0
Business Services,1182.0
Industrials,2035.0
Retailing,529.0
Chemicals,1336.0
