id,name
1,
9,WWWF World Heavyweight Title
10,WWWF International Tag Team Titles
14,WWWF Junior Heavyweight Title
31,WWWF Martial Arts Title
68,WWWF Womens Title
631,AWA World Heavyweight Championship
660,NWA Womens Title
1106,WWWF United States Tag Team Titles
1428,Ring Ka King Heavyweight Championship
1452,WWWF United States Title
1625,WWF Cruiserweight Title
1631,WWF Tag Team Titles
1633,WWF World Heavyweight Title
1634,WWF Intercontinental Title
1637,WWF Hardcore Title
1642,WWF European Title
1657,WWF Women's Title
1690,WWF Undisputed Title
1949,WWF Light Heavyweight Title
2532,WCW World Heavyweight Title
2686,WCW United States Title WWF Intercontinental Title
2687,WCW World Tag Team Titles WWF Tag Team Titles
2713,WCW United States Title
2735,WCW World Heavyweight Title WWF World Heavyweight Title
2740,WCW World Tag Team Titles
2822,OVW Southern Tag Team Title
2848,WCW Cruiserweight Championship
3175,WCW Cruiserweight Championship WWF Light Heavyweight Title
3647,WWF King of the Ring
3964,WWF Intercontinental Title WWF Tag Team Titles WWF World Heavyweight Title
4944,WWE European Championship
6978,WWF European Title WWF International Title
7012,WWF European Title WWF Intercontinental Title
8831,NWA Tag Team Titles
9040,NWA North American Heavyweight Title
11029,WWE World Heavyweight Championship
12418,WWF International Title WWF World Heavyweight Title
12931,SMW Tag Team Titles
14673,WWF Intercontinental Title WWF World Heavyweight Title
15045,Million Dollar Title
18358,WWF Women's Tag Team Titles
19634,WWF International Title
19964,WWF Martial Arts Title
19966,WWF Junior Heavyweight Title
20562,WWF North American Title
20575,WWE Women's World Title
20577,WWE United States Championship
20578,WWE Women's Championship (2016)
20580,WWE Championship WWE Universal Championship
20604,NXT North American Championship
20609,WWE Raw Tag Team Championship WWE Smackdown Tag Team Championship
20610,WWE Intercontinental Championship
20638,NXT Women's Title
20939,WWE Undisputed Universal Title
21006,WWE Womens Tag Team Championship
21126,NXT Women's Tag Team Titles WWE Womens Tag Team Championship
21186,WWE Smackdown Women's Title
21218,WWE Raw Women's Title
21326,WWE Smackdown Tag Team Championship
21730,WWE Raw Tag Team Championship
22089,WWE 24/7 Title
22563,WWE Unified Tag Team Titles
22977,WWE Smackdown Womens Championship
23024,WWE Universal Championship
23153,NXT Championship
23316,WWE Championship
25153,Money In the Bank Briefcase
26117,NXT Cruiserweight Championship
26439,WWE Cruiserweight Title
26563,WWE World Championship
26669,WWE Raw Women's Title WWE Universal Championship
26983,NXT UK Women's Title
26996,WWE Universal Championship WWE World Championship
27017,WWE Raw Women's Title WWE Smackdown Women's Title
27226,NXT UK Tag Team Championship
27480,PROGRESS Atlas Title
27970,NXT Tag Team Titles
27976,WWE United Kingdom Championship
31664,Cruiserweight Classic Championship WWE Cruiserweight Title
31781,WWE Tag Team Championship
32781,WWE Divas Championship
34121,WWE United States Championship WWE World Heavyweight Championship
35223,WWE King of the Ring
38931,World Heavyweight Championship (WWE)
41239,Spot In the Royal Rumble Match
41933,World Heavyweight Championship (WWE) WWE Championship
45005,WWE Championship WWE Championship
46068,WWE Divas Championship WWE Women's Championship (original)
46124,WWE Women's Championship (original)
46808,ECW World Heavyweight Title
47991,World Tag Team Titles (WWE) WWE Tag Team Championship
48225,World Tag Team Titles (WWE)
48530,WWE Intercontinental Championship WWE Women's Championship (original)
51484,WWE Championship WWE Intercontinental Championship
51535,Money In the Bank Briefcase WWE Intercontinental Championship
56438,World Heavyweight Championship (WWE) WWE Intercontinental Championship
56660,WWE Hardcore Title WWE Intercontinental Championship
56675,WWE Undisputed Title
56687,WWE Hardcore Title
56796,WWE European Championship WWE Intercontinental Championship
57041,WWE European Championship WWE Women's Championship (original)
57137,WCW Cruiserweight Tag Team Titles
57311,WCW Hardcore Title
57883,WCW Hardcore Title WCW United States Title
57989,WCW World Television Title
58871,WCW United States Title WCW World Television Title
58941,IWGP Junior Heavyweight Title
61672,WCCW World Heavyweight Title
61738,IWGP World Tag Team Titles
61939,WCW Cruiserweight Championship WCW United States Title
63119,WCW Women's Championship
63602,J-Crown Championship WCW Cruiserweight Championship
63697,J-Crown Championship
63877,AAA Mega Championship
64655,IWGP Heavyweight Championship
64805,WCW International World Heavyweight Championship WCW World Heavyweight Title
64812,WCW International World Heavyweight Championship
64987,NWA World Heavyweight Title
65005,NWA Tag Team Titles WCW World Tag Team Titles
65152,WCW Light Heavyweight Championship
65240,WCW United States Tag Team Championship
65713,NWA World Heavyweight Title WCW World Heavyweight Title
65744,NWA United States Tag Team Titles
65747,WCW World Six-Man Tag Team Championship
65878,NXT Heritage Cup
66292,NXT Women's Tag Team Titles
66893,NXT Tag Team Titles NXT UK Tag Team Championship
66894,NXT UK Women's Title NXT Women's Title
66896,NXT Championship NXT UK Championship
67281,Dusty Rhodes Tag Team Classic Cup
67321,NXT Cruiserweight Championship NXT North American Championship
67469,NXT UK Championship
67527,NXT North American Championship NXT Tag Team Titles
67583,Interim NXT Cruiserweight Championship NXT Cruiserweight Championship
67648,Interim NXT Cruiserweight Championship
67836,NXT Championship NXT North American Championship
70177,NXT North American Championship WWE United Kingdom Championship
70762,PROGRESS Tag Team Titles
70763,PROGRESS Women's Title
70767,WWN Title
70770,PROGRESS Title
70791,EVOLVE Tag Team Titles
