Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1447152396,---2661,NY,PAS,06/28/2019,21,SDN,BMW,P,27390,36290,36350,20210306,26.0,26,26,964055,0026,0.0,1000A,,NY,F,21,Old Broadway,,0,408,D1,,BYBBYBB,0900A,1030A,GRY,0.0,0,-,0,,,,,
1447152402,---6523,NY,PAS,06/28/2019,20,SDN,TOYOT,P,36290,27390,13113,20210109,26.0,26,26,964055,0026,0.0,1011A,,NY,F,545,W 126 Street,,0,408,D1,,BBBBBBB,ALL,ALL,GY,0.0,0,-,0,,,,,
1447152554,---6954,NY,PAS,06/16/2019,19,SUBN,BMW,P,36270,11710,27390,20190720,26.0,26,26,927590,0026,0.0,0107A,,,F,509,W 125 St,,0,408,F1,,BBBBBBB,ALL,ALL,BLK,0.0,2019,-,0,,,,,
1447152580,---1641,NY,PAS,06/24/2019,19,SDN,AUDI,P,36270,11710,27390,20210408,26.0,26,26,927590,0026,0.0,0300A,,,F,501,W 125 St,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0.0,2015,-,0,,,,,
1447152724,---8069,NY,COM,07/06/2019,48,,,P,31190,36310,36330,20210109,26.0,26,26,963447,0026,0.0,0653A,,NY,F,341,St Nicholas Avenue,,0,408,F1,,BBBBBBB,ALL,ALL,,0.0,0,-,0,,,,,
1447152992,---5242,NY,PAS,06/14/2019,46,SUBN,NISSA,P,36270,11710,27390,20200321,26.0,26,26,963451,0026,0.0,0515P,,NY,F,564,W 125 St,,0,408,C,,BBBBBBB,ALL,ALL,GY,0.0,0,-,0,,,,,
1447153315,---3470,NY,PAS,06/14/2019,40,SUBN,TOYOT,P,36290,11710,27390,20200130,26.0,26,26,959203,0026,0.0,0524P,,NY,O,504,W 126 St,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0.0,2005,-,1,,,,,
1447153327,---9640,NY,PAS,06/14/2019,46,SUBN,HONDA,P,36270,11710,27390,20210326,26.0,26,26,959203,0026,0.0,0601P,,NY,F,515,W 125 St,,0,408,E2,,BBBBBBB,ALL,ALL,GY,0.0,2003,-,0,,,,,
1447153340,---1769,NY,PAS,06/28/2019,40,SUBN,TOYOT,P,36290,11710,27390,20200901,26.0,26,26,959203,0026,0.0,0935A,,NY,O,504,W 126 St,,0,408,D,,BBBBBBB,ALL,ALL,GY,0.0,2004,-,0,,,,,
1447153352,---2184,ME,PAS,07/06/2019,48,SDN,DODGE,P,31190,40404,40404,0,26.0,26,26,959205,0026,0.0,1217P,,NY,F,361,Saint Nicholas Ave,,0,408,E9,,BBBBBBB,ALL,ALL,ORANG,0.0,0,-,0,,,,,
