Date,Cumulative,Cumulative_EW,Cumulative_MCap
2017-01-03,0.008,0.008,0.007
2017-01-04,0.008,0.007,0.007
2017-01-05,0.012,0.011,0.011
2017-01-06,0.016,0.015,0.017
2017-01-09,0.015,0.014,0.016
2017-01-10,0.013,0.012,0.014
2017-01-11,0.018,0.016,0.019
2017-01-12,0.019,0.016,0.019
2017-01-13,0.021,0.018,0.021
2017-01-17,0.018,0.015,0.018
2017-01-18,0.016,0.012,0.016
2017-01-19,0.013,0.009,0.013
2017-01-20,0.015,0.010,0.014
2017-01-23,0.017,0.011,0.015
2017-01-24,0.018,0.011,0.017
2017-01-25,0.028,0.022,0.027
2017-01-26,0.033,0.026,0.031
2017-01-27,0.037,0.028,0.035
2017-01-30,0.030,0.022,0.028
2017-01-31,0.025,0.017,0.023
2017-02-01,0.033,0.024,0.034
2017-02-02,0.027,0.020,0.031
2017-02-03,0.029,0.022,0.032
2017-02-06,0.029,0.022,0.033
2017-02-07,0.029,0.022,0.034
2017-02-08,0.032,0.023,0.036
2017-02-09,0.037,0.029,0.042
2017-02-10,0.040,0.032,0.045
2017-02-13,0.044,0.038,0.051
2017-02-14,0.049,0.043,0.057
2017-02-15,0.053,0.047,0.061
2017-02-16,0.054,0.048,0.062
2017-02-17,0.054,0.049,0.062
2017-02-21,0.059,0.054,0.068
2017-02-22,0.060,0.054,0.067
2017-02-23,0.062,0.057,0.070
2017-02-24,0.063,0.057,0.070
2017-02-27,0.061,0.056,0.070
2017-02-28,0.058,0.054,0.067
2017-03-01,0.074,0.071,0.085
2017-03-02,0.069,0.066,0.079
2017-03-03,0.070,0.067,0.080
2017-03-06,0.068,0.065,0.079
2017-03-07,0.067,0.063,0.078
2017-03-08,0.066,0.062,0.077
2017-03-09,0.068,0.065,0.079
2017-03-10,0.074,0.070,0.083
2017-03-13,0.073,0.069,0.083
2017-03-14,0.069,0.066,0.080
2017-03-15,0.077,0.074,0.088
2017-03-16,0.076,0.073,0.087
2017-03-17,0.076,0.072,0.086
2017-03-20,0.076,0.072,0.087
2017-03-21,0.063,0.060,0.075
2017-03-22,0.067,0.063,0.079
2017-03-23,0.066,0.062,0.078
2017-03-24,0.066,0.061,0.077
2017-03-27,0.065,0.060,0.077
2017-03-28,0.074,0.069,0.087
2017-03-29,0.077,0.072,0.091
2017-03-30,0.082,0.077,0.095
2017-03-31,0.079,0.073,0.092
2017-04-03,0.079,0.074,0.092
2017-04-04,0.084,0.078,0.097
2017-04-05,0.081,0.076,0.095
2017-04-06,0.078,0.074,0.093
2017-04-07,0.076,0.072,0.091
2017-04-10,0.076,0.073,0.091
2017-04-11,0.073,0.069,0.087
2017-04-12,0.071,0.068,0.086
2017-04-13,0.064,0.060,0.078
2017-04-17,0.072,0.068,0.087
2017-04-18,0.069,0.063,0.081
2017-04-19,0.067,0.061,0.078
2017-04-20,0.075,0.069,0.087
2017-04-21,0.071,0.064,0.084
2017-04-24,0.082,0.075,0.096
2017-04-25,0.086,0.080,0.101
2017-04-26,0.087,0.080,0.100
2017-04-27,0.086,0.079,0.101
2017-04-28,0.088,0.081,0.102
2017-05-01,0.096,0.088,0.113
2017-05-02,0.096,0.088,0.113
2017-05-03,0.093,0.086,0.112
2017-05-04,0.088,0.082,0.107
2017-05-05,0.092,0.085,0.112
2017-05-08,0.098,0.092,0.120
2017-05-09,0.096,0.090,0.119
2017-05-10,0.096,0.090,0.119
2017-05-11,0.096,0.091,0.120
2017-05-12,0.097,0.092,0.123
2017-05-15,0.099,0.095,0.126
2017-05-16,0.101,0.097,0.129
2017-05-17,0.073,0.071,0.101
2017-05-18,0.082,0.079,0.110
2017-05-19,0.088,0.085,0.115
2017-05-22,0.093,0.090,0.120
2017-05-23,0.096,0.093,0.123
2017-05-24,0.096,0.092,0.123
2017-05-25,0.100,0.096,0.127
2017-05-26,0.100,0.095,0.127
2017-05-30,0.101,0.095,0.127
2017-05-31,0.095,0.090,0.121
2017-06-01,0.101,0.095,0.126
2017-06-02,0.110,0.102,0.136
2017-06-05,0.111,0.104,0.137
2017-06-06,0.111,0.105,0.139
2017-06-07,0.113,0.107,0.141
2017-06-08,0.112,0.107,0.140
2017-06-09,0.102,0.100,0.128
2017-06-12,0.102,0.100,0.124
2017-06-13,0.106,0.104,0.130
2017-06-14,0.103,0.101,0.126
2017-06-15,0.102,0.101,0.124
2017-06-16,0.106,0.106,0.128
2017-06-19,0.115,0.114,0.139
2017-06-20,0.106,0.105,0.130
2017-06-21,0.105,0.105,0.131
2017-06-22,0.103,0.103,0.129
2017-06-23,0.108,0.108,0.135
2017-06-26,0.104,0.104,0.130
2017-06-27,0.091,0.092,0.117
2017-06-28,0.101,0.101,0.127
2017-06-29,0.090,0.092,0.116
2017-06-30,0.091,0.092,0.117
2017-07-03,0.092,0.095,0.117
2017-07-05,0.098,0.100,0.124
2017-07-06,0.085,0.088,0.112
2017-07-07,0.092,0.094,0.119
2017-07-10,0.096,0.096,0.123
2017-07-11,0.098,0.099,0.126
2017-07-12,0.108,0.108,0.135
2017-07-13,0.110,0.110,0.139
2017-07-14,0.114,0.113,0.144
2017-07-17,0.116,0.114,0.145
2017-07-18,0.120,0.119,0.150
2017-07-19,0.125,0.124,0.156
2017-07-20,0.127,0.126,0.157
2017-07-21,0.120,0.118,0.150
2017-07-24,0.120,0.117,0.151
2017-07-25,0.123,0.120,0.154
2017-07-26,0.133,0.127,0.160
2017-07-27,0.140,0.131,0.161
2017-07-28,0.134,0.125,0.154
2017-07-31,0.127,0.120,0.148
2017-08-01,0.130,0.123,0.152
2017-08-02,0.133,0.127,0.160
2017-08-03,0.131,0.125,0.157
2017-08-04,0.135,0.129,0.162
2017-08-07,0.139,0.132,0.166
2017-08-08,0.139,0.131,0.166
2017-08-09,0.139,0.132,0.168
2017-08-10,0.121,0.115,0.148
2017-08-11,0.125,0.117,0.153
2017-08-14,0.137,0.129,0.165
2017-08-15,0.136,0.128,0.166
2017-08-16,0.135,0.126,0.164
2017-08-17,0.116,0.108,0.145
2017-08-18,0.114,0.107,0.144
2017-08-21,0.114,0.106,0.143
2017-08-22,0.126,0.118,0.156
2017-08-23,0.121,0.112,0.151
2017-08-24,0.117,0.109,0.147
2017-08-25,0.118,0.110,0.148
2017-08-28,0.120,0.111,0.150
2017-08-29,0.122,0.114,0.154
2017-08-30,0.126,0.116,0.157
2017-08-31,0.132,0.123,0.164
2017-09-01,0.134,0.124,0.165
2017-09-05,0.123,0.113,0.154
2017-09-06,0.125,0.117,0.158
2017-09-07,0.119,0.113,0.156
2017-09-08,0.110,0.104,0.146
2017-09-11,0.122,0.116,0.159
2017-09-12,0.126,0.119,0.161
2017-09-13,0.131,0.124,0.165
2017-09-14,0.127,0.122,0.162
2017-09-15,0.133,0.127,0.167
2017-09-18,0.135,0.130,0.168
2017-09-19,0.141,0.134,0.172
2017-09-20,0.140,0.132,0.168
2017-09-21,0.134,0.127,0.160
2017-09-22,0.134,0.125,0.158
2017-09-25,0.125,0.118,0.149
2017-09-26,0.125,0.118,0.151
2017-09-27,0.131,0.123,0.157
2017-09-28,0.134,0.125,0.159
2017-09-29,0.139,0.130,0.164
2017-10-02,0.141,0.133,0.166
2017-10-03,0.145,0.137,0.169
2017-10-04,0.142,0.135,0.167
2017-10-05,0.154,0.145,0.179
2017-10-06,0.152,0.144,0.179
2017-10-09,0.147,0.140,0.176
2017-10-10,0.148,0.141,0.177
2017-10-11,0.149,0.143,0.181
2017-10-12,0.138,0.136,0.175
2017-10-13,0.140,0.137,0.177
2017-10-16,0.150,0.147,0.188
2017-10-17,0.154,0.152,0.194
2017-10-18,0.149,0.148,0.190
2017-10-19,0.147,0.147,0.186
2017-10-20,0.152,0.152,0.191
2017-10-23,0.137,0.139,0.180
2017-10-24,0.136,0.138,0.181
2017-10-25,0.125,0.129,0.173
2017-10-26,0.126,0.131,0.175
2017-10-27,0.162,0.163,0.215
2017-10-30,0.163,0.163,0.218
2017-10-31,0.161,0.160,0.216
2017-11-01,0.161,0.160,0.215
2017-11-02,0.157,0.157,0.214
2017-11-03,0.164,0.164,0.223
2017-11-06,0.165,0.166,0.227
2017-11-07,0.165,0.165,0.226
2017-11-08,0.168,0.167,0.229
2017-11-09,0.169,0.167,0.228
2017-11-10,0.170,0.168,0.228
2017-11-13,0.162,0.159,0.221
2017-11-14,0.148,0.147,0.209
2017-11-15,0.147,0.145,0.205
2017-11-16,0.155,0.151,0.211
2017-11-17,0.150,0.146,0.205
2017-11-20,0.149,0.146,0.205
2017-11-21,0.156,0.152,0.214
2017-11-22,0.162,0.157,0.219
2017-11-24,0.167,0.163,0.225
2017-11-27,0.168,0.163,0.226
2017-11-28,0.179,0.175,0.236
2017-11-29,0.173,0.170,0.226
2017-11-30,0.180,0.177,0.235
2017-12-01,0.174,0.172,0.230
2017-12-04,0.167,0.165,0.220
2017-12-05,0.163,0.162,0.218
2017-12-06,0.166,0.164,0.221
2017-12-07,0.170,0.167,0.224
2017-12-08,0.177,0.174,0.231
2017-12-11,0.184,0.180,0.239
2017-12-12,0.191,0.186,0.243
2017-12-13,0.190,0.185,0.243
2017-12-14,0.186,0.181,0.239
2017-12-15,0.200,0.193,0.253
2017-12-18,0.204,0.197,0.257
2017-12-19,0.195,0.189,0.249
2017-12-20,0.193,0.186,0.246
2017-12-21,0.197,0.191,0.250
2017-12-22,0.196,0.189,0.249
2017-12-26,0.193,0.186,0.243
2017-12-27,0.195,0.188,0.245
2017-12-28,0.198,0.191,0.248
2017-12-29,0.190,0.183,0.239
