Date,Cumulative_EW,Cumulative_MCap,Cumulative_MSR,Cumulative_GMV
2017-01-03,0.008,0.007,1.162e-02,7.665e-03
2017-01-04,0.007,0.007,1.083e-02,4.861e-03
2017-01-05,0.011,0.011,8.081e-03,7.924e-03
2017-01-06,0.015,0.017,1.497e-02,1.463e-03
2017-01-09,0.014,0.016,8.256e-03,-3.177e-03
2017-01-10,0.012,0.014,8.374e-04,-4.176e-03
2017-01-11,0.016,0.019,1.109e-02,-8.216e-03
2017-01-12,0.016,0.019,9.146e-03,-5.504e-03
2017-01-13,0.018,0.021,1.317e-02,-5.636e-03
2017-01-17,0.015,0.018,1.509e-02,-3.965e-03
2017-01-18,0.012,0.016,8.786e-03,-7.787e-03
2017-01-19,0.009,0.013,6.908e-04,-8.764e-03
2017-01-20,0.010,0.014,-1.118e-03,-5.604e-03
2017-01-23,0.011,0.015,-8.159e-03,-3.011e-03
2017-01-24,0.011,0.017,-4.053e-03,-1.359e-02
2017-01-25,0.022,0.027,7.987e-03,-6.496e-03
2017-01-26,0.026,0.031,1.434e-02,-5.359e-03
2017-01-27,0.028,0.035,1.346e-02,8.095e-04
2017-01-30,0.022,0.028,4.511e-03,-3.103e-03
2017-01-31,0.017,0.023,-5.229e-03,-2.103e-03
2017-02-01,0.024,0.034,-5.335e-03,2.369e-03
2017-02-02,0.020,0.031,-1.237e-02,-4.285e-03
2017-02-03,0.022,0.032,-9.859e-03,-3.213e-03
2017-02-06,0.022,0.033,-9.695e-03,-5.091e-03
2017-02-07,0.022,0.034,-1.417e-02,-3.924e-03
2017-02-08,0.023,0.036,-1.286e-02,-3.275e-03
2017-02-09,0.029,0.042,-6.708e-03,1.481e-03
2017-02-10,0.032,0.045,-1.437e-03,6.236e-03
2017-02-13,0.038,0.051,4.588e-03,4.463e-03
2017-02-14,0.043,0.057,7.725e-03,8.846e-03
2017-02-15,0.047,0.061,1.076e-02,1.582e-02
2017-02-16,0.048,0.062,9.541e-03,1.933e-02
2017-02-17,0.049,0.062,6.393e-03,2.335e-02
2017-02-21,0.054,0.068,1.028e-02,2.971e-02
2017-02-22,0.054,0.067,8.045e-03,2.763e-02
2017-02-23,0.057,0.070,1.157e-02,3.700e-02
2017-02-24,0.057,0.070,1.211e-02,4.555e-02
2017-02-27,0.056,0.070,1.052e-02,3.986e-02
2017-02-28,0.054,0.067,4.981e-03,3.836e-02
2017-03-01,0.071,0.085,2.645e-02,5.095e-02
2017-03-02,0.066,0.079,2.362e-02,4.920e-02
2017-03-03,0.067,0.080,2.028e-02,4.939e-02
2017-03-06,0.065,0.079,2.072e-02,4.796e-02
2017-03-07,0.063,0.078,1.717e-02,4.701e-02
2017-03-08,0.062,0.077,1.154e-02,4.579e-02
2017-03-09,0.065,0.079,1.412e-02,5.270e-02
2017-03-10,0.070,0.083,2.524e-02,5.896e-02
2017-03-13,0.069,0.083,2.019e-02,5.957e-02
2017-03-14,0.066,0.080,1.157e-02,5.676e-02
2017-03-15,0.074,0.088,2.312e-02,6.905e-02
2017-03-16,0.073,0.087,2.308e-02,6.645e-02
2017-03-17,0.072,0.086,2.510e-02,6.634e-02
2017-03-20,0.072,0.087,2.306e-02,6.529e-02
2017-03-21,0.060,0.075,1.064e-02,5.599e-02
2017-03-22,0.063,0.079,1.539e-02,5.127e-02
2017-03-23,0.062,0.078,1.642e-02,5.008e-02
2017-03-24,0.061,0.077,1.685e-02,4.889e-02
2017-03-27,0.060,0.077,1.292e-02,4.762e-02
2017-03-28,0.069,0.087,2.247e-02,5.164e-02
2017-03-29,0.072,0.091,2.633e-02,4.982e-02
2017-03-30,0.077,0.095,3.814e-02,5.359e-02
2017-03-31,0.073,0.092,2.802e-02,5.007e-02
2017-04-03,0.074,0.092,2.921e-02,5.097e-02
2017-04-04,0.078,0.097,3.247e-02,5.392e-02
2017-04-05,0.076,0.095,3.166e-02,5.181e-02
2017-04-06,0.074,0.093,3.084e-02,4.821e-02
2017-04-07,0.072,0.091,2.931e-02,4.724e-02
2017-04-10,0.073,0.091,3.083e-02,4.418e-02
2017-04-11,0.069,0.087,2.681e-02,4.171e-02
2017-04-12,0.068,0.086,2.332e-02,4.647e-02
2017-04-13,0.060,0.078,1.198e-02,4.006e-02
2017-04-17,0.068,0.087,1.904e-02,4.459e-02
2017-04-18,0.063,0.081,1.711e-02,3.260e-02
2017-04-19,0.061,0.078,1.830e-02,3.070e-02
2017-04-20,0.069,0.087,2.967e-02,3.604e-02
2017-04-21,0.064,0.084,1.896e-02,2.944e-02
2017-04-24,0.075,0.096,2.880e-02,3.654e-02
2017-04-25,0.080,0.101,3.359e-02,3.851e-02
2017-04-26,0.080,0.100,3.106e-02,4.234e-02
2017-04-27,0.079,0.101,2.971e-02,3.797e-02
2017-04-28,0.081,0.102,3.526e-02,3.493e-02
2017-05-01,0.088,0.113,4.218e-02,3.294e-02
2017-05-02,0.088,0.113,4.270e-02,3.301e-02
2017-05-03,0.086,0.112,4.456e-02,2.717e-02
2017-05-04,0.082,0.107,3.495e-02,2.390e-02
2017-05-05,0.085,0.112,3.828e-02,2.953e-02
2017-05-08,0.092,0.120,4.240e-02,3.214e-02
2017-05-09,0.090,0.119,3.544e-02,2.852e-02
2017-05-10,0.090,0.119,3.508e-02,2.895e-02
2017-05-11,0.091,0.120,3.825e-02,3.120e-02
2017-05-12,0.092,0.123,3.043e-02,3.311e-02
2017-05-15,0.095,0.126,3.103e-02,4.332e-02
2017-05-16,0.097,0.129,2.923e-02,4.164e-02
2017-05-17,0.071,0.101,-1.343e-03,2.341e-02
2017-05-18,0.079,0.110,7.074e-03,3.129e-02
2017-05-19,0.085,0.115,1.806e-02,3.650e-02
2017-05-22,0.090,0.120,2.413e-02,3.898e-02
2017-05-23,0.093,0.123,2.754e-02,4.104e-02
2017-05-24,0.092,0.123,2.367e-02,3.845e-02
2017-05-25,0.096,0.127,2.288e-02,4.156e-02
2017-05-26,0.095,0.127,2.206e-02,3.860e-02
2017-05-30,0.095,0.127,2.162e-02,4.254e-02
2017-05-31,0.090,0.121,1.556e-02,4.376e-02
2017-06-01,0.095,0.126,2.366e-02,5.026e-02
2017-06-02,0.102,0.136,2.886e-02,5.583e-02
2017-06-05,0.104,0.137,3.448e-02,5.611e-02
2017-06-06,0.105,0.139,3.775e-02,5.716e-02
2017-06-07,0.107,0.141,3.333e-02,5.756e-02
2017-06-08,0.107,0.140,3.200e-02,5.431e-02
2017-06-09,0.100,0.128,3.095e-02,5.669e-02
2017-06-12,0.100,0.124,4.616e-02,6.037e-02
2017-06-13,0.104,0.130,4.530e-02,5.782e-02
2017-06-14,0.101,0.126,4.271e-02,5.911e-02
2017-06-15,0.101,0.124,4.900e-02,6.107e-02
2017-06-16,0.106,0.128,5.865e-02,6.630e-02
2017-06-19,0.114,0.139,5.958e-02,6.821e-02
2017-06-20,0.105,0.130,4.296e-02,6.272e-02
2017-06-21,0.105,0.131,3.640e-02,5.917e-02
2017-06-22,0.103,0.129,3.016e-02,6.061e-02
2017-06-23,0.108,0.135,3.833e-02,6.137e-02
2017-06-26,0.104,0.130,3.307e-02,6.217e-02
2017-06-27,0.092,0.117,1.513e-02,5.061e-02
2017-06-28,0.101,0.127,2.336e-02,5.268e-02
2017-06-29,0.092,0.116,9.348e-03,4.366e-02
2017-06-30,0.092,0.117,1.061e-02,4.390e-02
2017-07-03,0.095,0.117,1.799e-02,5.055e-02
2017-07-05,0.100,0.124,1.738e-02,5.348e-02
2017-07-06,0.088,0.112,-7.628e-03,4.120e-02
2017-07-07,0.094,0.119,-2.453e-03,4.098e-02
2017-07-10,0.096,0.123,5.161e-04,3.785e-02
2017-07-11,0.099,0.126,1.035e-02,3.618e-02
2017-07-12,0.108,0.135,2.620e-02,4.317e-02
2017-07-13,0.110,0.139,2.934e-02,3.785e-02
2017-07-14,0.113,0.144,3.495e-02,4.177e-02
2017-07-17,0.114,0.145,3.469e-02,4.179e-02
2017-07-18,0.119,0.150,3.951e-02,4.501e-02
2017-07-19,0.124,0.156,4.606e-02,4.972e-02
2017-07-20,0.126,0.157,4.563e-02,5.650e-02
2017-07-21,0.118,0.150,2.853e-02,5.013e-02
2017-07-24,0.117,0.151,2.133e-02,4.149e-02
2017-07-25,0.120,0.154,2.348e-02,3.959e-02
2017-07-26,0.127,0.160,3.347e-02,5.688e-02
2017-07-27,0.131,0.161,5.082e-02,6.949e-02
2017-07-28,0.125,0.154,4.237e-02,6.539e-02
2017-07-31,0.120,0.148,3.889e-02,6.636e-02
2017-08-01,0.123,0.152,3.755e-02,6.578e-02
2017-08-02,0.127,0.160,3.726e-02,6.353e-02
2017-08-03,0.125,0.157,3.889e-02,6.597e-02
2017-08-04,0.129,0.162,4.175e-02,6.803e-02
2017-08-07,0.132,0.166,4.340e-02,6.954e-02
2017-08-08,0.131,0.166,4.016e-02,6.653e-02
2017-08-09,0.132,0.168,4.300e-02,6.991e-02
2017-08-10,0.115,0.148,2.321e-02,6.131e-02
2017-08-11,0.117,0.153,2.157e-02,6.147e-02
2017-08-14,0.129,0.165,3.364e-02,6.988e-02
2017-08-15,0.128,0.166,2.855e-02,6.654e-02
2017-08-16,0.126,0.164,2.441e-02,6.816e-02
2017-08-17,0.108,0.145,1.162e-03,5.339e-02
2017-08-18,0.107,0.144,1.212e-04,4.943e-02
2017-08-21,0.106,0.143,-1.455e-03,5.299e-02
2017-08-22,0.118,0.156,9.802e-03,6.371e-02
2017-08-23,0.112,0.151,2.518e-03,5.688e-02
2017-08-24,0.109,0.147,-3.121e-03,5.348e-02
2017-08-25,0.110,0.148,6.270e-04,5.646e-02
2017-08-28,0.111,0.150,6.582e-04,5.687e-02
2017-08-29,0.114,0.154,1.914e-03,5.826e-02
2017-08-30,0.116,0.157,2.610e-03,5.391e-02
2017-08-31,0.123,0.164,1.310e-02,5.744e-02
2017-09-01,0.124,0.165,2.201e-02,5.595e-02
2017-09-05,0.113,0.154,1.372e-02,4.560e-02
2017-09-06,0.117,0.158,2.477e-02,4.423e-02
