Bin,Center,PDF
0,89.221786,0.000082
1,91.647597,0.000041
2,94.073407,0.000000
3,96.499218,0.000041
4,98.925029,0.000206
5,101.350840,0.000412
6,103.776651,0.000330
7,106.202461,0.001237
8,108.628272,0.001731
9,111.054083,0.002309
10,113.479894,0.003463
11,115.905704,0.004576
12,118.331515,0.006183
13,120.757326,0.008080
14,123.183137,0.010471
15,125.608948,0.012779
16,128.034758,0.014181
17,130.460569,0.016943
18,132.886380,0.019169
19,135.312191,0.020117
20,137.738001,0.022714
21,140.163812,0.023786
22,142.589623,0.024239
23,145.015434,0.024528
24,147.441244,0.022797
25,149.867055,0.022178
26,152.292866,0.022673
27,154.718677,0.020158
28,157.144488,0.016324
29,159.570298,0.015747
30,161.996109,0.014181
31,164.421920,0.012037
32,166.847731,0.010677
33,169.273541,0.008904
34,171.699352,0.006225
35,174.125163,0.005153
36,176.550974,0.004535
37,178.976785,0.003422
38,181.402595,0.002556
39,183.828406,0.002061
40,186.254217,0.001278
41,188.680028,0.000866
42,191.105838,0.000660
43,193.531649,0.000742
44,195.957460,0.000495
45,198.383271,0.000330
46,200.809082,0.000330
47,203.234892,0.000165
48,205.660703,0.000082
49,208.086514,0.000041
