id,Best-Rated Author,Most Expensive Author,Most Rated Author
0,Joy Alukkas,Sigeru Omatu,J.K. Rowling
1,Michael Dante DiMartino,Alan S. L. Yu MD,Colleen Hoover
2,Bret Contreras,Sujal Desai,Sarah J. Maas
3,Frank Thomas,Dr Chan,Jeff Kinney
4,Trent Shelton,Andrew Ramdayal,Rebecca Yarros
5,Tatsuya Endo,Richard P. Feynman,Rick Riordan
6,Dr. Aaron Horschig,Jonathon G. Ruffer,Yuval Noah Harari
7,Cori Doerrfeld,S Piantadosi,Alex Michaelides
8,L. M. Montgomery,Ella Kokotsis,George Orwell
9,Little Tiger Press,Yogen Singh,Fredrik Backman
