CustomerID,RFM_Level
12747,Top
12748,Top
12749,Top
12820,Top
12822,Middle
12823,Low
12824,Middle
12826,Top
12827,Low
12828,Top
12829,Low
12830,Middle
12832,Middle
12833,Low
12834,Middle
12836,Top
12837,Low
12838,Middle
12839,Top
12840,Middle
12841,Top
12842,Middle
12843,Middle
12844,Middle
12845,Low
12847,Middle
12849,Middle
12851,Middle
12852,Low
12853,Middle
12854,Middle
12856,Top
12857,Middle
12863,Low
12864,Low
12867,Top
12868,Middle
12871,Middle
12872,Low
12873,Low
12877,Top
12878,Middle
12879,Low
12883,Middle
12884,Low
12885,Middle
12886,Middle
12890,Middle
12893,Middle
12895,Middle
12901,Top
12902,Low
12904,Middle
12906,Top
12909,Middle
12910,Middle
12912,Middle
12913,Top
12915,Low
12916,Top
12919,Middle
12920,Middle
12921,Top
12922,Low
12923,Middle
12924,Middle
12925,Top
12928,Top
12929,Low
12930,Middle
12931,Top
12933,Middle
12935,Top
12936,Top
12937,Top
12939,Middle
12940,Middle
12942,Middle
12944,Middle
12945,Low
12947,Middle
12948,Top
12949,Top
12950,Middle
12951,Middle
12952,Top
12953,Middle
12955,Top
12956,Low
12957,Top
12962,Middle
12963,Top
12965,Middle
12966,Middle
12968,Low
12970,Top
12971,Top
12974,Low
12976,Middle
12977,Low
12980,Middle
12981,Middle
12982,Low
12984,Middle
12985,Top
12987,Low
12988,Middle
12989,Top
12990,Low
12991,Middle
12993,Middle
12994,Top
12997,Middle
12999,Low
13000,Low
13001,Top
13002,Low
13004,Top
13005,Low
13006,Low
13008,Low
13012,Top
13013,Top
13014,Top
13015,Top
13016,Middle
13018,Top
13021,Top
13023,Middle
13026,Top
13027,Middle
13028,Middle
13029,Middle
13030,Middle
13032,Middle
13033,Low
13034,Middle
13035,Middle
13037,Middle
13038,Low
13040,Middle
13043,Low
13044,Middle
13045,Low
13046,Middle
13047,Top
13048,Top
13049,Low
13050,Top
13052,Low
13055,Middle
13058,Middle
13060,Low
13061,Low
13062,Low
13064,Top
13066,Middle
13067,Low
13069,Top
13070,Low
13072,Low
13075,Middle
13077,Middle
13078,Top
13080,Low
13081,Top
13082,Middle
13083,Middle
13085,Low
13089,Top
13090,Top
13091,Middle
13092,Middle
13093,Middle
13094,Middle
13095,Low
13097,Top
13098,Top
13101,Low
13102,Top
13104,Middle
13106,Low
13107,Middle
13109,Middle
13110,Top
13113,Top
13115,Top
13116,Middle
13117,Middle
13118,Middle
13120,Low
13121,Low
13122,Middle
13124,Top
13126,Top
13127,Low
13131,Middle
13132,Low
13133,Low
13134,Middle
13135,Middle
13136,Top
13137,Top
13138,Middle
13139,Top
13140,Middle
13141,Top
13142,Middle
13144,Low
13145,Low
13146,Middle
13147,Low
13148,Top
13149,Top
13151,Middle
13153,Middle
13155,Middle
13157,Middle
13158,Middle
13159,Top
13160,Low
13161,Low
13162,Middle
13165,Middle
13166,Low
13167,Middle
13168,Middle
13169,Low
13170,Middle
13171,Middle
13173,Middle
13174,Top
13176,Middle
13177,Low
13178,Top
13182,Low
13183,Top
13184,Top
13186,Top
13187,Low
13189,Middle
13192,Middle
13193,Low
13194,Low
13196,Top
13198,Top
13199,Top
13200,Middle
13203,Top
13208,Middle
13209,Top
13210,Middle
13211,Middle
13212,Top
13213,Middle
13216,Low
13220,Low
13221,Middle
13223,Low
13224,Top
13225,Top
13226,Low
13228,Middle
13229,Low
13230,Top
13232,Top
13233,Middle
13235,Middle
13236,Middle
13238,Middle
13239,Low
13240,Middle
13242,Low
13243,Middle
13244,Low
13245,Middle
13246,Top
13247,Low
13248,Low
13249,Middle
13253,Middle
13255,Middle
13258,Middle
13259,Middle
13260,Low
13261,Middle
13262,Low
13263,Top
13265,Middle
13266,Top
13267,Top
13268,Top
13269,Top
13271,Middle
13272,Low
13273,Low
13276,Middle
13277,Low
13278,Middle
13280,Middle
13282,Middle
13283,Low
13285,Top
13291,Low
13292,Middle
13294,Middle
13296,Low
13297,Top
13300,Low
13301,Middle
13302,Low
13304,Low
13305,Top
13308,Middle
13309,Top
13310,Middle
13311,Middle
13313,Middle
13314,Middle
13316,Top
13317,Middle
13318,Low
13319,Top
13320,Middle
13321,Low
13322,Middle
13323,Middle
13324,Top
13325,Middle
13327,Top
13328,Middle
13329,Middle
13330,Middle
13332,Middle
13334,Top
13336,Middle
13338,Middle
13339,Middle
13340,Top
13341,Middle
13343,Low
13344,Middle
13345,Low
13347,Middle
13348,Low
13349,Middle
13350,Middle
13351,Low
13352,Middle
13354,Middle
13355,Middle
13356,Middle
13357,Middle
13358,Low
13359,Low
13362,Top
13363,Middle
13364,Low
13365,Top
13368,Middle
13372,Low
13373,Top
13375,Middle
13376,Middle
13379,Middle
13381,Top
13382,Low
13384,Top
13385,Low
13388,Middle
13389,Top
13394,Top
13395,Low
13396,Top
13397,Middle
13398,Low
13402,Middle
13403,Middle
13404,Low
13405,Low
13408,Top
13410,Middle
13411,Middle
13414,Middle
13416,Middle
13417,Top
13418,Top
13419,Low
13420,Low
13421,Top
13422,Top
13425,Middle
13426,Top
13427,Middle
13428,Middle
13429,Top
13430,Middle
13431,Middle
13435,Top
13436,Middle
13437,Top
13439,Middle
13441,Low
13447,Middle
13448,Top
13449,Low
13450,Top
13451,Top
13452,Middle
13453,Low
13455,Middle
13456,Top
13458,Top
13460,Low
13461,Middle
13462,Low
13464,Low
13466,Low
13467,Top
13468,Top
13470,Low
13471,Top
13473,Middle
13474,Low
13475,Middle
13476,Middle
13477,Middle
13479,Low
13481,Top
13482,Low
13483,Low
13484,Low
13485,Low
13486,Middle
13487,Middle
13488,Top
13489,Middle
13491,Middle
13494,Low
13495,Top
13496,Middle
13497,Low
13499,Middle
13500,Middle
13502,Middle
13503,Low
13504,Middle
13506,Low
13507,Top
13508,Low
13509,Middle
13510,Top
13512,Low
13513,Low
13515,Middle
13516,Middle
13517,Top
13518,Middle
13519,Low
13521,Top
13523,Top
13524,Low
13525,Middle
13527,Top
13529,Low
13531,Low
13532,Middle
13533,Middle
13534,Top
13536,Top
13538,Middle
13539,Middle
13544,Middle
13546,Middle
13548,Middle
13549,Middle
13551,Low
13552,Top
13555,Top
13557,Middle
13558,Top
13560,Middle
13562,Middle
13563,Middle
13564,Middle
13565,Middle
13566,Top
13568,Low
13569,Middle
13570,Low
13571,Top
13572,Middle
13573,Middle
13575,Middle
13576,Top
13577,Top
13581,Low
13583,Middle
13584,Low
13587,Middle
13588,Top
13589,Middle
13590,Top
13591,Middle
13592,Low
13593,Top
13594,Low
13596,Top
13598,Low
13599,Top
13600,Low
13601,Middle
13602,Middle
13603,Middle
13606,Middle
13607,Top
13610,Top
13611,Middle
13614,Top
13615,Low
13617,Middle
13618,Low
13621,Low
13623,Middle
13626,Low
13627,Middle
13629,Top
13630,Top
13631,Low
13632,Top
13634,Top
13635,Middle
13636,Middle
13637,Middle
13638,Middle
13639,Middle
13642,Low
13643,Middle
13644,Top
13645,Low
13647,Top
13649,Low
13650,Top
13652,Middle
13654,Top
13655,Middle
13656,Low
13657,Middle
13658,Top
13659,Middle
13662,Middle
13663,Low
13666,Low
13667,Low
13668,Top
13669,Middle
13670,Low
13673,Middle
13675,Middle
13678,Low
13680,Top
13681,Top
13682,Low
13684,Low
13685,Top
13686,Low
13689,Middle
13690,Low
13692,Middle
13694,Top
13695,Middle
13697,Low
13699,Low
13700,Top
13703,Low
13704,Top
13705,Middle
13706,Low
13707,Low
13708,Middle
13709,Top
13710,Low
13711,Low
13712,Low
13715,Middle
13716,Low
13717,Middle
13718,Low
13719,Top
