job_title,tech_skills,education
HR DIRECTOR,Excel,"Master, Bachelor"
HR MANAGER,Excel,Bachelor
HR SPECIALIST,Excel,Bachelor
HR CLERK,R,Bachelor
HR ANALYST,Excel,Bachelor
HR GENERALIST,Excel,Bachelor
HR ASSOCIATE,Excel,Bachelor
HR SPECIALIST,Excel,Bachelor
HR MANAGER,Excel,"Master, Bachelor"
HR INTERN,Excel,"Master, Bachelor"
HR ASSISTANT,Excel,Bachelor
HR GENERALIST,Excel,"Master, Bachelor"
HR CONSULTANT,Excel,Master
HR ASSISTANT,Excel,Master
HR ASSISTANT,Excel,"Bachelor, Master"
HR GENERALIST,Excel,Bachelor
HR COORDINATOR,Excel,Bachelor
HR ADMINISTRATOR,Excel,Bachelor
HR COORDINATOR,R,"Master, Bachelor"
HR GENERALIST,Excel,Bachelor
SR. HR GENERALIST,Excel,Master
HR BUSINESS PARTNER,Excel,Bachelor
ASSISTANT MANAGER - HR,"R, Excel, Sql","Master, Bachelor"
REGIONAL HR MANAGER,Excel,Bachelor
FIELD HR ASSOCIATE,Excel,"Master, Bachelor"
HR EMPLOYEE RELATIONS SPECIALIST,Excel,Bachelor
TERRITORY HR MANAGER,Excel,Bachelor
SENIOR HR BUSINESS PARTNER,Excel,Bachelor
RECRUITING AND HR MANAGER,Excel,Bachelor
SR. HR CONSULTANT,Excel,"Master, Bachelor"
VOLUNTEER HR -IVOLUNTEER,Sql,Bachelor
GLOBAL HR MANAGER,"Excel, R",Master
HR SENIOR SPECIALIST,Excel,Master
HR CUSTOMER SERVICE REPRESENTATIVE,Excel,Master
HR PERSONNEL ASSISTANT,Excel,Bachelor
EXECUTIVE ASSISTANT HR,Excel,"Master, Bachelor"
SENIOR HR MANAGER,Excel,Master
DESIGNATION,Excel,Master
HR SPECIALIST,Excel,Bachelor
DESIGNER,R,Bachelor
DESIGNER,Excel,Bachelor
E-LEARNING DESIGNER,"Excel, Sql, R","Master, Bachelor"
MECHANICAL DESIGNER,R,Bachelor
INSTRUCTIONAL DESIGNER,Excel,"Phd, Master, Bachelor"
TECHNICAL DESIGNER,Sql,Bachelor
PRODUCT DESIGNER,Python,"Master, Bachelor"
INFORMATION DESIGNER,"Python, Sql",Bachelor
WEB DESIGNER,"Sql, Excel","Master, Bachelor"
PROJECT DESIGNER,Excel,Bachelor
INSTRUCTIONAL DESIGNER,Excel,Bachelor
SET DESIGNER,Excel,Bachelor
