date_key,full_date,month,day,month_name,day_name,weekend
20160101,2016-01-01,1,1,January,Friday,f
20160102,2016-01-02,1,2,January,Saturday,t
20160103,2016-01-03,1,3,January,Sunday,t
20160104,2016-01-04,1,4,January,Monday,f
20160105,2016-01-05,1,5,January,Tuesday,f
20160106,2016-01-06,1,6,January,Wednesday,f
20160107,2016-01-07,1,7,January,Thursday,f
20160108,2016-01-08,1,8,January,Friday,f
20160109,2016-01-09,1,9,January,Saturday,t
20160110,2016-01-10,1,10,January,Sunday,t
20160111,2016-01-11,1,11,January,Monday,f
20160112,2016-01-12,1,12,January,Tuesday,f
20160113,2016-01-13,1,13,January,Wednesday,f
20160114,2016-01-14,1,14,January,Thursday,f
20160115,2016-01-15,1,15,January,Friday,f
20160116,2016-01-16,1,16,January,Saturday,t
20160117,2016-01-17,1,17,January,Sunday,t
20160118,2016-01-18,1,18,January,Monday,f
20160119,2016-01-19,1,19,January,Tuesday,f
20160120,2016-01-20,1,20,January,Wednesday,f
20160121,2016-01-21,1,21,January,Thursday,f
20160122,2016-01-22,1,22,January,Friday,f
20160123,2016-01-23,1,23,January,Saturday,t
20160124,2016-01-24,1,24,January,Sunday,t
20160125,2016-01-25,1,25,January,Monday,f
20160126,2016-01-26,1,26,January,Tuesday,f
20160127,2016-01-27,1,27,January,Wednesday,f
20160128,2016-01-28,1,28,January,Thursday,f
20160129,2016-01-29,1,29,January,Friday,f
20160130,2016-01-30,1,30,January,Saturday,t
20160131,2016-01-31,1,31,January,Sunday,t
20160201,2016-02-01,2,1,February,Monday,f
20160202,2016-02-02,2,2,February,Tuesday,f
20160203,2016-02-03,2,3,February,Wednesday,f
20160204,2016-02-04,2,4,February,Thursday,f
20160205,2016-02-05,2,5,February,Friday,f
20160206,2016-02-06,2,6,February,Saturday,t
20160207,2016-02-07,2,7,February,Sunday,t
20160208,2016-02-08,2,8,February,Monday,f
20160209,2016-02-09,2,9,February,Tuesday,f
20160210,2016-02-10,2,10,February,Wednesday,f
20160211,2016-02-11,2,11,February,Thursday,f
20160212,2016-02-12,2,12,February,Friday,f
20160213,2016-02-13,2,13,February,Saturday,t
20160214,2016-02-14,2,14,February,Sunday,t
20160215,2016-02-15,2,15,February,Monday,f
20160216,2016-02-16,2,16,February,Tuesday,f
20160217,2016-02-17,2,17,February,Wednesday,f
