id,user_type,gender,birth_year,age
0,Subscriber,1,1975,49
1,Subscriber,2,1985,39
2,Subscriber,1,1976,48
3,Subscriber,2,1974,50
4,Subscriber,2,1984,40
5,Subscriber,1,1974,50
6,Subscriber,1,1991,33
7,Subscriber,2,1989,35
8,Subscriber,2,1990,34
9,Subscriber,1,1983,41
10,Subscriber,2,1987,37
11,Subscriber,2,1978,46
12,Subscriber,1,1977,47
13,Subscriber,1,1979,45
14,Subscriber,1,1989,35
15,Subscriber,2,1988,36
16,Subscriber,1,1988,36
17,Subscriber,1,1969,55
18,Subscriber,1,1968,56
19,Subscriber,1,1984,40
20,Subscriber,1,1965,59
21,Subscriber,1,1980,44
22,Subscriber,1,1971,53
23,Subscriber,1,1956,68
24,Subscriber,1,1982,42
25,Subscriber,2,1972,52
26,Subscriber,1,1985,39
27,Subscriber,2,1981,43
28,Subscriber,1,1978,46
29,Subscriber,1,1970,54
30,Subscriber,2,1971,53
31,Subscriber,1,1990,34
32,Subscriber,1,1962,62
33,Subscriber,1,1987,37
34,Subscriber,1,1981,43
35,Subscriber,1,1986,38
36,Subscriber,1,1992,32
37,Subscriber,1,1972,52
38,Subscriber,1,1954,70
39,Subscriber,1,1993,31
40,Subscriber,2,1986,38
41,Subscriber,1,1973,51
42,Subscriber,2,1991,33
43,Subscriber,1,1949,75
44,Subscriber,1,1960,64
45,Subscriber,1,1967,57
46,Subscriber,1,1959,65
47,Subscriber,1,1964,60
48,Subscriber,1,1966,58
49,Subscriber,2,1969,55
50,Customer,0,,
51,Subscriber,2,1973,51
52,Subscriber,1,1994,30
53,Subscriber,2,1977,47
54,Subscriber,2,1976,48
55,Subscriber,1,1955,69
56,Subscriber,2,1964,60
57,Subscriber,1,1963,61
58,Subscriber,2,1970,54
59,Subscriber,1,1950,74
60,Subscriber,2,1996,28
61,Subscriber,2,1966,58
62,Subscriber,2,1959,65
63,Subscriber,1,1957,67
64,Subscriber,2,1983,41
65,Subscriber,2,1982,42
66,Subscriber,1,1948,76
67,Subscriber,1,1995,29
68,Subscriber,1,1958,66
69,Subscriber,2,1968,56
70,Subscriber,2,1980,44
71,Subscriber,2,1954,70
72,Subscriber,2,1956,68
73,Subscriber,1,1953,71
74,Subscriber,2,1967,57
75,Subscriber,2,1975,49
76,Subscriber,1,1961,63
77,Subscriber,2,1960,64
78,Subscriber,2,1979,45
79,Subscriber,2,1994,30
80,Subscriber,2,1962,62
81,Subscriber,2,1961,63
82,Subscriber,2,1949,75
83,Subscriber,2,1998,26
84,Subscriber,1,1998,26
85,Subscriber,2,1963,61
86,Subscriber,2,1957,67
87,Subscriber,2,1993,31
88,Subscriber,0,1993,31
89,Subscriber,1,1999,25
90,Subscriber,1,1951,73
91,Subscriber,1,1947,77
92,Subscriber,1,1952,72
93,Subscriber,1,1996,28
94,Subscriber,0,,
95,Subscriber,1,1997,27
96,Subscriber,2,1992,32
97,Subscriber,0,1981,43
98,Unknown,1,1987,37
99,Subscriber,2,1995,29
100,Subscriber,2,1997,27
101,Subscriber,0,1978,46
102,Subscriber,2,1965,59
103,Subscriber,2,1944,80
104,Subscriber,2,1953,71
105,Subscriber,0,1974,50
106,Subscriber,2,1958,66
107,Customer,1,1992,32
108,Subscriber,1,1941,83
109,Customer,1,1990,34
110,Customer,1,1974,50
111,Customer,2,1979,45
112,Customer,2,1991,33
113,Customer,1,1983,41
114,Subscriber,1,1944,80
115,Customer,1,1988,36
116,Customer,1,1977,47
117,Customer,1,1980,44
118,Subscriber,0,1973,51
119,Subscriber,1,1946,78
120,Customer,2,1983,41
121,Customer,1,1985,39
122,Subscriber,0,1985,39
123,Customer,2,1986,38
124,Subscriber,2,1943,81
125,Subscriber,0,1980,44
126,Subscriber,2,1955,69
127,Unknown,2,1980,44
128,Subscriber,2,1934,90
129,Unknown,1,1998,26
130,Unknown,1,1997,27
131,Unknown,2,1975,49
132,Unknown,1,1962,62
133,Unknown,1,1979,45
134,Unknown,2,1990,34
135,Unknown,1,1992,32
136,Unknown,2,1981,43
137,Unknown,1,1980,44
138,Unknown,1,1990,34
139,Unknown,1,1983,41
140,Unknown,2,1979,45
141,Unknown,1,1982,42
142,Unknown,2,1982,42
143,Unknown,2,1988,36
144,Unknown,1,1969,55
145,Unknown,2,1991,33
146,Unknown,2,1992,32
147,Subscriber,0,1967,57
148,Subscriber,2,1948,76
149,Subscriber,2,1946,78
150,Subscriber,0,1976,48
151,Subscriber,1,1942,82
152,Subscriber,1,1937,87
153,Unknown,1,1967,57
154,Unknown,1,1958,66
155,Subscriber,2,1950,74
156,Subscriber,0,1989,35
157,Unknown,2,1944,80
158,Unknown,1,1978,46
159,Unknown,1,1973,51
160,Unknown,2,1993,31
161,Subscriber,2,1951,73
162,Unknown,1,1972,52
163,Subscriber,1,1943,81
164,Unknown,1,1988,36
165,Unknown,1,1989,35
166,Unknown,2,1978,46
167,Unknown,1,1991,33
168,Subscriber,0,1968,56
169,Unknown,2,1987,37
170,Subscriber,2,1952,72
171,Unknown,2,1989,35
172,Subscriber,2,1940,84
173,Unknown,2,1970,54
174,Unknown,1,1964,60
175,Unknown,2,1974,50
176,Unknown,1,1947,77
177,Unknown,1,1984,40
178,Unknown,2,1985,39
179,Unknown,1,1971,53
180,Unknown,2,1986,38
181,Unknown,1,1976,48
182,Unknown,2,1995,29
183,Subscriber,2,1947,77
184,Subscriber,2,1999,25
185,Unknown,1,1994,30
186,Unknown,1,1974,50
187,Unknown,2,1984,40
188,Unknown,1,1961,63
189,Unknown,2,1962,62
190,Unknown,1,1970,54
191,Unknown,1,1981,43
192,Unknown,1,1985,39
193,Subscriber,1,1940,84
194,Subscriber,1,1945,79
195,Unknown,2,1969,55
196,Customer,1,1967,57
197,Customer,1,1966,58
198,Unknown,1,1995,29
199,Unknown,1,1959,65
200,Unknown,1,1993,31
201,Unknown,1,1963,61
202,Customer,2,1988,36
203,Unknown,1,1960,64
204,Subscriber,1,2000,24
205,Customer,1,1984,40
206,Customer,1,1987,37
207,Customer,2,1989,35
208,Customer,2,1981,43
