id,rec_date,avg_wind,prcp,snow_amt,snow_depth,tavg,tmax,tmin,date_key,rain,snow
0,2016-01-01,12.75,0,0,0,41,43,34,20160101,f,f
1,2016-01-02,9.4,0,0,0,36,42,30,20160102,f,f
2,2016-01-03,10.29,0,0,0,37,47,28,20160103,f,f
3,2016-01-04,17.22,0,0,0,32,35,14,20160104,f,f
4,2016-01-05,9.84,0,0,0,19,31,10,20160105,f,f
5,2016-01-06,5.37,0,0,0,28,42,15,20160106,f,f
6,2016-01-07,3.36,0,0,0,35,46,24,20160107,f,f
7,2016-01-08,8.05,0,0,0,38,45,31,20160108,f,f
8,2016-01-09,6.71,0.01,0,0,44,48,38,20160109,t,f
9,2016-01-10,15.43,1.77,0,0,53,65,39,20160110,t,f
10,2016-01-11,16.33,0,0,0,36,39,24,20160111,f,f
11,2016-01-12,8.72,0.01,0,0,31,44,22,20160112,t,f
12,2016-01-13,18.12,0,0,0,27,31,22,20160113,f,f
13,2016-01-14,8.05,0,0,0,28,39,23,20160114,f,f
14,2016-01-15,3.8,0,0,0,38,49,29,20160115,f,f
15,2016-01-16,11.63,0.26,0,0,47,55,42,20160116,t,f
16,2016-01-17,9.4,0.07,0.7,0,38,42,29,20160117,t,t
17,2016-01-18,17.22,0.03,0.5,1.2,27,30,18,20160118,t,t
18,2016-01-19,19.01,0,0,0,21,31,16,20160119,f,f
19,2016-01-20,9.4,0,0,0,31,39,27,20160120,f,f
20,2016-01-21,13.42,0,0,0,32,38,26,20160121,f,f
21,2016-01-22,10.29,0.03,0.3,0,26,30,20,20160122,t,t
22,2016-01-23,22.82,1.81,24,7.1,26,27,23,20160123,t,t
23,2016-01-24,9.4,0.01,0.2,20.1,26,36,17,20160124,t,t
24,2016-01-25,2.46,0,0,18.9,29,37,18,20160125,f,f
25,2016-01-26,5.82,0,0,16.9,35,46,25,20160126,f,f
26,2016-01-27,9.62,0.01,0,14.2,42,45,32,20160127,t,f
27,2016-01-28,4.03,0,0,9.8,34,42,24,20160128,f,f
28,2016-01-29,10.29,0,0,9.1,36,41,30,20160129,f,f
