player_name,weight,height,player_api_id,birthday,id,player_fifa_api_id
Alain Wiss,148,180.34,95220,1990-08-21 00:00:00,251,184261
Alan Combe,172,185.42,32693,1974-04-03 00:00:00,252,4246
Alan Gow,154,182.88,32547,1982-10-09 00:00:00,253,140307
Alan Haydock,159,175.26,37085,1976-01-13 00:00:00,254,36846
Alan Henrique,181,187.96,267728,1991-06-19 00:00:00,255,229983
Alan Hutton,161,185.42,32870,1984-11-30 00:00:00,256,139533
Alan Kardec,176,187.96,92935,1989-01-12 00:00:00,257,184858
Alan Mannus,203,187.96,14100,1982-05-19 00:00:00,258,110606
Alan Martin,165,182.88,32845,1989-01-01 00:00:00,259,173681
Alan Maybury,161,180.34,23081,1978-08-08 00:00:00,260,13354
Alan O'Brien,157,177.8,24024,1985-02-20 00:00:00,261,164980
Alan Schons,163,180.34,667963,1993-05-24 00:00:00,262,229248
Alan Smith,179,180.34,30248,1980-10-28 00:00:00,263,13739
Alan Tate,187,185.42,23881,1982-09-02 00:00:00,264,158087
Alan Uryga,187,190.5,312585,1994-02-19 00:00:00,265,208614
Alan,154,180.34,25926,1979-09-19 00:00:00,266,20556
Alassane Diallo,132,175.26,441173,1995-02-19 00:00:00,267,225676
Alassane Plea,174,180.34,294859,1993-03-10 00:00:00,268,206467
Alassane Tambe,161,182.88,289250,1992-01-26 00:00:00,269,192731
Alassane Toure,161,182.88,160220,1989-02-09 00:00:00,270,188706
Alban Joinel,181,187.96,121488,1979-09-14 00:00:00,271,188382
Alban Lafont,170,193.04,698273,1999-01-23 00:00:00,272,231691
Alban Meha,168,175.26,94883,1986-04-26 00:00:00,273,203822
Alban Pnishi,179,187.96,177689,1990-10-20 00:00:00,274,229013
Albano Benjamin Bizzarri,196,193.04,37503,1977-11-09 00:00:00,275,14907
Albert Baning,179,193.04,41173,1985-03-19 00:00:00,276,176407
Albert Bunjaku,165,177.8,35831,1983-11-29 00:00:00,277,144050
Albert Crusat,143,165.1,45605,1982-05-13 00:00:00,278,110375
Albert Meyong Ze,157,182.88,37483,1980-10-19 00:00:00,279,14510
Albert Rafetraniaina,143,175.26,396912,1996-09-09 00:00:00,280,212030
Albert Riera,183,187.96,37920,1982-04-15 00:00:00,281,110652
Albert Rusnak,143,180.34,484858,1994-07-07 00:00:00,282,210423
Albert Streit,174,180.34,36066,1980-03-28 00:00:00,283,113441
