id,X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Pastry,Z_Scratch,K_Scatch,Stains,Dirtiness,Bumps,Other_Faults,id
5478,1094,1108,3942253,3942263,59,15,10,7498,114,134,1696,1,0,80,0.4585,0.3056,0.9167,0.0071,0.8,1.0,0.0,1.7708,1.0792,1.0,-0.0833,-0.0588,0.2432,0,0,0,0,0,1,0,5478
17296,1152,1167,945792,945807,140,27,17,17621,119,135,1362,0,1,40,0.2863,0.3905,0.9333,0.0132,0.5833,0.8824,0.0,2.1461,1.2553,1.1761,-0.0667,-0.0195,0.5951,0,0,0,0,0,0,1,17296
2848,10,22,1495267,1495336,304,20,27,29002,103,132,1687,0,1,200,0.6283,0.3788,0.4,0.0059,0.44,1.0,1.0,2.4885,0.9031,1.4314,0.6,-0.0931,0.6453,0,0,0,0,0,1,0,2848
15843,1094,1124,902188,902203,137,15,18,8170,56,134,1362,1,0,80,0.3827,0.3618,0.9412,0.0102,0.9444,1.0,0.0,2.1367,1.2305,1.2041,-0.0588,-0.2397,0.4498,0,0,0,0,0,1,0,15843
8950,1179,1185,106512,106519,33,8,8,6356,190,207,1353,0,1,200,0.2401,0.4286,0.4615,0.0052,0.875,1.0,0.0,1.5185,0.8451,0.8451,-0.5385,0.5552,0.156,0,0,0,0,0,0,1,8950
9144,955,960,46714,46725,198,20,24,19435,90,118,1688,1,0,70,0.7426,0.3862,0.5833,0.0071,0.7,1.0,1.0,2.2923,1.0792,1.3802,0.4167,-0.2053,0.633,0,0,0,0,0,0,1,9144
17261,39,212,1814642,1814708,6525,278,138,674367,38,124,1358,0,1,40,0.0574,0.4285,0.3815,0.1274,0.6223,0.4925,0.0,3.8146,2.238,1.8325,-0.6185,-0.1926,1.0,0,0,1,0,0,0,0,17261
7097,1601,1613,5367324,5367377,114,14,14,10612,67,127,1690,1,0,70,0.0629,0.256,0.8571,0.0071,0.8571,1.0,1.0,2.0569,1.0792,1.1461,0.1429,-0.3128,0.2901,0,0,0,0,0,0,1,7097
4574,5,17,225718,225742,108,15,16,11535,93,127,1354,1,0,70,0.0236,0.3194,0.7368,0.0052,0.5833,0.9375,1.0,2.0334,0.8451,1.1761,0.2632,-0.168,0.2007,0,1,0,0,0,0,0,4574
4438,1207,1222,949655,949669,318,42,39,35740,115,134,1650,0,1,125,0.2982,0.4145,0.3611,0.0077,0.4444,0.9231,1.0,2.5024,1.1139,1.5911,0.6389,-0.0481,0.8355,0,0,0,0,0,0,1,4438
7728,408,415,828904,828914,67,12,12,7842,115,132,1652,1,0,100,0.6631,0.2143,1.0,0.0061,0.8333,1.0,0.5,1.8261,1.0,1.0792,0.0,-0.0387,0.2288,0,0,0,0,0,0,1,7728
7078,642,654,653004,654771,60,12,11,6216,61,124,1688,1,0,70,0.8943,0.2424,0.9167,0.0071,0.8333,1.0,0.0,1.7781,1.0792,1.0414,-0.0833,-0.1668,0.2051,0,0,0,0,0,1,0,7078
2697,41,212,1647865,1647927,6882,273,131,676077,43,125,1358,0,1,40,0.0604,0.4603,0.3815,0.1289,0.5836,0.5114,0.0,3.8377,2.243,1.8261,-0.6185,-0.1921,1.0,0,0,1,0,0,0,0,2697
12292,621,632,2020002,2020117,4346,134,201,473046,101,133,1364,0,1,100,0.9019,0.5466,0.1729,0.0236,0.1831,0.9829,1.0,3.6333,1.5185,2.2672,0.8271,-0.1205,1.0,0,0,0,0,0,0,0,12292
6545,174,194,2020002,2020117,784,131,133,101435,118,150,1356,1,0,80,0.2581,0.6448,0.0294,0.0155,0.1616,0.9931,1.0,2.8921,1.3222,2.0294,0.9706,-0.0101,0.9998,0,0,0,0,1,0,0,6545
9876,1543,1562,5996730,5996739,110,24,17,11682,97,119,1650,1,0,69,0.1103,0.4479,0.9546,0.0126,0.7083,0.7647,0.0,2.0414,1.2305,1.0414,-0.0454,-0.1615,0.4366,0,0,0,0,0,0,1,9876
18843,771,778,833989,833995,85,15,11,9208,84,116,1358,1,0,100,0.8566,0.2525,0.8182,0.0082,0.8,1.0,0.0,1.9294,1.0414,1.0414,-0.1818,-0.2135,0.2051,0,0,0,0,0,0,1,18843
3964,883,917,815573,815711,196,44,23,227896,111,135,1356,1,0,70,0.7694,0.5227,0.5958,0.0184,0.5938,0.7037,0.0,2.2923,1.3979,1.2787,-0.4042,-0.0606,0.6268,0,1,0,0,0,0,0,3964
9688,979,989,1214727,1214748,116,12,27,14041,91,127,1690,1,0,70,0.7808,0.4133,0.5238,0.0051,0.5714,1.0,1.0,2.0645,0.8451,1.4314,0.4762,-0.098,0.3509,1,0,0,0,0,0,0,9688
3545,623,631,5169308,5169335,70,50,11,7605,102,127,1364,1,0,100,0.6283,0.4479,0.5,0.0118,0.8421,0.5454,0.0,1.8451,1.2041,0.699,-0.5,-0.1047,0.204,0,0,0,0,0,1,0,3545
12842,1583,1593,1007319,1007200,60,11,11,5111,73,111,1650,1,0,69,0.8852,0.2182,0.8182,0.0055,0.7273,1.0,1.0,1.7781,0.9542,1.0414,0.1818,-0.2906,0.1862,0,0,0,0,0,0,1,12842
10609,21,37,1008474,1008502,289,35,45,29002,80,125,1362,1,0,70,0.031,0.4211,0.3214,0.0088,0.3429,1.0,1.0,2.4609,1.0792,1.6435,0.6786,-0.2228,0.6514,1,0,0,0,0,0,0,10609
7895,39,190,1735985,1736165,11355,639,388,1299720,31,141,1402,0,1,40,0.0556,0.6154,0.9321,0.1077,0.2363,0.4639,1.0,4.0552,2.179,2.2553,0.0679,-0.1058,1.0,0,0,1,0,0,0,0,7895
9561,1558,1564,1194359,1194414,93,11,13,9671,49,111,1692,1,0,300,0.1213,0.2778,0.6923,0.0065,0.9167,1.0,1.0,1.9685,1.0414,1.1139,0.3077,-0.3257,0.2253,0,0,0,0,0,0,1,9561
8293,801,812,1313103,1313115,52,9,9,7164,110,132,1687,1,0,80,0.8789,0.2031,0.3333,0.0041,1.0,1.0,0.0,1.716,0.8451,0.9542,-0.6667,-0.0881,0.215,0,0,0,0,0,0,1,8293
10569,893,907,2839205,2839222,161,11,22,17124,94,132,1710,1,0,100,0.8118,0.3438,0.5,0.0065,0.8182,1.0,1.0,2.2068,0.9542,1.3424,0.5,-0.1211,0.3479,0,0,0,0,0,1,0,10569
7749,995,1006,79360,79387,138,13,17,14703,78,121,1354,1,0,70,0.7345,0.3577,0.4,0.0082,0.7692,0.9444,1.0,2.1335,1.1461,1.2305,0.6,-0.188,0.3945,0,1,0,0,0,0,0,7749
5483,39,195,2431945,2432111,15050,865,517,1751637,25,141,1400,0,1,40,0.0557,0.495,0.9227,0.1111,0.2409,0.3401,0.0,4.1775,2.1931,2.2175,-0.0773,-0.0955,1.0,0,0,1,0,0,0,0,5483
664,995,1006,2014358,2014368,54,15,8,6651,97,132,1656,1,0,80,0.7204,0.22,0.8,0.006,0.6667,1.0,0.0,1.7324,1.0,0.9031,-0.2,-0.1182,0.1852,0,0,0,0,0,1,0,664
