"country_name","country_code","indicator_name","indicator_code","debt"
"Afghanistan","AFG","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",72894453.7
"Afghanistan","AFG","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",53239440.1
"Afghanistan","AFG","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",61739336.9
"Afghanistan","AFG","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",49114729.4
"Afghanistan","AFG","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",39903620.1
"Afghanistan","AFG","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",39107845
"Afghanistan","AFG","""PPG, multilateral (DIS, current US$)""","DT.DIS.MLAT.CD",23779724.3
"Afghanistan","AFG","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",13335820
"Afghanistan","AFG","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",100847181.9
"Afghanistan","AFG","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",72894453.7
"Afghanistan","AFG","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",53239440.1
"Afghanistan","AFG","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",100847181.9
"Albania","ALB","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",317194512.5
"Albania","ALB","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",165602386.9
"Albania","ALB","""Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)""","DT.INT.DPNG.CD",87884000
"Albania","ALB","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",54250280.6
"Albania","ALB","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",76050616.09999998
"Albania","ALB","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",13847333.6
"Albania","ALB","""PPG, bonds (AMT, current US$)""","DT.AMT.PBND.CD",0
"Albania","ALB","""PPG, bonds (INT, current US$)""","DT.INT.PBND.CD",31030688.2
"Albania","ALB","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",39445139.5
"Albania","ALB","""PPG, commercial banks (DIS, current US$)""","DT.DIS.PCBK.CD",4542664.9
"Albania","ALB","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",4618504.3
"Albania","ALB","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",182197616.7
"Albania","ALB","""PPG, multilateral (DIS, current US$)""","DT.DIS.MLAT.CD",234321242.3
"Albania","ALB","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",28101536.1
"Albania","ALB","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",236447897.3
"Albania","ALB","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",310371858.4
"Albania","ALB","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",41948869.7
"Albania","ALB","""PPG, other private creditors (AMT, current US$)""","DT.AMT.PROP.CD",170018.4
"Albania","ALB","""PPG, other private creditors (DIS, current US$)""","DT.DIS.PROP.CD",2279989.2
"Albania","ALB","""PPG, other private creditors (INT, current US$)""","DT.INT.PROP.CD",120324.7
"Albania","ALB","""PPG, private creditors (AMT, current US$)""","DT.AMT.PRVT.CD",39615157.9
"Albania","ALB","""PPG, private creditors (DIS, current US$)""","DT.DIS.PRVT.CD",6822654.1
"Albania","ALB","""PPG, private creditors (INT, current US$)""","DT.INT.PRVT.CD",35769517.2
"Albania","ALB","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",790248675.2
"Albania","ALB","""Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)""","DT.AMT.DPNG.CD",514185620
"Algeria","DZA","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",10320772.2
"Algeria","DZA","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",19031728.7
"Algeria","DZA","""Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)""","DT.INT.DPNG.CD",3220000
"Algeria","DZA","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",95188724.6
"Algeria","DZA","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",10320772.2
"Algeria","DZA","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",7680627.6
"Algeria","DZA","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",576463.5
"Algeria","DZA","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",13192.3
"Algeria","DZA","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",0
"Algeria","DZA","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",8094779
"Algeria","DZA","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",95188724.6
"Algeria","DZA","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",10320772.2
"Algeria","DZA","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",15775406.6
"Algeria","DZA","""PPG, other private creditors (AMT, current US$)""","DT.AMT.PROP.CD",0
"Algeria","DZA","""PPG, other private creditors (INT, current US$)""","DT.INT.PROP.CD",23129.8
"Algeria","DZA","""PPG, private creditors (AMT, current US$)""","DT.AMT.PRVT.CD",576463.5
"Algeria","DZA","""PPG, private creditors (INT, current US$)""","DT.INT.PRVT.CD",36322.1
"Algeria","DZA","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",171185188.1
"Algeria","DZA","""Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)""","DT.AMT.DPNG.CD",75420000
"Angola","AGO","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",10924018093.1
"Angola","AGO","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",1798550445.5
"Angola","AGO","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",8473824016.3
"Angola","AGO","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",8838256901.1
"Angola","AGO","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",1005053965.1
"Angola","AGO","""PPG, bonds (AMT, current US$)""","DT.AMT.PBND.CD",1000000000
"Angola","AGO","""PPG, bonds (INT, current US$)""","DT.INT.PBND.CD",70000000
"Angola","AGO","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",1125088719.9
"Angola","AGO","""PPG, commercial banks (DIS, current US$)""","DT.DIS.PCBK.CD",1906771593.8
"Angola","AGO","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",580902004.3
"Angola","AGO","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",124688691.9
"Angola","AGO","""PPG, multilateral (DIS, current US$)""","DT.DIS.MLAT.CD",178989598.2
"Angola","AGO","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",47038476.1
"Angola","AGO","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",8598512708.2
"Angola","AGO","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",9017246499.3
"Angola","AGO","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",1052092441.2
"Angola","AGO","""PPG, other private creditors (AMT, current US$)""","DT.AMT.PROP.CD",343444200
"Angola","AGO","""PPG, other private creditors (INT, current US$)""","DT.INT.PROP.CD",95556000
"Angola","AGO","""PPG, private creditors (AMT, current US$)""","DT.AMT.PRVT.CD",2468532919.9
"Angola","AGO","""PPG, private creditors (DIS, current US$)""","DT.DIS.PRVT.CD",1906771593.8
"Angola","AGO","""PPG, private creditors (INT, current US$)""","DT.INT.PRVT.CD",746458004.2999998
"Angola","AGO","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",11067045628.1
"Armenia","ARM","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",426959175.6
"Armenia","ARM","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",275292981.1
"Armenia","ARM","""Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)""","DT.INT.DPNG.CD",128076000
"Armenia","ARM","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",68968314.7
"Armenia","ARM","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",174269846.7
"Armenia","ARM","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",24094832
"Armenia","ARM","""PPG, bonds (AMT, current US$)""","DT.AMT.PBND.CD",0
"Armenia","ARM","""PPG, bonds (INT, current US$)""","DT.INT.PBND.CD",65754000
"Armenia","ARM","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",1635012
"Armenia","ARM","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",196685.2
"Armenia","ARM","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",94331207.1
"Armenia","ARM","""PPG, multilateral (DIS, current US$)""","DT.DIS.MLAT.CD",252689328.9
"Armenia","ARM","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",57171463.9
"Armenia","ARM","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",163299521.8
"Armenia","ARM","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",426959175.6
"Armenia","ARM","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",81266295.9
"Armenia","ARM","""PPG, private creditors (AMT, current US$)""","DT.AMT.PRVT.CD",1635012
"Armenia","ARM","""PPG, private creditors (INT, current US$)""","DT.INT.PRVT.CD",65950685.2
"Armenia","ARM","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",845630723.7999998
"Armenia","ARM","""Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)""","DT.AMT.DPNG.CD",680696190
"Azerbaijan","AZE","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",1088458061.2
"Azerbaijan","AZE","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",495732858.1
"Azerbaijan","AZE","""Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)""","DT.INT.DPNG.CD",74183981
"Azerbaijan","AZE","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",106369937
"Azerbaijan","AZE","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",84748079.59999998
"Azerbaijan","AZE","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",10085950
"Azerbaijan","AZE","""PPG, bonds (AMT, current US$)""","DT.AMT.PBND.CD",0
"Azerbaijan","AZE","""PPG, bonds (INT, current US$)""","DT.INT.PBND.CD",225022000
"Azerbaijan","AZE","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",423613103.8
"Azerbaijan","AZE","""PPG, commercial banks (DIS, current US$)""","DT.DIS.PCBK.CD",347550999.6
"Azerbaijan","AZE","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",49574780.2
"Azerbaijan","AZE","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",513623656.5
"Azerbaijan","AZE","""PPG, multilateral (DIS, current US$)""","DT.DIS.MLAT.CD",656158982
"Azerbaijan","AZE","""PPG, multilateral (INT, current US$)""","DT.INT.MLAT.CD",136577146.9
"Azerbaijan","AZE","""PPG, official creditors (AMT, current US$)""","DT.AMT.OFFT.CD",619993593.5
"Azerbaijan","AZE","""PPG, official creditors (DIS, current US$)""","DT.DIS.OFFT.CD",740907061.6
"Azerbaijan","AZE","""PPG, official creditors (INT, current US$)""","DT.INT.OFFT.CD",146663096.9
"Azerbaijan","AZE","""PPG, other private creditors (AMT, current US$)""","DT.AMT.PROP.CD",4110150.2
"Azerbaijan","AZE","""PPG, other private creditors (INT, current US$)""","DT.INT.PROP.CD",289000
"Azerbaijan","AZE","""PPG, private creditors (AMT, current US$)""","DT.AMT.PRVT.CD",427723254
"Azerbaijan","AZE","""PPG, private creditors (DIS, current US$)""","DT.DIS.PRVT.CD",347550999.6
"Azerbaijan","AZE","""PPG, private creditors (INT, current US$)""","DT.INT.PRVT.CD",274885780.2
"Azerbaijan","AZE","""Principal repayments on external debt, long-term (AMT, current US$)""","DT.AMT.DLXF.CD",1513813661.4
"Azerbaijan","AZE","""Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)""","DT.AMT.DPNG.CD",466096813.9
"Bangladesh","BGD","""Disbursements on external debt, long-term (DIS, current US$)""","DT.DIS.DLXF.CD",9050557611.9
"Bangladesh","BGD","""Interest payments on external debt, long-term (INT, current US$)""","DT.INT.DLXF.CD",821146448.7
"Bangladesh","BGD","""Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)""","DT.INT.DPNG.CD",155543000
"Bangladesh","BGD","""PPG, bilateral (AMT, current US$)""","DT.AMT.BLAT.CD",386702219.8
"Bangladesh","BGD","""PPG, bilateral (DIS, current US$)""","DT.DIS.BLAT.CD",6141785637.5
"Bangladesh","BGD","""PPG, bilateral (INT, current US$)""","DT.INT.BLAT.CD",309079773.4
"Bangladesh","BGD","""PPG, commercial banks (AMT, current US$)""","DT.AMT.PCBK.CD",3943983.7
"Bangladesh","BGD","""PPG, commercial banks (INT, current US$)""","DT.INT.PCBK.CD",0
"Bangladesh","BGD","""PPG, multilateral (AMT, current US$)""","DT.AMT.MLAT.CD",1039564682.7
