VARIABLE,VARIABLE_NAME,SEASONALLY_ADJUSTED,FREQUENCY,UNIT,REPORT,MEASURE,INDUSTRY,ESTABLISHMENT_SIZE
"JOLTS:_Hires,_Total_nonfarm,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Hires, Total nonfarm, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Hires,Total nonfarm,All size classes
"JOLTS:_Other_separations,_Information,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Information, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Information,All size classes
"JOLTS:_Hires,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Hires, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Hires,"Arts, entertainment, and recreation",All size classes
"JOLTS:_Other_separations,_Federal,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Federal, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Other separations,Federal,All size classes
"JOLTS:_Hires,_Other_services,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Hires, Other services, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Hires,Other services,All size classes
"JOLTS:_Total_separations,_State_and_local,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Level","JOLTS: Total separations, State and local, All size classes, Not seasonally adjusted, Annual, Level",false,Annual,Level,JOLTS,Total separations,State and local,All size classes
"JOLTS:_Other_separations,_Government,_All_size_classes,_Not_seasonally_adjusted,_Monthly,_Percent","JOLTS: Other separations, Government, All size classes, Not seasonally adjusted, Monthly, Percent",false,Monthly,Percent,JOLTS,Other separations,Government,All size classes
"JOLTS:_Quits,_Total_private,_1_to_9_employees,_Not_seasonally_adjusted,_Monthly,_Level","JOLTS: Quits, Total private, 1 to 9 employees, Not seasonally adjusted, Monthly, Level",false,Monthly,Level,JOLTS,Quits,Total private,1 to 9 employees
"JOLTS:_Layoffs_and_discharges,_Total_private,_All_size_classes,_Seasonally_adjusted,_Monthly,_Percent","JOLTS: Layoffs and discharges, Total private, All size classes, Seasonally adjusted, Monthly, Percent",true,Monthly,Percent,JOLTS,Layoffs and discharges,Total private,All size classes
"JOLTS:_Quits,_Arts,_entertainment,_and_recreation,_All_size_classes,_Not_seasonally_adjusted,_Annual,_Percent","JOLTS: Quits, Arts, entertainment, and recreation, All size classes, Not seasonally adjusted, Annual, Percent",false,Annual,Percent,JOLTS,Quits,"Arts, entertainment, and recreation",All size classes
