VARIABLE,VARIABLE_NAME,ITEM_DESCRIPTION,MEASURE,UNIT,FREQUENCY,MEASUREMENT_TYPE,GEO_COVERAGE,SEASONALLY_ADJUSTED,SOURCE
harmonized_index_of_consumer_prices_artificial_sugar_substitutes_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Artificial Sugar Substitutes, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Artificial Sugar Substitutes,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_hire_of_equipment_and_accessories_for_culture_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Hire Of Equipment And Accessories For Culture, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Hire Of Equipment And Accessories For Culture,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_furnishings_household_equipment_and_routine_house_maintenance_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Furnishings, Household Equipment And Routine House Maintenance, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","Furnishings, Household Equipment And Routine House Maintenance",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_allitems_excluding_alcoholic_beverages_tobacco_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - All-Items Excluding Alcoholic Beverages, Tobacco, Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent","All-Items Excluding Alcoholic Beverages, Tobacco",Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_all_items_excluding_fully_administered_prices_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - All Items Excluding Fully Administered Prices, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",All Items Excluding Fully Administered Prices,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_cameras_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Cameras, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Cameras,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_other_personal_effects_nec_annual_rate_of_change_eurostat_neither_seasonally_nor_working_day_adjusted_percent,"Harmonized Index Of Consumer Prices - Other Personal Effects N.E.C., Annual Rate Of Change, Eurostat, Neither Seasonally Nor Working Day Adjusted, Percent",Other Personal Effects N.E.C.,Harmonized Index Of Consumer Prices,Percent,Monthly,Annual rate of change (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_services_for_the_maintenance_and_repair_of_the_dwelling_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Services For The Maintenance And Repair Of The Dwelling, Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Services For The Maintenance And Repair Of The Dwelling,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_chocolate_monthly_index_eurostat_neither_seasonally_nor_working_day_adjusted_index_2015=100,"Harmonized Index Of Consumer Prices - Chocolate, Monthly Index, Eurostat, Neither Seasonally Nor Working Day Adjusted, Index, 2015=100",Chocolate,Harmonized Index Of Consumer Prices,"Index, 2015=100",Monthly,Index (Average of observations through period),,Not seasonally adjusted,Eurostat
harmonized_index_of_consumer_prices_insurance_connected_with_health_contribution_to_growth_rate_european_central_bank_neither_seasonally_nor_working_day_adjusted_points,"Harmonized Index Of Consumer Prices - Insurance Connected With Health, Contribution To Growth Rate, European Central Bank, Neither Seasonally Nor Working Day Adjusted, Points",Insurance Connected With Health,Harmonized Index Of Consumer Prices,Points,Monthly,Contribution to growth rate (Average of observations through period),,Not seasonally adjusted,European Central Bank (ECB)
