Title,Main Genre,No. of Books,URLs
Architecture,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318053031
Cinema & Broadcast,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318054031
Dance,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318055031
Design & Fashion,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318056031
Museums & Museology,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318058031
Music,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318059031
Painting,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318060031
Photography,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318061031
Sculpture,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318062031
Theater & Ballet,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318063031
Theory & Criticism,"Arts, Film & Photography",100.0,https://www.amazon.in/gp/bestsellers/books/1318057031
Biographies & Autobiographies,"Biographies, Diaries & True Accounts",100.0,https://www.amazon.in/gp/bestsellers/books/1318065031
Diaries & Journals,"Biographies, Diaries & True Accounts",100.0,https://www.amazon.in/gp/bestsellers/books/1318066031
True Accounts,"Biographies, Diaries & True Accounts",100.0,https://www.amazon.in/gp/bestsellers/books/1318067031
Analysis & Strategy,Business & Economics,100.0,https://www.amazon.in/gp/bestsellers/books/1318070031
Business Development & Entrepreneurship,Business & Economics,100.0,https://www.amazon.in/gp/bestsellers/books/26160407031
Economics,Business & Economics,100.0,https://www.amazon.in/gp/bestsellers/books/1318069031
Industries,Business & Economics,100.0,https://www.amazon.in/gp/bestsellers/books/1318071031
Action & Adventure,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318084031
Animals & Pets,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803455031
Arts & Photography,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803456031
Biographies,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803461031
"Cars, Trains & Things That Go",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803460031
Comics & Graphic Novels,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318074031
Computers & Technology,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803464031
"Crafts, Hobbies & Practical Interests",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318075031
Crime & Thriller,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318086031
Early Learning,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318076031
Education & Reference,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803454031
"Fairy Tales, Folk Tales & Myths",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803462031
"Family, Personal & Social Issues",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318077031
Fantasy,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803457031
"Fantasy, Science Fiction & Horror",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1402037031
"Games, Toys & Activities",Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318078031
Geography & Cultures,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803459031
Growing Up & Facts of Life,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/67803458031
Historical Fiction,Children's Books,100.0,https://www.amazon.in/gp/bestsellers/books/1318088031
