"index","Store_ID","Date","Dept","Weekly_Sales"
0,1,"2010-02-05T00:00:00.000",1,24924.5
1,1,"2010-02-05T00:00:00.000",26,11737.12
2,1,"2010-02-05T00:00:00.000",17,13223.76
3,1,"2010-02-05T00:00:00.000",45,37.44
4,1,"2010-02-05T00:00:00.000",28,1085.29
5,1,"2010-02-05T00:00:00.000",79,46729.77
6,1,"2010-02-05T00:00:00.000",55,21249.31
7,1,"2010-02-05T00:00:00.000",5,32229.38
8,1,"2010-02-05T00:00:00.000",58,7659.97
9,1,"2010-02-05T00:00:00.000",7,null
10,1,"2010-02-05T00:00:00.000",83,null
11,1,"2010-02-05T00:00:00.000",9,null
12,1,"2010-02-05T00:00:00.000",87,null
13,1,"2010-02-05T00:00:00.000",34,null
14,1,"2010-02-05T00:00:00.000",19,1947.05
15,1,"2010-02-05T00:00:00.000",52,3508.04
16,1,null,74,12251.94
17,1,null,38,115564.35
18,1,null,93,64494.87
19,1,null,23,24146.49
20,1,null,16,10217.55
21,1,"2010-02-05T00:00:00.000",95,106690.06
22,1,"2010-02-05T00:00:00.000",2,50605.27
23,1,"2010-02-05T00:00:00.000",27,2293
24,1,"2010-02-05T00:00:00.000",51,1.16
25,1,"2010-02-05T00:00:00.000",4,39954.04
26,1,"2010-02-05T00:00:00.000",80,15694.17
27,1,"2010-02-05T00:00:00.000",29,7024.95
28,1,"2010-02-05T00:00:00.000",56,2567.36
29,1,"2010-02-05T00:00:00.000",31,3455.92
30,1,"2010-02-05T00:00:00.000",33,8589.77
31,1,"2010-02-05T00:00:00.000",8,40129.01
32,1,"2010-02-05T00:00:00.000",85,3825.78
33,1,"2010-02-05T00:00:00.000",67,8414.14
34,1,"2010-02-05T00:00:00.000",46,20837.77
35,1,"2010-02-05T00:00:00.000",90,76419.47
36,1,"2010-02-05T00:00:00.000",12,8449.54
37,1,"2010-02-05T00:00:00.000",54,439
38,1,"2010-02-05T00:00:00.000",14,19466.91
39,1,"2010-02-05T00:00:00.000",94,56655.39
40,1,"2010-02-05T00:00:00.000",97,32153.04
41,1,"2010-02-05T00:00:00.000",42,8366.71
42,1,"2010-02-05T00:00:00.000",49,11501.46
43,1,"2010-02-05T00:00:00.000",47,70
44,1,"2010-02-05T00:00:00.000",91,62424.14
45,1,"2010-02-05T00:00:00.000",3,13740.12
46,1,"2010-02-05T00:00:00.000",21,8907.63
47,1,"2010-02-05T00:00:00.000",32,11875.84
48,1,"2010-02-05T00:00:00.000",81,30052.75
49,1,"2010-02-05T00:00:00.000",30,5491
50,1,"2010-02-05T00:00:00.000",44,4674.75
51,1,"2010-02-05T00:00:00.000",36,120
52,1,"2010-02-05T00:00:00.000",48,814
53,1,"2010-02-05T00:00:00.000",22,13623.98
54,1,"2010-02-05T00:00:00.000",60,1416.8
55,1,"2010-02-05T00:00:00.000",35,2770
56,1,"2010-02-05T00:00:00.000",24,8272.9
57,1,"2010-02-05T00:00:00.000",82,19484.03
58,1,"2010-02-05T00:00:00.000",13,41969.29
59,1,"2010-02-05T00:00:00.000",40,66780.63
60,1,"2010-02-05T00:00:00.000",25,11609.5
61,1,"2010-02-05T00:00:00.000",10,30721.5
62,1,"2010-02-05T00:00:00.000",18,4729.5
63,1,"2010-02-05T00:00:00.000",59,1409.34
64,1,"2010-02-05T00:00:00.000",41,1011.83
65,1,"2010-02-05T00:00:00.000",20,5034.1
66,1,"2010-02-05T00:00:00.000",37,3438.16
67,1,"2010-02-05T00:00:00.000",72,98499.12
68,1,"2010-02-05T00:00:00.000",92,139884.94
69,1,"2010-02-05T00:00:00.000",71,5421.14
70,1,"2010-02-05T00:00:00.000",11,24213.18
71,1,"2010-02-05T00:00:00.000",6,5749.03
72,1,"2010-02-05T00:00:00.000",98,10891.37
73,1,"2010-02-12T00:00:00.000",3,10887.84
74,1,"2010-02-12T00:00:00.000",79,36080.86
75,1,"2010-02-12T00:00:00.000",46,18826.47
76,1,null,13,36476.4
77,1,null,17,13403.66
78,1,null,23,22812.41
79,1,null,87,39254.57
80,1,null,4,35351.21
81,1,null,85,4994.64
82,1,null,7,18310.31
83,1,"2010-02-12T00:00:00.000",45,34.47
84,1,"2010-02-12T00:00:00.000",6,9135
85,1,"2010-02-12T00:00:00.000",14,18129.02
86,1,"2010-02-12T00:00:00.000",60,1003.2
87,1,"2010-02-12T00:00:00.000",21,8735.83
88,1,"2010-02-12T00:00:00.000",55,18892.81
89,1,"2010-02-12T00:00:00.000",11,21760.75
90,1,"2010-02-12T00:00:00.000",28,1008.36
91,1,"2010-02-12T00:00:00.000",98,16309.73
92,1,"2010-02-12T00:00:00.000",32,14700.59
93,1,"2010-02-12T00:00:00.000",5,29620.81
94,1,"2010-02-12T00:00:00.000",9,16562.49
95,1,"2010-02-12T00:00:00.000",29,7696.61
96,1,"2010-02-12T00:00:00.000",49,16139.05
97,1,"2010-02-12T00:00:00.000",80,16720.84
98,1,"2010-02-12T00:00:00.000",82,20949.36
99,1,"2010-02-12T00:00:00.000",93,70202.02
100,1,"2010-02-12T00:00:00.000",59,1447.42
101,1,"2010-02-12T00:00:00.000",8,37334.83
102,1,"2010-02-12T00:00:00.000",81,30694.25
103,1,"2010-02-12T00:00:00.000",58,4505
104,1,"2010-02-12T00:00:00.000",83,7521.08
105,1,"2010-02-12T00:00:00.000",51,28.11
106,1,"2010-02-12T00:00:00.000",25,13268.75
107,1,"2010-02-12T00:00:00.000",94,62329.48
108,1,"2010-02-12T00:00:00.000",40,60828.25
109,1,"2010-02-12T00:00:00.000",26,10050.92
110,1,"2010-02-12T00:00:00.000",97,33874.47
111,1,"2010-02-12T00:00:00.000",24,8050.24
112,1,"2010-02-12T00:00:00.000",33,8483.54
113,1,"2010-02-12T00:00:00.000",38,94136.35
114,1,"2010-02-12T00:00:00.000",74,11857.96
115,1,"2010-02-12T00:00:00.000",54,383
116,1,"2010-02-12T00:00:00.000",10,31494.77
117,1,"2010-02-12T00:00:00.000",27,2339.5
118,1,"2010-02-12T00:00:00.000",44,4463.33
119,1,"2010-02-12T00:00:00.000",42,7284.34
120,1,"2010-02-12T00:00:00.000",48,247
121,1,"2010-02-12T00:00:00.000",34,12852.83
122,1,"2010-02-12T00:00:00.000",22,14807.95
123,1,"2010-02-12T00:00:00.000",19,1490.79
124,1,"2010-02-12T00:00:00.000",91,66937
125,1,"2010-02-12T00:00:00.000",71,4752
126,1,"2010-02-12T00:00:00.000",36,432
