"donor_id","donor_name","donor_type"
1,"Donor_1","Individual"
2,"Donor_2","Organization"
3,"Donor_3","Individual"
4,"Donor_4","Organization"
5,"Donor_5","Organization"
6,"Donor_6","Corporate"
7,"Donor_7","Individual"
8,"Donor_8","Corporate"
9,"Donor_9","Individual"
10,"Donor_10","Individual"
11,"Donor_11","Individual"
12,"Donor_12","Corporate"
13,"Donor_13","Organization"
14,"Donor_14","Corporate"
15,"Donor_15","Corporate"
16,"Donor_16","Individual"
17,"Donor_17","Organization"
18,"Donor_18","Organization"
19,"Donor_19","Organization"
20,"Donor_20","Organization"
21,"Donor_21","Individual"
22,"Donor_22","Organization"
23,"Donor_23","Individual"
24,"Donor_24","Individual"
25,"Donor_25","Organization"
26,"Donor_26","Corporate"
27,"Donor_27","Individual"
28,"Donor_28","Corporate"
29,"Donor_29","Individual"
30,"Donor_30","Organization"
31,"Donor_31","Organization"
32,"Donor_32","Corporate"
33,"Donor_33","Individual"
34,"Donor_34","Organization"
35,"Donor_35","Organization"
36,"Donor_36","Organization"
37,"Donor_37","Individual"
38,"Donor_38","Corporate"
39,"Donor_39","Individual"
40,"Donor_40","Corporate"
41,"Donor_41","Corporate"
42,"Donor_42","Individual"
43,"Donor_43","Corporate"
44,"Donor_44","Individual"
45,"Donor_45","Individual"
46,"Donor_46","Individual"
47,"Donor_47","Organization"
48,"Donor_48","Organization"
49,"Donor_49","Corporate"
50,"Donor_50","Individual"
51,"Donor_51","Individual"
52,"Donor_52","Organization"
53,"Donor_53","Individual"
54,"Donor_54","Organization"
55,"Donor_55","Corporate"
56,"Donor_56","Corporate"
57,"Donor_57","Individual"
58,"Donor_58","Organization"
59,"Donor_59","Organization"
60,"Donor_60","Organization"
61,"Donor_61","Organization"
62,"Donor_62","Corporate"
63,"Donor_63","Corporate"
64,"Donor_64","Corporate"
65,"Donor_65","Individual"
66,"Donor_66","Corporate"
67,"Donor_67","Organization"
68,"Donor_68","Individual"
69,"Donor_69","Organization"
70,"Donor_70","Corporate"
71,"Donor_71","Individual"
72,"Donor_72","Individual"
73,"Donor_73","Corporate"
74,"Donor_74","Individual"
75,"Donor_75","Individual"
76,"Donor_76","Individual"
77,"Donor_77","Individual"
78,"Donor_78","Individual"
79,"Donor_79","Individual"
80,"Donor_80","Corporate"
81,"Donor_81","Individual"
82,"Donor_82","Corporate"
83,"Donor_83","Organization"
84,"Donor_84","Organization"
85,"Donor_85","Organization"
86,"Donor_86","Individual"
87,"Donor_87","Organization"
88,"Donor_88","Organization"
89,"Donor_89","Organization"
90,"Donor_90","Individual"
91,"Donor_91","Organization"
92,"Donor_92","Corporate"
93,"Donor_93","Individual"
94,"Donor_94","Organization"
95,"Donor_95","Corporate"
96,"Donor_96","Individual"
97,"Donor_97","Corporate"
98,"Donor_98","Individual"
99,"Donor_99","Organization"
100,"Donor_100","Corporate"
101,"Donor_101","Corporate"
102,"Donor_102","Organization"
103,"Donor_103","Individual"
104,"Donor_104","Organization"
105,"Donor_105","Organization"
106,"Donor_106","Individual"
107,"Donor_107","Corporate"
108,"Donor_108","Corporate"
109,"Donor_109","Corporate"
110,"Donor_110","Corporate"
111,"Donor_111","Organization"
112,"Donor_112","Corporate"
113,"Donor_113","Corporate"
114,"Donor_114","Corporate"
115,"Donor_115","Corporate"
116,"Donor_116","Corporate"
117,"Donor_117","Individual"
118,"Donor_118","Organization"
119,"Donor_119","Corporate"
120,"Donor_120","Corporate"
121,"Donor_121","Organization"
122,"Donor_122","Corporate"
123,"Donor_123","Organization"
124,"Donor_124","Individual"
125,"Donor_125","Corporate"
126,"Donor_126","Corporate"
127,"Donor_127","Individual"
128,"Donor_128","Corporate"
129,"Donor_129","Individual"
130,"Donor_130","Individual"
131,"Donor_131","Corporate"
132,"Donor_132","Individual"
133,"Donor_133","Corporate"
134,"Donor_134","Corporate"
135,"Donor_135","Corporate"
136,"Donor_136","Individual"
137,"Donor_137","Individual"
138,"Donor_138","Individual"
139,"Donor_139","Organization"
140,"Donor_140","Corporate"
141,"Donor_141","Individual"
142,"Donor_142","Organization"
143,"Donor_143","Corporate"
144,"Donor_144","Corporate"
145,"Donor_145","Corporate"
146,"Donor_146","Organization"
147,"Donor_147","Individual"
148,"Donor_148","Individual"
149,"Donor_149","Individual"
150,"Donor_150","Individual"
151,"Donor_151","Corporate"
152,"Donor_152","Corporate"
153,"Donor_153","Individual"
154,"Donor_154","Individual"
155,"Donor_155","Individual"
156,"Donor_156","Organization"
157,"Donor_157","Corporate"
158,"Donor_158","Individual"
159,"Donor_159","Individual"
160,"Donor_160","Organization"
161,"Donor_161","Individual"
162,"Donor_162","Corporate"
163,"Donor_163","Organization"
164,"Donor_164","Organization"
165,"Donor_165","Organization"
166,"Donor_166","Individual"
167,"Donor_167","Individual"
168,"Donor_168","Individual"
169,"Donor_169","Organization"
170,"Donor_170","Organization"
171,"Donor_171","Corporate"
172,"Donor_172","Organization"
173,"Donor_173","Individual"
174,"Donor_174","Individual"
175,"Donor_175","Organization"
176,"Donor_176","Corporate"
177,"Donor_177","Organization"
178,"Donor_178","Organization"
179,"Donor_179","Organization"
180,"Donor_180","Individual"
181,"Donor_181","Individual"
182,"Donor_182","Individual"
183,"Donor_183","Organization"
184,"Donor_184","Corporate"
185,"Donor_185","Organization"
186,"Donor_186","Organization"
187,"Donor_187","Individual"
188,"Donor_188","Individual"
189,"Donor_189","Organization"
190,"Donor_190","Corporate"
191,"Donor_191","Individual"
192,"Donor_192","Corporate"
193,"Donor_193","Corporate"
194,"Donor_194","Organization"
195,"Donor_195","Organization"
196,"Donor_196","Organization"
197,"Donor_197","Corporate"
198,"Donor_198","Individual"
