is_arrested,search_type,stop_date,driver_race_raw,stop_time,fine_grained_location,driver_age_raw,state,stop_duration,stop_outcome,county_name,search_type_raw,county_fips,out_of_state,drugs_related_stop,contraband_found,driver_gender,location_raw,violation_raw,search_conducted,driver_race,district,violation,driver_age,id,police_department
False,,2005-11-03,W,12:55,,1981.0,RI,0-15 Min,N/D,,,,False,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,24.0,RI-2005-05126,300
False,,2006-02-15,W,15:25,,1985.0,RI,16-30 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,21.0,RI-2006-07789,300
False,,2005-12-13,W,14:50,,1953.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,52.0,RI-2005-11676,900
False,,2006-06-09,W,07:05,,1978.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,28.0,RI-2006-26234,900
False,,2005-12-24,W,14:25,,1981.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,24.0,RI-2005-13205,300
False,,2005-10-07,W,10:25,,1953.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,52.0,RI-2005-01112,500
False,,2006-02-20,W,02:30,,1986.0,RI,16-30 Min,Citation,,,,True,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,20.0,RI-2006-08450,300
False,,2005-10-24,W,10:10,,1968.0,RI,16-30 Min,Citation,,,,True,False,False,M,Zone X1,Other Traffic Violation,False,White,Zone X1,Moving violation,37.0,RI-2005-03530,0
False,,2006-02-25,W,22:25,,1987.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,19.0,RI-2006-09297,300
False,,2005-10-21,W,09:40,,1950.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,55.0,RI-2005-02920,600
False,,2005-11-23,B,20:20,,1982.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,Black,Zone X3,Speeding,23.0,RI-2005-08647,200
False,,2005-10-04,W,20:20,,1967.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,38.0,RI-2005-00717,200
False,,2006-04-05,W,17:01,,1958.0,RI,0-15 Min,Warning,,,,True,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,48.0,RI-2006-15742,900
,,2005-10-11,,10:30,,,RI,,,,,,,False,False,,Zone X1,,False,,Zone X1,,,RI-2005-01741,0
False,,2006-03-29,W,07:00,,1955.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,51.0,RI-2006-14426,300
False,,2006-04-28,I,23:15,,1969.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K3,Speeding,False,Asian,Zone K3,Speeding,37.0,RI-2006-19607,300
False,,2005-12-31,W,07:45,,1957.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,48.0,RI-2005-13920,200
False,,2006-05-03,B,00:50,,1971.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Equipment/Inspection Violation,False,Black,Zone K3,Equipment,35.0,RI-2006-20214,300
False,,2005-10-10,W,13:25,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,21.0,RI-2005-01595,300
False,,2006-04-05,H,06:55,,0.0,RI,0-15 Min,No Action,,,,,False,False,M,Zone K3,Motorist Assist/Courtesy,False,Hispanic,Zone K3,Other,,RI-2006-15664,300
False,,2005-12-01,O,14:30,,1968.0,RI,0-15 Min,Warning,,,,,False,False,M,Zone X1,Speeding,False,Other,Zone X1,Speeding,37.0,RI-2005-09902,0
,,2006-03-14,,11:00,,,RI,,,,,,,False,False,,Zone K3,,False,,Zone K3,,,RI-2006-11930,300
False,,2006-04-24,W,17:10,,1979.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,27.0,RI-2006-18800,500
False,,2006-04-20,W,22:40,,1965.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,41.0,RI-2006-18120,300
False,,2006-05-04,W,23:55,,1975.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,31.0,RI-2006-20566,300
False,,2006-04-21,W,09:25,,1987.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,19.0,RI-2006-18193,500
False,,2006-03-27,W,10:10,,1981.0,RI,0-15 Min,Warning,,,,False,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,25.0,RI-2006-14158,0
False,,2005-12-29,W,07:40,,1958.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K2,Other Traffic Violation,False,White,Zone K2,Moving violation,47.0,RI-2005-13618,900
False,,2006-04-12,W,07:16,,1984.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,22.0,RI-2006-16858,600
False,,2006-01-09,W,10:50,,1929.0,RI,16-30 Min,Citation,,,,True,False,False,M,Zone K3,Other Traffic Violation,False,White,Zone K3,Moving violation,77.0,RI-2006-01387,300
False,,2006-02-19,W,17:10,,1980.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,26.0,RI-2006-08389,600
False,,2005-10-03,W,14:01,,1970.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,35.0,RI-2005-00541,600
False,,2005-10-17,B,12:30,,1947.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone K3,Call for Service,False,Black,Zone K3,Other,58.0,RI-2005-02314,300
False,,2005-11-14,W,18:50,,1967.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,38.0,RI-2005-07299,300
False,,2006-02-17,W,11:10,,1973.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,33.0,RI-2006-08049,200
False,,2005-11-23,W,20:55,,1981.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,24.0,RI-2005-08656,300
True,,2006-02-08,W,01:15,,1979.0,RI,0-15 Min,Arrest Driver,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,27.0,RI-2006-06686,500
False,,2005-11-19,W,12:46,,1978.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,27.0,RI-2005-08055,200
False,,2006-06-11,W,09:55,,1981.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,25.0,RI-2006-26624,600
True,"Incident to Arrest,Probable Cause",2005-12-28,W,03:00,,1970.0,RI,30+ Min,Arrest Driver,,"Incident to Arrest,Odor of Drugs/Alcohol",,False,True,True,M,Zone K3,APB,True,White,Zone K3,Other,35.0,RI-2005-13486,300
False,,2006-03-14,W,13:35,,1958.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K3,Speeding,False,White,Zone K3,Speeding,48.0,RI-2006-11957,300
True,,2006-02-04,B,20:00,,1985.0,RI,16-30 Min,Arrest Driver,,,,True,False,False,M,Zone K2,Call for Service,False,Black,Zone K2,Other,21.0,RI-2006-06247,900
True,,2006-06-11,W,00:50,,1982.0,RI,16-30 Min,Arrest Driver,,,,False,False,False,M,Zone X4,Other Traffic Violation,False,White,Zone X4,Moving violation,24.0,RI-2006-26567,500
False,,2006-04-14,B,22:30,,1965.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,41.0,RI-2006-17270,300
True,,2006-01-24,B,01:30,,1983.0,RI,16-30 Min,Arrest Passenger,,,,False,False,False,M,Zone X4,Other Traffic Violation,False,Black,Zone X4,Moving violation,23.0,RI-2006-04182,500
False,,2006-02-10,W,01:20,,1982.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone X4,Other Traffic Violation,False,White,Zone X4,Moving violation,24.0,RI-2006-07087,500
False,,2006-03-17,N,14:23,,1979.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone X3,Other Traffic Violation,False,Other,Zone X3,Moving violation,27.0,RI-2006-12443,200
False,,2006-05-08,W,23:30,,1973.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,33.0,RI-2006-21094,900
,,2006-04-20,,07:00,,,RI,,,,,,,False,False,,Zone X4,,False,,Zone X4,,,RI-2006-18003,500
False,,2006-04-28,W,15:15,,1943.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Speeding,False,White,Zone X4,Speeding,63.0,RI-2006-19546,500
False,,2005-12-22,W,19:50,,1981.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,24.0,RI-2005-12962,600
False,,2005-12-18,H,02:00,,1979.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone X3,Other Traffic Violation,False,Hispanic,Zone X3,Moving violation,26.0,RI-2005-12291,200
False,,2006-03-29,W,08:15,,1969.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,37.0,RI-2006-14438,200
False,,2005-12-15,W,08:15,,1959.0,RI,16-30 Min,Citation,,,,False,False,False,F,Zone K1,Other Traffic Violation,False,White,Zone K1,Moving violation,46.0,RI-2005-11873,600
,,2006-05-09,,01:24,,,RI,,,,,,,False,False,,Zone K3,,False,,Zone K3,,,RI-2006-21113,300
False,,2005-11-24,W,00:30,,1968.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,37.0,RI-2005-08687,200
False,,2006-05-18,B,02:25,,1980.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Equipment/Inspection Violation,False,Black,Zone X3,Equipment,26.0,RI-2006-22178,500
True,Incident to Arrest,2005-12-15,B,20:02,,1962.0,RI,0-15 Min,Arrest Driver,,Incident to Arrest,,False,False,False,M,Zone K3,Other Traffic Violation,True,Black,Zone K3,Moving violation,43.0,RI-2005-11938,300
False,,2006-02-27,B,03:20,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Other Traffic Violation,False,Black,Zone X4,Moving violation,22.0,RI-2006-09494,500
False,,2006-01-08,W,12:35,,1987.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,19.0,RI-2006-01160,200
False,,2005-10-05,W,01:30,,1978.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Other Traffic Violation,False,White,Zone X3,Moving violation,27.0,RI-2005-00745,200
False,,2006-04-06,W,06:08,,1980.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,26.0,RI-2006-15813,300
False,,2006-06-12,W,11:20,,1986.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X3,Speeding,False,White,Zone X3,Speeding,20.0,RI-2006-26866,200
False,,2005-12-24,W,08:30,,1980.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,25.0,RI-2005-13164,500
False,,2006-04-20,W,21:10,,1948.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,58.0,RI-2006-18115,300
False,,2005-12-29,W,19:50,,1980.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,25.0,RI-2005-13677,300
False,,2006-04-02,W,14:36,,1973.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,33.0,RI-2006-15088,600
False,,2006-04-03,W,10:20,,1949.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,57.0,RI-2006-15258,900
False,,2005-12-08,I,20:40,,1985.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Speeding,False,Asian,Zone X4,Speeding,20.0,RI-2005-11033,500
False,,2005-10-23,W,21:58,,1964.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,41.0,RI-2005-03428,900
False,,2006-06-05,W,09:30,,1977.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Registration Violation,False,White,Zone K2,Registration/plates,29.0,RI-2006-25589,900
False,,2006-02-06,W,13:40,,1967.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K3,Other Traffic Violation,False,White,Zone K3,Moving violation,39.0,RI-2006-06504,300
False,,2005-12-07,W,09:40,,1955.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,50.0,RI-2005-10791,500
False,,2005-10-16,W,08:40,,1963.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,42.0,RI-2005-02126,500
False,,2005-11-13,W,08:45,,1946.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,59.0,RI-2005-07054,300
False,,2006-05-14,B,02:45,,1982.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,24.0,RI-2006-21699,300
False,,2006-03-09,W,08:40,,1968.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,38.0,RI-2006-10979,200
False,,2006-01-24,W,09:50,,1984.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,22.0,RI-2006-04215,900
False,,2006-04-29,W,10:36,,1975.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,31.0,RI-2006-19680,200
False,,2005-12-31,B,20:50,,1973.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Other Traffic Violation,False,Black,Zone X4,Moving violation,32.0,RI-2005-14069,500
False,,2005-11-05,W,09:30,,1949.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,56.0,RI-2005-05586,500
False,,2005-11-28,W,17:10,,1982.0,RI,16-30 Min,N/D,,,,False,False,False,F,Zone K3,Equipment/Inspection Violation,False,White,Zone K3,Equipment,23.0,RI-2005-09570,300
False,,2005-12-01,W,08:10,,1968.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K2,Other Traffic Violation,False,White,Zone K2,Moving violation,37.0,RI-2005-09864,900
False,,2006-03-11,W,13:21,,1951.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,55.0,RI-2006-11470,200
,,2006-02-24,,07:41,,,RI,,,,,,,False,False,,Zone X1,,False,,Zone X1,,,RI-2006-09103,0
False,,2006-05-17,W,23:56,,1987.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,19.0,RI-2006-22156,500
False,,2006-02-18,W,23:25,,1961.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,45.0,RI-2006-08281,900
False,,2006-05-03,W,03:30,,1971.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone X4,Other Traffic Violation,False,White,Zone X4,Moving violation,35.0,RI-2006-20224,500
False,,2005-11-30,W,23:55,,1984.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,21.0,RI-2005-09831,900
False,,2006-04-22,W,10:52,,1978.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,28.0,RI-2006-18417,600
False,,2006-05-31,W,01:54,,1974.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Equipment/Inspection Violation,False,White,Zone X3,Equipment,32.0,RI-2006-24741,000
False,,2006-05-19,W,16:30,,1987.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Speeding,False,White,Zone K2,Speeding,19.0,RI-2006-22434,900
,,2006-05-27,,02:10,,,RI,,,,,,,False,False,,Zone X4,,False,,Zone X4,,,RI-2006-23840,500
False,,2006-03-14,B,15:20,,1957.0,RI,16-30 Min,Citation,,,,True,False,False,M,Zone K2,Other Traffic Violation,False,Black,Zone K2,Moving violation,49.0,RI-2006-11980,203
False,,2006-03-23,W,13:40,,1966.0,RI,0-15 Min,Warning,,,,False,False,False,F,Zone X3,Speeding,False,White,Zone X3,Speeding,40.0,RI-2006-13622,200
False,,2005-11-13,W,14:30,,1980.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K1,Speeding,False,White,Zone K1,Speeding,25.0,RI-2005-07142,600
False,,2006-01-03,W,23:40,,1983.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,23.0,RI-2006-00391,500
False,,2005-12-02,W,22:50,,1986.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,19.0,RI-2005-10169,200
False,,2006-05-29,B,09:55,,1984.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,22.0,RI-2006-24372,300
False,,2006-01-16,I,14:50,,1955.0,RI,16-30 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,Asian,Zone K3,Speeding,51.0,RI-2006-02863,300
False,,2006-05-10,B,10:15,,1973.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K3,Speeding,False,Black,Zone K3,Speeding,33.0,RI-2006-21275,300
False,,2005-11-27,W,09:26,,1966.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,39.0,RI-2005-09237,300
True,Incident to Arrest,2005-11-13,H,23:35,,1964.0,RI,16-30 Min,Arrest Driver,,Incident to Arrest,,False,False,False,M,Zone X4,Speeding,True,Hispanic,Zone X4,Speeding,41.0,RI-2005-07192,500
False,,2005-10-06,W,01:44,,1986.0,RI,16-30 Min,Citation,,,,False,False,False,F,Zone X4,Other Traffic Violation,False,White,Zone X4,Moving violation,19.0,RI-2005-00909,500
False,,2005-11-23,W,14:15,,1979.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone K3,Speeding,False,White,Zone K3,Speeding,26.0,RI-2005-08592,300
False,,2005-12-24,W,03:15,,1981.0,RI,0-15 Min,Citation,,,,True,False,False,M,Zone X4,Speeding,False,White,Zone X4,Speeding,24.0,RI-2005-13145,500
False,,2006-03-16,W,00:20,,1979.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K1,Speeding,False,White,Zone K1,Speeding,27.0,RI-2006-12175,600
False,,2005-11-05,W,21:05,,1987.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone X3,Speeding,False,White,Zone X3,Speeding,18.0,RI-2005-05751,200
,,2006-04-23,,14:45,,,RI,,,,,,,False,False,,Zone X4,,False,,Zone X4,,,RI-2006-18632,500
False,,2005-10-16,W,10:25,,1983.0,RI,0-15 Min,Citation,,,,False,False,False,F,Zone K2,Speeding,False,White,Zone K2,Speeding,22.0,RI-2005-02144,900
False,,2006-01-16,W,01:45,,1985.0,RI,0-15 Min,Citation,,,,True,False,False,F,Zone X4,Speeding,False,White,Zone X4,Speeding,21.0,RI-2006-02729,500
False,,2005-10-27,W,19:40,,1946.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,Other Traffic Violation,False,White,Zone K2,Moving violation,59.0,RI-2005-03961,900
False,,2005-11-22,W,14:45,,1956.0,RI,0-15 Min,Citation,,,,False,False,False,M,Zone K2,APB,False,White,Zone K2,Other,49.0,RI-2005-08404,900
False,,2006-01-30,B,11:50,,1977.0,RI,30+ Min,Citation,,,,True,False,False,M,Zone X4,Registration Violation,False,Black,Zone X4,Registration/plates,29.0,RI-2006-05427,500
