police_department,contraband_found,driver_gender,fine_grained_location,is_arrested,county_fips,driver_age,stop_duration,drugs_related_stop,stop_time,id,stop_outcome,driver_age_raw,violation_raw,state,driver_race_raw,search_conducted,driver_race,violation,location_raw,search_type,county_name,stop_date,search_type_raw,district,out_of_state
200,False,M,,False,,58.0,0-15 Min,False,08:05,RI-2005-07361,Citation,1947.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone X3,,,2005-11-15,,Zone X3,True
300,False,M,,False,,67.0,0-15 Min,False,16:25,RI-2006-02124,Citation,1939.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K3,,,2006-01-12,,Zone K3,False
600,False,F,,False,,63.0,0-15 Min,False,23:40,RI-2006-17553,Citation,1943.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2006-04-16,,Zone K1,False
500,False,F,,False,,24.0,0-15 Min,False,19:15,RI-2005-10875,Citation,1981.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-12-07,,Zone X4,False
500,False,M,,False,,20.0,0-15 Min,False,17:00,RI-2005-00851,Citation,1985.0,Violation of City/Town Ordinance,RI,W,False,White,Other,Zone X4,,,2005-10-05,,Zone X4,False
900,False,F,,False,,19.0,30+ Min,False,10:30,RI-2005-05088,Citation,1986.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-11-03,,Zone K2,False
900,False,M,,False,,40.0,0-15 Min,False,13:10,RI-2005-00401,Citation,1965.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-10-02,,Zone K2,False
900,False,M,,False,,43.0,0-15 Min,False,09:50,RI-2006-02981,Citation,1963.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-01-17,,Zone K2,False
500,False,M,,False,,35.0,0-15 Min,False,09:55,RI-2005-11301,Citation,1970.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-12-11,,Zone X4,True
900,False,M,,False,,31.0,0-15 Min,False,10:00,RI-2006-04951,Citation,1975.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-01-28,,Zone K2,False
500,False,M,,False,,32.0,0-15 Min,False,18:50,RI-2005-06327,Citation,1973.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2005-11-08,,Zone X4,False
300,False,M,,False,,20.0,0-15 Min,False,00:20,RI-2005-09617,Citation,1985.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2005-11-29,,Zone K3,False
200,False,M,,False,,35.0,0-15 Min,False,21:15,RI-2006-00536,Citation,1971.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2006-01-04,,Zone X3,False
300,False,M,,True,,42.0,30+ Min,False,21:24,RI-2005-02691,Arrest Driver,1963.0,Speeding,RI,W,True,White,Speeding,Zone K3,Incident to Arrest,,2005-10-19,Incident to Arrest,Zone K3,False
000,False,F,,False,,23.0,0-15 Min,False,08:15,RI-2006-23866,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone X1,,,2006-05-27,,Zone X1,False
300,False,M,,False,,65.0,0-15 Min,False,12:15,RI-2006-22381,Citation,1941.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-19,,Zone K3,True
600,False,M,,False,,23.0,0-15 Min,False,23:20,RI-2006-09309,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2006-02-25,,Zone K1,True
600,True,M,,False,,21.0,16-30 Min,True,22:55,RI-2006-05645,Citation,1985.0,Other Traffic Violation,RI,W,True,White,Moving violation,Zone K1,Probable Cause,,2006-01-31,Plain View,Zone K1,True
300,False,F,,False,,19.0,0-15 Min,False,11:45,RI-2006-10001,Citation,1987.0,Equipment/Inspection Violation,RI,W,False,White,Equipment,Zone K3,,,2006-03-02,,Zone K3,False
900,False,M,,False,,39.0,0-15 Min,False,13:45,RI-2005-04062,Citation,1966.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-10-28,,Zone K2,False
203,False,M,,False,,37.0,16-30 Min,False,14:45,RI-2006-12940,Citation,1969.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K2,,,2006-03-20,,Zone K2,True
203,False,M,,False,,39.0,16-30 Min,False,11:23,RI-2006-16757,Citation,1967.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K2,,,2006-04-11,,Zone K2,True
300,False,M,,True,,51.0,16-30 Min,False,20:42,RI-2006-09184,Arrest Driver,1955.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone K3,,,2006-02-24,,Zone K3,True
300,False,M,,False,,26.0,30+ Min,False,21:00,RI-2006-12152,Citation,1980.0,Registration Violation,RI,B,False,Black,Registration/plates,Zone K3,,,2006-03-15,,Zone K3,False
900,False,M,,False,,33.0,0-15 Min,False,12:15,RI-2005-02780,Citation,1972.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-10-20,,Zone K2,False
300,False,M,,True,,46.0,30+ Min,False,20:42,RI-2006-07052,Arrest Driver,1960.0,Speeding,RI,B,False,Black,Speeding,Zone K3,,,2006-02-09,,Zone K3,False
200,False,F,,False,,30.0,0-15 Min,False,17:45,RI-2005-05178,Citation,1975.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2005-11-03,,Zone X3,False
900,False,F,,False,,18.0,0-15 Min,False,11:25,RI-2005-02466,Citation,1987.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2005-10-18,,Zone K2,False
300,False,M,,False,,24.0,16-30 Min,False,18:00,RI-2005-07634,Citation,1981.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-11-16,,Zone K3,False
300,False,M,,False,,46.0,0-15 Min,False,07:45,RI-2005-00335,Citation,1959.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2005-10-02,,Zone K3,False
300,False,M,,False,,26.0,16-30 Min,False,14:35,RI-2006-26449,Citation,1980.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-06-10,,Zone K3,False
600,False,M,,False,,44.0,0-15 Min,False,07:20,RI-2006-20899,Citation,1962.0,Speeding,RI,I,False,Asian,Speeding,Zone K1,,,2006-05-07,,Zone K1,True
900,False,M,,False,,29.0,0-15 Min,False,06:40,RI-2006-23135,Citation,1977.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-05-23,,Zone K2,False
500,False,M,,False,,40.0,0-15 Min,False,23:15,RI-2006-19772,Citation,1966.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-04-29,,Zone X4,True
200,False,M,,False,,28.0,0-15 Min,False,08:00,RI-2006-02740,Citation,1978.0,Other Traffic Violation,RI,W,False,White,Moving violation,Zone X3,,,2006-01-16,,Zone X3,True
300,False,M,,False,,30.0,0-15 Min,False,15:18,RI-2006-25461,Citation,1976.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-06-04,,Zone K3,False
600,False,F,,False,,30.0,0-15 Min,False,09:30,RI-2005-10060,Citation,1975.0,Speeding,RI,B,False,Black,Speeding,Zone K1,,,2005-12-02,,Zone K1,False
900,False,M,,False,,31.0,30+ Min,False,01:45,RI-2006-24985,Citation,1975.0,Speeding,RI,W,False,White,Speeding,Zone K2,,,2006-06-01,,Zone K2,False
500,False,M,,False,,27.0,0-15 Min,False,22:50,RI-2006-15940,Citation,1979.0,Speeding,RI,W,False,White,Speeding,Zone X4,,,2006-04-06,,Zone X4,False
300,False,M,,False,,50.0,0-15 Min,False,00:45,RI-2005-13721,Citation,1955.0,Registration Violation,RI,W,False,White,Registration/plates,Zone K3,,,2005-12-30,,Zone K3,False
600,False,M,,False,,22.0,0-15 Min,False,17:34,RI-2005-04580,Citation,1983.0,Speeding,RI,W,False,White,Speeding,Zone K1,,,2005-10-30,,Zone K1,False
300,False,M,,False,,21.0,0-15 Min,False,01:48,RI-2006-23392,Citation,1985.0,Speeding,RI,W,False,White,Speeding,Zone K3,,,2006-05-25,,Zone K3,True
900,False,M,,False,,18.0,0-15 Min,False,10:42,RI-2005-07558,Citation,1987.0,Speeding,RI,B,False,Black,Speeding,Zone K2,,,2005-11-16,,Zone K2,False
300,False,M,,False,,36.0,0-15 Min,False,13:05,RI-2006-15516,Citation,1970.0,Other Traffic Violation,RI,W,True,White,Moving violation,Zone K3,Incident to Arrest,,2006-04-04,Incident to Arrest,Zone K3,True
200,False,M,,False,,26.0,0-15 Min,False,01:45,RI-2005-02275,Citation,1979.0,Speeding,RI,W,False,White,Speeding,Zone X3,,,2005-10-17,,Zone X3,False
