location_id,name
1,"New York, New York"
24,"Baltimore, Maryland"
36,"Flushing, New York"
45,"Rochester, New York"
68,"Philadelphia, Pennsylvania"
81,"Boston, Massachusetts"
172,"Pittsburgh, Pennsylvania"
173,"Bridgeport, Connecticut"
176,"Asbury Park, New Jersey"
185,"Washington, DC"
189,"Alexandria, Virginia"
197,"White Plains, New York"
204,"Kingston, New York"
205,"West Hempstead, New York"
211,"Newark, New Jersey"
212,"Chicago, Illinois"
229,"New Haven, Connecticut"
230,"Worcester, Massachusetts"
231,"London, England"
232,"Sunrise, Florida"
233,"Birmingham, England"
234,"Glasgow, Scotland"
235,"Cologne, North Rhine-Westphalia"
238,"Buffalo, New York"
240,"Peoria, Illinois"
242,"St. Louis, Missouri"
244,"Kansas City, Missouri"
246,"Houston, Texas"
248,"College Station, Texas"
250,"Tucson, Arizona"
252,"Phoenix, Arizona"
256,"Albany, New York"
258,"East Rutherford, New Jersey"
259,"Jacksonville, Florida"
260,"Gainesville, Florida"
261,"Wilkes-Barre, Pennsylvania"
264,"State College, Pennsylvania"
266,"Ottawa, Ontario"
268,"Montreal, Quebec"
270,"Toronto, Ontario"
272,"Cleveland, Ohio"
274,"Detroit, Michigan"
276,"Fort Wayne, Indiana"
277,"Kalamazoo, Michigan"
278,"Sarnia, Ontario"
279,"San Antonio, Texas"
281,"Austin, Texas"
282,"Kuala Lumpur, Federal Territory"
284,"Fort Worth, Texas"
285,"Kallang, Central Region"
286,"Lake Charles, Louisiana"
287,"Tampa, Florida"
288,"Yokohama, Kanagawa"
291,"Providence, Rhode Island"
293,"Manchester, New Hampshire"
295,"Rockford, Illinois"
299,"Milwaukee, Wisconsin"
301,"Green Bay, Wisconsin"
302,"Little Rock, Arkansas"
304,"Jonesboro, Arkansas"
306,"El Paso, Texas"
307,"Springfield, Missouri"
308,"Albuquerque, New Mexico"
309,"Rolla, Missouri"
310,"Los Angeles, California"
312,"Las Vegas, Nevada"
314,"Seattle, Washington"
315,"Reno, Nevada"
316,"Vancouver, British Columbia"
318,"Norfolk, Virginia"
320,"Richmond, Virginia"
322,"Charlottesville, Virginia"
324,"Johnstown, Pennsylvania"
325,"North Charleston, South Carolina"
327,"Greenville, South Carolina"
329,"Atlanta, Georgia"
330,"Chattanooga, Tennessee"
331,"Bossier City, Louisiana"
333,"Dallas, Texas"
336,"Waco, Texas"
337,"Beaumont, Texas"
338,"Lubbock, Texas"
343,"Trenton, New Jersey"
344,"St. John, New Brunswick"
345,"Fredricton, New Brunswick"
346,"Springfield, Massachusetts"
347,"Binghamton, New York"
348,"Moncton, New Brunswick"
351,"Orlando, Florida"
353,"Miami, Florida"
355,"New Orleans, Louisiana"
357,"Lafayette, Louisiana"
359,"Bakersfield, California"
361,"Anaheim, California"
363,"San Diego, California"
365,"San Jose, California"
370,"La Crosse, Wisconsin"
371,"Champaign, Illinois"
373,"Cedar Rapids, Iowa"
374,"Wichita, Kansas"
376,"Oklahoma City, Oklahoma"
378,"Fort Myers, Florida"
379,"Tulsa, Oklahoma"
381,"Lakeland, Florida"
382,"Daytona Beach, Florida"
383,"Fayetteville, North Carolina"
385,"Charlotte, North Carolina"
387,"Greensboro, North Carolina"
389,"Bristol, Tennessee"
394,"Hartford, Connecticut"
395,"Portland, Maine"
396,"Bangor, Maine"
400,"Uniondale, New York"
403,"Manchester, England"
404,"Lowell, Massachusetts"
405,"Cincinnati, Ohio"
407,"Louisville, Kentucky"
409,"Lexington, Kentucky"
410,"Evansville, Indiana"
411,"Springfield, Illinois"
413,"Omaha, Nebraska"
419,"Columbia, Missouri"
424,"Toledo, Ohio"
426,"Atlantic City, New Jersey"
427,"Saginaw, Michigan"
428,"Moline, Illinois"
430,"Indianapolis, Indiana"
432,"Valparaiso, Indiana"
433,"Saint Paul, Minnesota"
434,"Winnipeg, Manitoba"
435,"Bethlehem, Pennsylvania"
436,"Mobile, Alabama"
438,"Baton Rouge, Louisiana"
440,"Biloxi, Mississippi"
442,"Dayton, Ohio"
444,"Columbus, Ohio"
448,"Reading, Pennsylvania"
449,"Memphis, Tennessee"
451,"Nashville, Tennessee"
459,"Stamford, Connecticut"
464,"Halifax, Nova Scotia"
468,"Grand Rapids, Michigan"
471,"Des Moines, Iowa"
473,"Denver, Colorado"
475,"Sacramento, California"
479,"Fresno, California"
481,"Salt Lake City, Utah"
497,"Syracuse, New York"
510,"Birmingham, Alabama"
514,"Augusta, Georgia"
516,"Tacoma, Washington"
520,"Spokane, Washington"
538,"Roanoke, Virginia"
539,"Hampton, Virginia"
541,"Grand Forks, North Dakota"
543,"Minneapolis, Minnesota"
546,"Edmonton, Alberta"
548,"Calgary, Alberta"
578,"Tyler, Texas"
582,"Knoxville, Tennessee"
584,"Estero, Florida"
585,"Pensacola, Florida"
586,"Tallahassee, Florida"
634,"Cape Girardeau, Missouri"
636,"Cedar Falls, Iowa"
643,"Charleston, West Virginia"
647,"Columbus, Georgia"
648,"Columbia, South Carolina"
650,"Raleigh, North Carolina"
669,"Madison, Wisconsin"
671,"Oakland, California"
682,"Amarillo, Texas"
701,"Sheffield, England"
704,"Ames, Iowa"
708,"Fort Lauderdale, Florida"
719,"Huntington, West Virginia"
727,"Las Cruces, New Mexico"
949,"San Francisco, California"
962,"Hershey, Pennsylvania"
1108,"South Bend, Indiana"
1117,"East Lansing, Michigan"
1121,"Newcastle-upon-Tyne, England"
1123,"Oberhausen, North Rhine-Westphalia"
1233,"Rosemont, Illinois"
1244,"Hamilton, Ontario"
1261,"Long Island, New York"
1314,"Hamburg, Lower Saxony"
1315,"Bayreuth, Bayern"
1316,"Berlin, Berlin"
1329,"Wheeling, West Virginia"
1343,"Davis, California"
1360,"Durham, New Hampshire"
1372,"Cornwall, Ontario"
1386,"Topeka, Kansas"
1396,"Muncie, Indiana"
1433,"Lake Placid, New York"
1446,"Newark, Delaware"
1449,"Scranton, Pennsylvania"
1457,"Johannesburg, Gauteng"
1476,"Glen Falls, New York"
1508,"West Palm Beach, Florida"
1509,"Dubai, Dubai"
1512,"Quebec City, Quebec"
1553,"Yakima, Washington"
1583,"Florence, South Carolina"
1585,"Kuwait City, Kuwait"
1594,"Sioux City, Iowa"
1604,"San Bernardino, California"
1614,"Corpus Christi, Texas"
1624,"Mumbai, Maharashtra"
1632,"Stockton, California"
1650,"Brantford, Ontario"
1651,"Youngstown, Ohio"
1653,"Salisbury, Maryland"
1661,"Landover, Maryland"
1664,"Regina, Saskatchewan"
1668,"Brandon, Manitoba"
1685,"Peterborough, Ontario"
1687,"Niagara Falls, New York"
1688,"Erie, Pennsylvania"
1690,"Canton, Ohio"
1724,"Danville, Pennsylvania"
1731,"Dublin, Leinster"
1732,"Frankfurt, Hesse"
1733,"Wels, Upper Austria"
1734,"Zeltweg, Steiermark"
1736,"Essen, North Rhine-Westphalia"
1737,"Munchen, Bayern"
1738,"Nuremberg, Bayern"
1747,"Struthers, Ohio"
1757,"Danbury, Connecticut"
1787,"Poughkeepsie, New York"
1797,"North Charleston, West Virginia"
1805,"Macon, Georgia"
1817,"Palmetto, Florida"
1822,"South Padre Island, Texas"
1835,"Liberty, New York"
1863,"Bushkill, Pennsylvania"
1879,"Burlington, Vermont"
1893,"Utica, New York"
1898,"Hull, England"
1899,"Aberdeen, Scotland"
1901,"Rostock, Mecklenburg-Vorpommern"
1902,"Halle, Sachsen-Anhalt"
1905,"Kassel, Hesse"
1933,"Chai Wan, Hong Kong"
1934,"Ocean City, Maryland"
1965,"Honolulu, Hawaii"
1966,"Sapporo, Hokkaido"
1967,"Osaka, Osaka"
1968,"Nagoya, Aichi"
1998,"Locksheldreke, New York"
2026,"Elizabeth, New Jersey"
2027,"Augusta, Maine"
2048,"Delhi, New York"
2052,"Carbondale, Pennsylvania"
2084,"Auburn Hills, Michigan"
2095,"Plattsburgh, New York"
2101,"Alexandria Bay, New York"
2127,"Sydney, Nova Scotia"
2144,"Milan, Lombardy"
2145,"Barcelona, Catalonia"
2149,"Belfast, Northern Ireland"
2156,"Brüssel, Brussels-Capital Region"
2160,"Bournemouth, England"
2161,"Paris, Ile-de-France"
2190,"Long Beach, California"
2222,"Richfield, Ohio"
2232,"Terre Haute, Indiana"
2240,"Saskatoon, Saskatchewan"
2264,"Huntsville, Alabama"
2273,"Santa Rosa, California"
2318,"Brighton, England"
2319,"Kiel, Schleswig-Holstein"
