id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
1,9987,673.0,KRC Genk,GEN
2,9993,675.0,Beerschot AC,BAC
3,10000,15005.0,SV Zulte-Waregem,ZUL
4,9994,2007.0,Sporting Lokeren,LOK
5,9984,1750.0,KSV Cercle Brugge,CEB
6,8635,229.0,RSC Anderlecht,AND
7,9991,674.0,KAA Gent,GEN
8,9998,1747.0,RAEC Mons,MON
9,7947,,FCV Dender EH,DEN
10,9985,232.0,Standard de Liège,STL
11,8203,110724.0,KV Mechelen,MEC
12,8342,231.0,Club Brugge KV,CLB
13,9999,546.0,KSV Roeselare,ROS
14,8571,100081.0,KV Kortrijk,KOR
15,4049,,Tubize,TUB
16,9996,111560.0,Royal Excel Mouscron,MOU
17,10001,681.0,KVC Westerlo,WES
18,9986,670.0,Sporting Charleroi,CHA
614,9997,680.0,Sint-Truidense VV,STT
1034,9989,239.0,Lierse SK,LIE
1042,6351,2013.0,KAS Eupen,EUP
1513,1773,100087.0,Oud-Heverlee Leuven,O-H
2004,8475,110913.0,Waasland-Beveren,WAA
2476,8573,682.0,KV Oostende,OOS
2510,274581,111560.0,Royal Excel Mouscron,MOP
3457,10260,11.0,Manchester United,MUN
3458,10261,13.0,Newcastle United,NEW
3459,9825,1.0,Arsenal,ARS
3460,8659,109.0,West Bromwich Albion,WBA
3461,8472,106.0,Sunderland,SUN
3462,8650,9.0,Liverpool,LIV
3463,8654,19.0,West Ham United,WHU
3464,8528,1917.0,Wigan Athletic,WIG
3465,10252,2.0,Aston Villa,AVL
3466,8456,10.0,Manchester City,MCI
3467,8668,7.0,Everton,EVE
3468,8655,3.0,Blackburn Rovers,BLB
3469,8549,12.0,Middlesbrough,MID
3470,8586,18.0,Tottenham Hotspur,TOT
3471,8559,4.0,Bolton Wanderers,BOL
3472,10194,1806.0,Stoke City,STK
3473,8667,1952.0,Hull City,HUL
3474,9879,144.0,Fulham,FUL
3475,8455,5.0,Chelsea,CHE
3476,8462,1790.0,Portsmouth,POR
4218,8658,88.0,Birmingham City,BIR
4225,8602,110.0,Wolverhampton Wanderers,WOL
4234,8191,1796.0,Burnley,BUR
4996,8483,1926.0,Blackpool,BLA
5744,10003,1960.0,Swansea City,SWA
5747,10172,15.0,Queens Park Rangers,QPR
5756,9850,1792.0,Norwich City,NOR
6504,8466,17.0,Southampton,SOU
6509,9798,1793.0,Reading,REA
7261,9826,1799.0,Crystal Palace,CRY
7276,8344,1961.0,Cardiff City,CAR
8021,8197,95.0,Leicester City,LEI
8779,8678,1943.0,Bournemouth,BOU
8784,9817,1795.0,Watford,WAT
