year,country_id,gdp,population,nobel_prize_winners
2000-01-01,1,,20093756,
2000-01-01,2,3632043908,3089027,
2000-01-01,3,54790245601,31183660,
2000-01-01,4,,57521,
2000-01-01,5,1434429703,65390,
2000-01-01,6,9129594819,16440924,
2000-01-01,7,830158777.8,83584,
2000-01-01,8,2.84204E+11,37057452,
2000-01-01,9,1911563665,3069588,
2000-01-01,10,1873452514,90853,
2000-01-01,11,4.15034E+11,19153000,
2000-01-01,12,1.968E+11,8011566,
2000-01-01,13,5272617196,8048600,
2000-01-01,14,8076470000,297890,
2000-01-01,15,9062906915,664614,
2000-01-01,16,53369787319,131581243,
2000-01-01,17,3121500000,269847,
2000-01-01,18,12736856828,9979610,
2000-01-01,19,2.37905E+11,10251250,
2000-01-01,20,832072450,247315,
2000-01-01,21,2569186643,6865951,
2000-01-01,22,3480219000,61833,
2000-01-01,23,8397912509,8339512,
2000-01-01,24,5505984456,3766706,
2000-01-01,25,5788329609,1728340,
2000-01-01,26,6.55421E+11,175287587,
2000-01-01,27,,20645,
2000-01-01,28,6001153306,333241,
2000-01-01,29,13153016531,8170172,
2000-01-01,30,2628920056,11607942,
2000-01-01,31,870486065.9,6400706,
2000-01-01,32,3677897739,12152354,
2000-01-01,33,10083937740,15274234,
2000-01-01,34,7.42293E+11,30769700,
2000-01-01,35,539227277.6,435079,
2000-01-01,36,,41687,
2000-01-01,37,914500299.1,3754986,
2000-01-01,38,1385058162,8342559,
2000-01-01,39,77860932152,15262754,
2000-01-01,40,1.21135E+12,1262645000,
2000-01-01,41,,,
2000-01-01,42,99886577331,40403958,
2000-01-01,43,203846427.7,542357,
2000-01-01,44,3219910550,3225727,
2000-01-01,45,19088046306,47076387,
2000-01-01,46,,,
2000-01-01,47,14949514585,3925443,
2000-01-01,48,10717022463,16686561,
2000-01-01,49,21774273832,4426000,
2000-01-01,50,30565400000,11150736,
2000-01-01,51,10183317625,943286,
2000-01-01,52,61649492817,10255063,
2000-01-01,53,1.64159E+11,5339616,
2000-01-01,54,551230861.9,717584,
2000-01-01,55,335845814.8,69676,
2000-01-01,56,24305116729,8562622,
2000-01-01,57,18327764882,12628596,
2000-01-01,58,99838543960,69905988,
2000-01-01,59,11784927700,5867626,
2000-01-01,60,1045998496,614323,
2000-01-01,61,706370815.6,3392801,
2000-01-01,62,5685774809,1396985,
2000-01-01,63,8242392104,66537331,
2000-01-01,64,233226300,107432,
2000-01-01,65,1684109743,811223,
2000-01-01,66,1.2554E+11,5176209,
2000-01-01,67,1.36225E+12,60912500,
2000-01-01,68,5067865321,1231122,
2000-01-01,69,782915402.4,1231844,
2000-01-01,70,3057453483,4418300,
2000-01-01,71,1.94995E+12,82211508,
2000-01-01,72,4983024408,18938762,
2000-01-01,73,1.64795E+12,58892514,
2000-01-01,74,1.30134E+11,10805808,
2000-01-01,75,520044370.4,101619,
2000-01-01,76,,155329,
2000-01-01,77,19288827159,11650743,
2000-01-01,78,2995360969,8808546,
2000-01-01,79,370173838.7,1243229,
2000-01-01,80,712667896.7,753301,
2000-01-01,81,3953846311,8549200,
2000-01-01,82,7103507989,6524283,
2000-01-01,83,1.71668E+11,6665000,
2000-01-01,84,47310623887,10210971,
2000-01-01,85,8927140438,281205,
2000-01-01,86,4.62147E+11,1053050912,
2000-01-01,87,,,
2000-01-01,88,1.65021E+11,211540429,
2000-01-01,89,1.09592E+11,66131854,
2000-01-01,90,99853528653,3805174,
2000-01-01,91,1.32339E+11,6289000,
2000-01-01,92,1.14176E+12,56942108,
2000-01-01,93,8985352832,2656864,
2000-01-01,94,4.88752E+12,126843000,1
2000-01-01,95,8460424401,5103130,
2000-01-01,96,18291990619,14883626,
2000-01-01,97,12705357103,31450483,
2000-01-01,98,67254174.4,84406,
2000-01-01,99,1849196082,1700000,
2000-01-01,100,1369693171,4898400,
2000-01-01,101,1731198022,5329304,
2000-01-01,102,7937758980,2367550,
2000-01-01,103,17260364842,3235366,
2000-01-01,104,887295267.9,1868699,
2000-01-01,105,529064600,2884522,
2000-01-01,106,38270206950,5355751,
2000-01-01,107,2483953103,33286,
2000-01-01,108,11539211480,3499536,
2000-01-01,109,21263514833,436300,
2000-01-01,110,3772851420,2034819,
2000-01-01,111,3877673539,15766806,
2000-01-01,112,1743506531,11376172,
2000-01-01,113,93789736842,23185608,
2000-01-01,114,624337145.3,280384,
2000-01-01,115,2954129566,10967690,
2000-01-01,116,4306192436,390087,
2000-01-01,117,110937700,52159,
2000-01-01,118,1293654175,2709359,
2000-01-01,119,4582555125,1186873,
2000-01-01,120,7.07907E+11,101719673,
2000-01-01,121,1288429151,3639592,
2000-01-01,122,2647883820,32082,
2000-01-01,123,1136896124,2397436,
2000-01-01,124,984297589.4,604950,
2000-01-01,125,38857251336,28849621,
2000-01-01,126,5016469069,18067687,
2000-01-01,127,8905066164,46095462,
2000-01-01,128,3908661518,1899257,
2000-01-01,129,5494252208,23740911,
2000-01-01,130,4.12807E+11,15925513,
2000-01-01,131,52622842840,3857700,
2000-01-01,132,5107329007,5026796,
2000-01-01,133,1798374468,11352973,
2000-01-01,134,46386011231,122352009,
2000-01-01,135,,22929075,
2000-01-01,136,1.71316E+11,4490967,
2000-01-01,137,19507412224,2267991,
2000-01-01,138,73952374970,138523285,
2000-01-01,139,144769900,19175,
2000-01-01,140,,,
2000-01-01,141,12304115000,3030347,
2000-01-01,142,3521339699,5572222,
2000-01-01,143,8195993231,5302700,
2000-01-01,144,51744749133,25914879,
2000-01-01,145,81026300311,77991569,
2000-01-01,146,1.71886E+11,38258629,
2000-01-01,147,1.18358E+11,10289898,
2000-01-01,148,61701800000,3810605,
2000-01-01,149,17759890110,592267,
2000-01-01,150,,,
2000-01-01,151,37438527800,22442971,
2000-01-01,152,2.59708E+11,146596557,1
2000-01-01,153,1734938652,8025703,
2000-01-01,154,420515107.7,45374,
2000-01-01,155,784159228.7,156949,
2000-01-01,156,396270000,107898,
2000-01-01,157,269019710.3,174610,
2000-01-01,158,1101897918,27418,
2000-01-01,159,,138606,
2000-01-01,160,1.89515E+11,20764312,
2000-01-01,161,4679604754,9884052,
2000-01-01,162,6540247190,7516346,
2000-01-01,163,614879764.8,81131,
2000-01-01,164,635874002.2,4564297,
2000-01-01,165,95833932715,4027887,
2000-01-01,166,29114875622,5388720,
2000-01-01,167,20342201356,1988925,
2000-01-01,168,435103853.5,412609,
2000-01-01,169,,9011479,
2000-01-01,170,1.36362E+11,45728315,
2000-01-01,171,5.61633E+11,47008111,
2000-01-01,172,,6700656,
2000-01-01,173,5.95403E+11,40567864,
2000-01-01,174,16330814180,18781938,
2000-01-01,175,12257418326,27250535,
2000-01-01,176,892164393.9,472390,
2000-01-01,177,1738100853,1061468,
2000-01-01,178,2.59802E+11,8872109,1
2000-01-01,179,2.72055E+11,7184250,
2000-01-01,180,19325894913,16410848,
2000-01-01,181,860550305.8,6216205,
2000-01-01,182,10185786383,34178042,
2000-01-01,183,1.26392E+11,62958021,
2000-01-01,184,439543789.9,871607,
2000-01-01,185,1294250233,4970367,
2000-01-01,186,202363492.2,98082,
2000-01-01,187,8154338233,1267984,
2000-01-01,188,21473188882,9699197,
2000-01-01,189,2.72979E+11,63240121,
2000-01-01,190,2904662605,4516131,
2000-01-01,191,13742057.05,9420,
2000-01-01,192,6193246837,24039274,
2000-01-01,193,31261527363,49175848,
2000-01-01,194,1.04337E+11,3154925,
2000-01-01,195,1.02848E+13,282162411,8
2000-01-01,196,,108642,
2000-01-01,197,22823255802,3321245,
2000-01-01,198,13760374488,24650400,
2000-01-01,199,1.17141E+11,24488340,
2000-01-01,200,31172518403,80285562,
2000-01-01,201,9636342275,17874725,
2000-01-01,202,3600683040,10531221,
2000-01-01,203,6689957600,12222251,
2001-01-01,1,2461665938,20966463,
2001-01-01,2,4060758804,3060173,
2001-01-01,3,54744714396,31592153,
2001-01-01,4,,58175,
2001-01-01,5,1496912752,67341,
2001-01-01,6,8936063723,16983266,
2001-01-01,7,800740259.3,85057,
2001-01-01,8,2.68697E+11,37471509,
2001-01-01,9,2118467913,3050655,
2001-01-01,10,1920262570,92898,
2001-01-01,11,3.78215E+11,19413000,
2001-01-01,12,1.97338E+11,8042293,
2001-01-01,13,5707720391,8111200,
2001-01-01,14,8317830000,303135,
2001-01-01,15,8976207713,697549,
2001-01-01,16,53991289844,134107160,
2001-01-01,17,3116650000,270685,
2001-01-01,18,12354820144,9928549,
2001-01-01,19,2.37842E+11,10286570,
2001-01-01,20,871860600,254984,
2001-01-01,21,2680213931,7076733,
2001-01-01,22,3680483000,62504,
2001-01-01,23,8141537938,8496375,
2001-01-01,24,5748990666,3771284,
2001-01-01,25,5489608300,1754935,
2001-01-01,26,5.59372E+11,177750670,
2001-01-01,27,,21085,
2001-01-01,28,5601090584,340117,
2001-01-01,29,14075616789,8009142,
2001-01-01,30,2812845514,11944587,
2001-01-01,31,876794723.1,6555829,
2001-01-01,32,3984000517,12402473,
2001-01-01,33,10371327756,15671927,
2001-01-01,34,7.3638E+11,31081900,
2001-01-01,35,563024383.3,443716,
2001-01-01,36,,43316,
2001-01-01,37,931833302.8,3832203,
2001-01-01,38,1709347793,8663012,
2001-01-01,39,70979923960,15444969,
2001-01-01,40,1.3394E+12,1271850000,
2001-01-01,41,,,
2001-01-01,42,98203546156,40988909,
2001-01-01,43,220093812.2,555888,
2001-01-01,44,2794259783,3315806,
2001-01-01,45,7438189100,48394338,
2001-01-01,46,,,
2001-01-01,47,15913363335,3996798,
2001-01-01,48,11192560827,17040152,
2001-01-01,49,23289671102,4440000,
2001-01-01,50,31682400000,11186542,
2001-01-01,51,10567304189,960282,
2001-01-01,52,67523642262,10216605,
2001-01-01,53,1.64791E+11,5358783,
2001-01-01,54,572417440.8,732711,
2001-01-01,55,343119370.4,69670,
2001-01-01,56,25599311449,8697126,
2001-01-01,57,24468324000,12852755,
2001-01-01,58,97632008710,71226940,
