sport,event,year,athlete_id,country_id,medal
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,126,89,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,463,102,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,463,102,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,463,102,
Alpine Skiing,Alpine Skiing Men's Giant Slalom,2014-01-01,532,70,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,532,70,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,535,18,
Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,2014-01-01,535,18,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,535,18,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,535,18,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,535,18,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,679,151,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,679,151,
Alpine Skiing,Alpine Skiing Men's Slalom,2014-01-01,1053,179,
Alpine Skiing,Alpine Skiing Women's Giant Slalom,2014-01-01,1081,185,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,1081,185,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,1200,92,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,1200,92,
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,2014-01-01,1648,96,
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,2014-01-01,1648,96,
Alpine Skiing,Alpine Skiing Women's Downhill,2014-01-01,2414,73,
Alpine Skiing,Alpine Skiing Women's Super G,2014-01-01,2414,73,
Alpine Skiing,Alpine Skiing Women's Combined,2014-01-01,2414,73,
Alpine Skiing,Alpine Skiing Men's Downhill,2014-01-01,2551,122,
Alpine Skiing,Alpine Skiing Men's Super G,2014-01-01,2551,122,
Alpine Skiing,Alpine Skiing Men's Combined,2014-01-01,2551,122,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,3001,11,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,3001,11,
Alpine Skiing,Alpine Skiing Women's Slalom,2014-01-01,3048,152,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,3464,185,
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,2014-01-01,3473,34,
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,2014-01-01,3473,34,
Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,2014-01-01,3473,34,
Biathlon,Biathlon Men's 10 kilometres Sprint,2014-01-01,4257,29,
Biathlon,Biathlon Men's 12.5 kilometres Pursuit,2014-01-01,4257,29,
Biathlon,Biathlon Men's 20 kilometres,2014-01-01,4257,29,
Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,2014-01-01,4257,29,
Cross Country Skiing,Cross Country Skiing Men's Sprint,2014-01-01,4286,74,
Cross Country Skiing,Cross Country Skiing Women's Sprint,2014-01-01,4314,71,
Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,2014-01-01,4322,71,
