,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
0,179731375,Balo nữ da dầy thời trang unisex màu sắc tươi sáng TA63,"  Balo nữ da dầy thời trang unisex màu sắc tươi sáng TA63   Chào mừng bạn đến với cửa hàng của tôi   Sản phẩm tại cửa hàng sẽ được kiểm tra kỹ càng trước khi xuất xưởng, các bạn cứ yên tâm mua hàng...",14250,14250,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,488,10,0,False,Balo nữ,0
1,249221065,Ví da đựng thẻ ngân hàng (7 màu) - 9205,     ...,10260,10260,dropship,OEM,0,0.0,0,False,SHOP THỜI TRANG 2N,166,2,0,False,Root,0
2,102862196," Balo nam nữ thời trang họa tiết bò sữa kiểu mới size mini, đôc đáo hàng chất lượng style kitishop","       Balo họa tiết bò sữa thời trang cho nam và nữ kiểu mới vừa a4   LÀ NHÀ SẢN XUẤT SHOP CAM KẾT:   -LUÔN CÓ SỰ CẢI TIẾN VỀ SẢN PHẨM,ĐẢM BẢO XU THẾ THỊ TRƯỜNG 1 CÁCH SỚM NHẤT   Balo giá rẻ h...",19999,19999,dropship,OEM,0,0.0,0,False,Xưởng may balo Đà Nẵng,831,5,0,False,Root,0
3,115740385,Vải nhũ bóng simili chống thấm may túi ví balo giày dép,"       _ Vải nhũ bóng siêu xinh và cực kì xịn :))   Hàng cty giày xk làm dư, chất đẹp miễn bàn các ce nhé, k có mùi hôi như hàng chợ đâu ạ   Màu:   1: hồng bóng   2. Bạc bóng   3. Navy sần  ...",30000,30000,dropship,OEM,0,0.0,0,False,BB Outlet,775,4,0,False,Root,0
4,102862375, Combo balo vừa a4 và túi tote thời trang kiểu mới giá siêu rẻ của KiTiShop,"       BALO THỜI TRANG - BALO ĐẸP – BALO HỌC SINH   MÔ TẢ:   - Kích thước: 30*14*40 cm (Vừa A4, vừa laptop loại to nhất)   - Chất liệu: Vải bố chống nước bền dai, không bị phai màu theo thời gi...",29000,29000,dropship,OEM,0,0.0,0,False,Xưởng may balo Đà Nẵng,831,5,0,False,Root,0
5,106654322,Balo nam nữ vải bố bama thời trang,       Kích thước 40x30x10cm   Chất liệu vải bố   CÓ hình ảnh thật   ...,22000,22000,dropship,OEM,0,0.0,0,False,Mavishop,817,8,0,False,Root,0
6,102862595, BALO VỊT siêu kute cho bé thời trang kiểu mới kèm ảnh thật có nnhieeuf màu cho bé lựa chọn,"       Túi đeo chéo thời trang Nam Nữ hình con Vịt kiểu Mới đang hot kèm ảnh thật và video đẹp Ba lô vịt xinh xắn,có đủ 4 màu dùng đi học, đi chơi đều đẹp,đựng vừa vở luôn nhá   Chất liệu vải bố...",28900,28900,dropship,OEM,0,0.0,0,False,Xưởng may balo Đà Nẵng,831,5,0,False,Root,0
7,173564878,BALO LOVE THỜI TRANG SEASON 1,       balo love   Giá Lẻ 49.000VND   Giá Sỉ 3x.000VND   • Chất liệu: Nhựa Plastic • HOLOGRAM   • Kích thước: 25x30 CM   • MINIBAG được trang bị 1 Ngăn lớn & 1 Ngăn nhỏ   • Sả...,25000,25000,dropship,OEM,0,0.0,0,False,Thiên Ân Balo,526,9,0,False,Balo nữ,0
8,150254088,Chamr hoạt hình nhiều mẫu cute,"       Set Charm Hoạt Hình - Charm gắn Móng Cute   * Mô tả:   - Charm nail , charm hoạt hình cao cấp trang trí nail là sản phẩm thể thiếu khi làm nail   - Charm nail Là điểm nhấn độc đáo Lên mó...",29800,29800,dropship,OEM,0,0.0,0,False,Baotrannailmi,634,7,0,False,Root,0
9,184451143,[MÓC KHÓA MẪU NGẪU NHIÊN] Móc Khóa dễ thương cute phụ kiện Balo Túi Ví trang trí xe máy ô tô sinh động Midori Studio,...,49000,22050,dropship,Midori,0,0.0,0,False,MIDORI,467,10,590,False,Balo nữ,0
