,Unnamed: 0,id,name,description,original_price,price,fulfillment_type,brand,review_count,rating_average,favourite_count,pay_later,current_seller,date_created,number_of_images,vnd_cashback,has_video,category,quantity_sold
2195,2195,122800168,"Dép Tông nam = Sỏ Ngón Nam Dép kẹp, Đế Cao Su Non, Êm Chân, Siêu Bền, Thiết Kế Thời Trang, Sành Điệu Size 41- 45","       Dép Tông nam = Sỏ Ngón Nam Dép kẹp, Đế Cao Su Non, Êm Chân, Siêu Bền, Thiết Kế Thời Trang, Sành Điệu Size 41- 45    THÔNG TIN SẢN PHẨM:   - Xuất xứ: Trung Quốc   - Kiểu dáng đơn giản như...",120000,120000,dropship,OEM,0,0.0,0,True,Lucky Shoe,728,8,0,False,Root,0
4797,4797,55715962,Lót giày lưới 2 lớp Hương Quế CI-06 làm từ vải lưới 2 lớp - vải cotton - bột quế giúp êm chân - ấm chân - phòng cảm cúm,                                        ...,59000,59000,dropship,Hương quế,2,4.5,0,False,Hương quế shop,1196,10,0,False,Thời Trang,23
5640,5640,179748984,Bàn chải đánh giày lông ngựa 2 đầu,"        Thông tin sản phẩm   - Chất liệu: gỗ tự nhiên + lông ngựa thật   - Màu sắc: màu vàng   - Trọng lượng tịnh: 65g   - Kích thước: Chiều dài: 16,5cm Chiều rộng: 4,5cm Chiều cao tóc: 5cm Ch...",39000,39000,dropship,OEM,0,0.0,0,False,hotdeal365,488,4,0,False,Root,2
3360,3360,249192818,dép sandal nữ sandal đồng nai ( đế đen quai đen ) size có từ 35 nữ đến 45 nam size khác nhắn tin chọn thêm,     ...,89999,89999,dropship,OEM,0,0.0,0,False,LYNA Sandal,166,5,2409,False,Root,0
5015,5015,151457981,Keo dán giày Mizuno chính hãng,"Keo Mizuno là loại keo mềm sử dụng chỗ dán không bị cứng và chống thấm nước cực tốt.Keo dán có khả năng dính cực kỳ chặt lên mọi chất liệu bằng da, nhất là các loại giày dép.Keo trong suốt không b...",250000,250000,dropship,Mizuno,16,4.3,0,True,SPORT9.VN,629,5,0,False,Phụ kiện cho giày nam,119
5658,5658,143589632,SP1191 Chai tẩy trắng giày dép túi xách Plac - đầu bàn chải,"       ""Thành phần chính: Nước tinh khiết, Cilicate Flour Glycerin   Kích thước: 14 x 5 x 3 cm   Thể tích: 100ml   Trọng lượng: 116g   Hướng dẫn sử dụng Chai lăn tẩy trắng giày   – Đối với nh...",15000,5500,dropship,OEM,0,0.0,0,False,Luciostore,655,9,148,False,Root,0
3661,3661,157650552,Dép Quai Hậu Nam Chaco Thổ Cẩm Mã D163,"       Dép chaco nam cỡ 38-43 đế ko nhăn ko lún.   Shop sẽ gửi hàng theo thông tin đơn hàng của khách đặt, Quý khách vui lòng không đặt 1 đằng ghi chú 1 nẻo hoặc đặt mẫu này nhắn tin yêu cầu đổi ...",162000,162000,dropship,OEM,2,4.5,0,True,Giày Thái Lan,608,8,0,False,Root,2
1553,1553,4452351,Giày sneaker thời trang nam - GV07,"Giày Lười Vải Nam được thiết kế theo phong cách trẻ trung và năng động, phù hợp với mọi địa hình di chuyển.Chất liệu vải cao cấp, bền đẹp.Đế bằng cao su tạo cảm giác êm ái, thoải mái khi vận động....",129000,129000,dropship,OEM,2,4.0,0,True,GH Store,1826,2,0,False,Thời Trang,15
4087,4087,81572518,Giày nam cao cấp giày da bò giày nam da thật giày nam thời trang giày nam kiểu dáng hiện đại mã T36123 ,...,999000,699000,dropship,OEM,6,4.7,0,True,AFADA STORE,906,14,0,False,Giày tây nam có dây,7
3869,3869,108593742,Sandals da bò xuất dư Châu Âu mã A22,       Quai da được cấu tạo hoàn toàn từ dao bò tự nhiên nhập khẩu sẽ đem lại cảm giác mềm mại khi sử dụng dù trong cường độ cao như chạy bộ hay hoạt động thể dục thể thao   dụng   Và điều đặc b...,270000,270000,dropship,OEM,0,0.0,0,True,Bioline store,808,3,0,False,Root,0
88,88,136202494,DÉP QUAI CHÉO THÁI - MÀU XANH DƯƠNG,"       Chất liệu cao su mềm dẻo, êm ái   2 quai chéo phong cách trẻ trung   Sản xuất với công nghệ Thái Lan siêu bền   Đủ size từ 38- 42.   Chất liệu cao su mềm dẻo, êm ái   2 quai chéo phong...",45000,45000,dropship,OEM,0,0.0,0,False,Gia Dụng Hiền Phương,679,1,0,False,Giày - Dép nam,1
1094,1094,125042479,Giày Lười Nam Da Bò Thật Dập Vân Cá Sấu Đế Cao Su Đúc 3cm Mã X091-3 Hàng Việt Nam,       GIÀY TỰ SẢN XUẤT - MIỄN TRUNG GIAN - GIÁ TẠI XƯỞNG   CAM KẾT   + KHÔNG ƯNG TRẢ LẠI   + KHÔNG VỪA ĐỔI SIZE   + BẢO HÀNH 12 THÁNG   + KHÔNG PHẢI DA BÒ THẬT ĐỀN GẤP ĐÔI   ---------------...,198000,198000,dropship,OEM,0,0.0,0,True,Giày Chất Store,719,5,0,False,Root,0
776,776,167931412,Giày Lười Nam Chuông Da Bóng Sang Trọng Đế Khâu Cao Cấp - SC01,"       GIÀY LƯỜI NAM   Thương Hiệu SAVATOt   Công Ty Giày Da Thành Trung   Địa chỉ: cầu giẽ phú xuyên , hà nội   Xuất Xứ: Việt Nam   ➫ Shop đảm bảo hàng bán ra giống hình 100%   ➫ Mẫu thiết ...",160000,160000,dropship,OEM,0,0.0,0,True,Giày da thật 24H,552,8,0,False,Root,0
5437,5437,173347724,Bàn Chải Đành Giày Lông Heo Tay Cầm Linh Hoạt BCDG24,"️ CAM KẾT CHẤT LƯỢNG SẢN PHẨM ĐÚNG NHƯ MÔ TẢ️ ĐỔI TRẢ MIỄN PHÍ NẾU DO LỖI CỦA SHOP Thông tin sản phẩm- Chất liệu: lông heo rừng tự nhiên và phần tay cầm làm bằng gỗ. - Màu sắc: màu gỗ tự nhiên, màu g...",70000,35000,dropship,Ximo,10,4.8,0,False,PHỤ KIỆN GIÀY XIMO,528,9,0,False,Vệ sinh giày,36
183,183,174030576,"Dép quai ngang nam, nữ siêu nhẹ DUWA - Hàng chính hãng – TRẮNG TK1172","DÉP FORM LỚN NÊN LÙI LẠI 1 SIZEDÉP ĐẾ ĐÚC, QUAI GÀI - ĐI MƯA, LỘI NƯỚC KHÔNG LO BUNG KEO HAY ĐỨT CHỈCác sản phẩm giày dép nam nữ được chúng tôi nghiên cứu kỹ lưỡng về size chân, sở thích, nhu cầu sử...",159000,89500,dropship,DUWA,5,5.0,0,False,TNT SKY,522,6,2430,False,Dép nam quai ngang,10
2570,2570,164041369,giày chealse boot nam cao cổ - giày bốt nam cổ cao da lộn - Chealsea Boot Da Lộn Cao Cổ Chất Đẹp,       giày chealse boot nam cao cổ - giày bốt nam cổ cao da lộn - Chealsea Boot Da Lộn Cao Cổ Chất Đẹp   Shop xin chia sẻ về một số thông tin về sản phẩm để bạn có thể tham khảo và hiểu biết thê...,450000,450000,dropship,OEM,0,0.0,0,True,dodatriviet,567,6,0,False,Root,5
3765,3765,106898371,Sandal nam da bò Đông Hải quai ngang thiết kế bản to nam tính dễ phối trang phục - S1131,Giày sandal nam Đông Hải S1131 được làm bằng chất liệu da bò cao cấp mang đến cho phái mạnh những trải nghiệm êm ái. Thiết kế quai ngang cut-out cách điệu mang vẻ đẹp hiện đại giúp phái mạnh luôn cảm ...,690000,690000,dropship,Đông Hải,1,5.0,0,True,ĐÔNG HẢI SÀI GÒN,816,6,0,False,Giày sandals nam quai ngang,7
5663,5663,171707298,Chai đánh giầy dép túi sách siêu sạch 100ML,"       Thông Tin Sản Phẩm       Tên sản phẩm : Chai đánh giày siêu sạch PLAC CREAM 100ML   Công dụng : Giúp tẩy trắng mà vẫn giữ an toàn cho da giày, da túi xách   Thành phần : nước tinh khiết...",31000,31000,dropship,OEM,0,0.0,0,False,MODDA,537,8,0,False,Root,0
3434,3434,249189394,sandal đồng nai dép quai ngang nam và nữ ( đế đen quai cùng màu ) size từ 35 nữ đến 42 nam,     ...,89900,89900,dropship,OEM,0,0.0,0,False,LYNA Sandal,166,3,2406,False,Root,0
1176,1176,135845850,Giày Lười Nam Giá Rẻ Da Bóng Đai Vàng Bắt Mắt Đế Cao 3cm - Mã L157,"       * Giày Lười Nam Giá Rẻ Mã L157   ☆ Giày Lười Nam Đẹp,kiểu dáng mới, trẻ trung năng động cá tính   ☆ Mẫu giày lười nam phù hợp với khách hàng tuổi từ 18-38   ☆ Đế giày lười nam làm từ cao...",199000,199000,dropship,OEM,0,0.0,0,True,Chất Store 247,681,5,0,False,Root,0
734,734,135899058,Giày Lười Nam Da Lì Đế Cao Su Đúc Mã L180 Đế Khâu Màu Đen,       Giày lười nam da mềm là sản phẩm sản xuất hàng VNXK với chất liệu da mềm được thiết kế làm cho đôi giày trở nên mềm mại và êm ái khi đi vào chân. Cảm giác đau chân tức chân sẽ không còn là ...,199000,199000,dropship,OEM,0,0.0,0,True,Chất Store 247,681,5,0,False,Root,0
3528,3528,197243404,Giày Sandal Nam The Bily 3 Quai Ngang - Đế Trắng Lót Đen Màu Trắng BLDTMD04,"Giày Sandal Nam Nữ Unisex The BiLy  3 Quai Ngang Dây Dù Đế Phylon Siêu Êm Nhẹ Nhiều Màu-BLDTMD04+Mô Tả Sản Phẩm:- Dòng sản phẩm The Bily 04 có nhiều size dành cho nam và nữ, có nhiều màu sắc, thời tra...",349000,349000,dropship,THE BILY,8,5.0,0,True,THE BILY STORE,368,8,9343,True,Giày sandals nam quai ngang,19
4172,4172,89934178,Giày tây nam công sở 20886,"       + Thiết kế Đế: Cao su chống trượt rất tốt. Đi lại nhẹ nhàng tạo cảm giác êm ái.   + Trọng lượng: nhẹ, thích hợp cho việc di chuyển dễ dàng   + Thiết kế thoáng khí, hấp thụ sốc khi có va c...",325100,292400,dropship,OEM,0,0.0,0,True,ĐỒ DA THÀNH LONG TLG,886,6,7828,False,Root,0
144,144,73101711,Dép Sục Nhựa Dẻo Lỗ Tổ Ong ĐI Mưa Bít Mũi Nam Nữ (Màu Ngẫu Nhiên) - SL1102,"Dép Sục Nhựa Dẻo Lỗ Tổ Ong ĐI Mưa Bít Mũi Nam NữChất liệu: nhựa PV siêu dẻo, mềm, xốp siêu nhẹ đi êm chân, rất bền, không bị ngấm nước.Màu sắc : màu xanh than và màu xámThiết kế: dạng sục đi ôm chân ...",59000,59000,dropship,OEM,46,4.5,0,False,HƯƠNG GIÀY,1026,6,1601,False,Giày - Dép nam,283
5302,5302,252920270,"Keo Dán Giày Nhiệt Super Glue XIMO Siêu Dính Cao Cấp, Chống Nước Tốt","Qua nghiên cứu rất nhiều kiến thức của các chuyên gia về giày nổi tiếng trên toàn Thế Giới và qua trải nghiệm, chúng tôi (XIMO) hàng nhiều năm trời với nghề về giày. Sau rất nhiều lần thử nghiệm, XIMO...",39000,39000,dropship,Ximo,0,0.0,0,False,TAVANA,138,6,0,False,Phụ kiện cho giày nam,4
2024,2024,109601586,Dép xỏ ngón nam da bò thật/ tông nam da bò thật mã TONG.166,Dép xỏ ngón nam da bò thật tông nam da bò thật dép kẹp nam xỏ ngón - TONG.167Hình ảnh cam kết  chân thật. Shop tự chụp Dép xỏ ngón với chất liệu da Bò bền đẹp kết hợp đế cao su êm nhẹ chố...,599000,399000,dropship,OEM,0,0.0,0,True,AFADA STORE,802,13,0,False,Dép nam xỏ ngón,1
4016,4016,108141379,Giầy tây giày lười nam hàn quốc da bóng đai én,       - Bảo hành 3 tháng keo đế   - Cam kết ảnh thật 100%   ----------   Hướng dẫn sử dụng:   • Tốt nhất nên dùng vải mêm để lau chùi giày da nam   • Tránh thấm nước. khi không sư dụng dùng ...,198000,198000,dropship,OEM,0,0.0,0,True,Giày Chất Store,810,6,0,False,Root,1
5558,5558,169683822,Giấy lau giày Sneaker gói 30 tờ,"       Giấy ướt lau giày cực tiện luôn ạ, nhất là khi đi du lịch hay đi xa, mà chẳng may giày bị bẩn, muốn lau cái là sạch đẹp mà ko cần phải dùng bất kỳ dụng cụ kỳ cọ hay phải đem theo chai tẩy g...",73000,73000,dropship,OEM,0,0.0,0,False,shop đồ chơi công nghệ mới,545,4,0,False,Root,0
354,354,170337857,Dép quai ngang nam đế đúc siêu nhẹ DUWA,"Chất Liệu Đế: PU Chất Liệu Quai: PUChiều cao đế: 2 cmMô tả sản phẩm:Dép làm từ chất liệu cao cấp, chắc chắn, dẻo dai, nhẹĐược thiết kế theo công nghệ mới, độ chống trơn trượt cao, mang đến cho ngư...",85000,78000,dropship,	OEM,4,4.5,0,False,HƯƠNG GIÀY,543,7,2088,False,Dép nam quai ngang,12
3914,3914,157658491,Giày Sandal Chaco Nam Mã D158 Xăng Đan Nam Chaco Dép Chaco,"       Dép chaco nam cỡ 38-43 đế ko nhăn ko lún.   Shop sẽ gửi hàng theo thông tin đơn hàng của khách đặt, Quý khách vui lòng không đặt 1 đằng ghi chú 1 nẻo hoặc đặt mẫu này nhắn tin yêu cầu đổi ...",180000,180000,dropship,OEM,0,0.0,0,True,Giày Thái Lan,608,7,0,False,Root,0
1609,1609,24536650,Giày Thể Thao Buộc Dây A04,"Giày Vải Nam Thời Trang Và Lịch Lãm được thiết kế trẻ trung, năng động và sành điệu, khẳng định phong cách thời trang riêng của bạn.Tông màu thanh lịch, đẳng cấp cùng chất liệu mềm mại, không mang đ...",150000,150000,dropship,OEM,0,0.0,0,True,happy fashion,1505,3,0,False,Thời Trang,0
2694,2694,127936737,"Giày nhựa lỗ nam nữ đi mưa đi biển - Chất liệu Eva siêu nhẹ, chống nước - Màu Cờ Mỹ","GIÀY NHỰA LỖ NAM NỮ ĐI MƯA ĐI BIỂN ■ Được mệnh danh là những đôi giày “Biết Thở” bởi sự thoáng khí, đem lại cảm giác mát mẻ, khô thoáng cho đôi bàn chân.■ Giày Eva Fylon D2001 có rất nhiều các màu s...",185000,185000,dropship,OEM,0,0.0,0,True,Jzo Store,705,4,4952,True,Giày lười nhựa nam,2
3938,3938,81085626,Giày Tây Nam Da Cao Cấp Sang Trọng,"Size: 39 đến 43Màu: ĐenKiểu dáng: Giày cột dây, đế đã khâuGiày Tây Da Cao Cấp Sang Trọng với chất liệu bền đẹp kết hợp đế cao su êm nhẹ chống trơn trượt giúp bạn nam luôn thoải mái, tự tin khi đi c...",223500,150000,dropship,Lê Sang,52,4.5,0,True,GiayLeSang,916,6,0,False,Giày tây nam có dây,170
485,485,115768555,Giày Da nam cực chất xả kho giá gốc- giày lười nam-mã L143,"       GIÀY LƯỜI NAM ĐẾ CHẮC CHẮN - CHỊU NƯỚC   GIÀY DA NAM chất liệu da êm mềm khi di chuyển nhiều.   - Sản xuất tại VN bởi XƯỞNG GIÀY NAM GIÁ SỈ   - Da PU cao cấp, đế cao su đúc   - Lót da c...",199000,199000,dropship,OEM,0,0.0,0,True,Giày da VN24H,775,5,0,False,Root,1
2254,2254,206266774,Giày Nam Cổ Cao Boost Martin Cao Bồi Chống Nước - Phong Cách Retro,"Thông Tin Sản Phẩm:- Loại giày: Thể thao nam , sneaker nam , giày cao cổ nam- Chất liệu mặt trong: Vải khử mùi thoáng khí chống mồ hôi chân tuyệt đối .- Chất liệu đế : cao su đi cực kì êm chân , ch...",179000,179000,dropship,OEM,4,3.8,0,True,solomonshoes,295,4,0,False,Giày boots nam cổ cao,9
452,452,115767457,"Sục da nam,giày da nam hở gót xả kho giá gốc","       Giày sục da nam sang chảnh mẫu mới 2021   - Sục da nam siêu cấp, mềm êm   - đế đúc cao su nguyên chất   có đủ size cho khách nhé   shop tớ luôn ưu tiên về chất lượng để đạt đc lòng tin ...",199000,199000,dropship,OEM,3,4.7,0,True,Giày da VN24H,775,7,0,False,Root,16
4447,4447,215612193,Giày Converse Chuck Taylor All Star Utility Workwear Textures A05094C,Cùng CHUCK TAYLOR ALL STAR CONSTRUCT gạt bỏ những giới hạn xưa cũ. Đôi giày là sự kết hợp đầy phá cách giữa cổ điển & thời thượng đã tạo nên phiên bản Chuck Taylor All Star Construct ‘độc nhất vô ...,2500000,2500000,dropship,Converse,0,0.0,0,True,Sneaker Buzz,236,5,0,False,Giày thể thao nam cổ cao,0
3001,3001,257996569,Giày vải nam vải lưới thoáng khí đế cao su mềm L48,"Giày lười nam L48Được thiết kế theo phong cách Hàn Quốc với kiểu dáng năng động, tiện lợi nhưng không kém phần bắt mắt, Giày lười nam L48 là một trong những mẫu giày hot nhất.Đôi giày là phụ kiện th...",269000,269000,dropship,OEM,0,0.0,0,True,Shop 888,117,6,0,True,Giày lười vải nam,1
3210,3210,108410926,Dép cao su 3 quai có hậu đế dày mài,"Thiết kế mẫu mã đẹp, hợp thời trang, tinh xảo từ bàn tay người nghệ nhân - Vua dép lốp Ông Phạm Quang Xuân.Kiểu dáng tiện lợi, đi nhẹ và êm, lội nước và bùn rất thuận tiện.Dép được làm thủ công, có đư...",1550000,1550000,dropship,Vua Dép Lốp,0,0.0,0,True,Dépcaosu VuaDépLốp PHẠMQUANGXUÂN,809,3,0,False,Giày sandals nam quai chéo,0
