Car_name,Num_of_reviews,General_rate,Comfort,Interior design,Performance,Value for the money,Exterior styling,Reliability,Year,Brand,Model
2023     Acura     Integra.,5.0,4.6,4.4,4.4,4.6,4.2,5.0,4.8,2023,Acura,Integra.
2023     Acura     MDX.,,,,,,,,,2023,Acura,MDX.
2023     Acura     TLX.,,,,,,,,,2023,Acura,TLX.
2023     Acura     RDX.,,,,,,,,,2023,Acura,RDX.
2022     Acura     TLX.,3.0,4.8,4.3,4.3,4.7,5.0,5.0,5.0,2022,Acura,TLX.
2022     Acura     MDX.,19.0,4.7,4.8,4.6,4.7,4.6,4.9,4.6,2022,Acura,MDX.
2022     Acura     RDX.,2.0,4.8,5.0,5.0,4.5,5.0,4.5,5.0,2022,Acura,RDX.
2022     Acura     ILX.,,,,,,,,,2022,Acura,ILX.
2022     Acura     NSX.,,,,,,,,,2022,Acura,NSX.
2021     Acura     ILX.,3.0,4.9,4.7,4.7,5.0,5.0,4.7,5.0,2021,Acura,ILX.
2021     Acura     TLX.,23.0,4.6,4.8,4.7,4.6,4.3,4.7,4.3,2021,Acura,TLX.
2021     Acura     RDX.,43.0,4.8,4.9,4.9,4.7,4.7,4.9,4.8,2021,Acura,RDX.
2021     Acura     NSX.,,,,,,,,,2021,Acura,NSX.
2020     Acura     ILX.,17.0,4.6,4.5,4.6,4.5,4.4,4.7,4.5,2020,Acura,ILX.
2020     Acura     RLX Sport Hybrid.,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2020,Acura,RLX Sport Hybrid.
2020     Acura     MDX.,52.0,4.8,4.8,4.8,4.8,4.7,4.8,4.9,2020,Acura,MDX.
2020     Acura     TLX.,32.0,4.9,4.9,4.8,4.8,4.8,4.8,4.9,2020,Acura,TLX.
2020     Acura     MDX Sport Hybrid.,1.0,4.9,5.0,5.0,5.0,5.0,4.0,5.0,2020,Acura,MDX Sport Hybrid.
2020     Acura     RDX.,97.0,4.6,4.8,4.6,4.7,4.4,4.8,4.6,2020,Acura,RDX.
2020     Acura     RLX.,1.0,4.8,4.0,5.0,5.0,5.0,5.0,,2020,Acura,RLX.
2020     Acura     NSX.,2.0,3.8,4.0,3.0,5.0,4.5,4.0,2.5,2020,Acura,NSX.
2019     Acura     MDX Sport Hybrid.,6.0,4.8,4.8,4.7,4.8,4.8,4.7,4.7,2019,Acura,MDX Sport Hybrid.
2019     Acura     RDX.,220.0,4.3,4.6,4.5,4.2,4.0,4.6,4.2,2019,Acura,RDX.
2019     Acura     TLX.,56.0,4.4,4.6,4.4,4.3,4.3,4.6,4.3,2019,Acura,TLX.
2019     Acura     RLX Sport Hybrid.,,,,,,,,,2019,Acura,RLX Sport Hybrid.
2019     Acura     ILX.,26.0,4.7,4.8,4.6,4.6,4.6,4.8,4.6,2019,Acura,ILX.
2019     Acura     MDX.,65.0,4.6,4.6,4.6,4.6,4.5,4.6,4.7,2019,Acura,MDX.
2019     Acura     NSX.,3.0,5.0,5.0,4.7,5.0,5.0,5.0,5.0,2019,Acura,NSX.
2019     Acura     RLX.,1.0,4.9,5.0,5.0,5.0,5.0,4.0,5.0,2019,Acura,RLX.
2018     Acura     TLX.,83.0,4.7,4.8,4.7,4.7,4.7,4.8,4.8,2018,Acura,TLX.
2018     Acura     RLX.,9.0,4.6,5.0,4.6,4.4,4.3,4.9,4.6,2018,Acura,RLX.
