EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
446040,Shooting Permit,10/19/2018 02:00:00 PM,10/20/2018 04:00:00 AM,10/16/2018 11:57:27 AM,"Mayor's Office of Film, Theatre & Broadcasting","THOMPSON STREET between PRINCE STREET and SPRING STREET,  SPRING STREET between WOOSTER STREET and 6TH AVENUE,  SPRING STREET between THOMPSON STREET and 6TH AVENUE,  6TH AVENUE between VANDAM STREET and BROOME STREET,  SULLIVAN STREET between WEST HOUSTON STREET and PRINCE STREET,  PRINCE STREET between SULLIVAN STREET and 6 AVENUE",Manhattan,2,1,Television,Cable-episodic,United States of America,10012
446168,Shooting Permit,10/19/2018 02:00:00 PM,10/20/2018 02:00:00 AM,10/16/2018 07:03:56 PM,"Mayor's Office of Film, Theatre & Broadcasting","MARBLE HILL AVENUE between WEST  227 STREET and WEST  225 STREET,  WEST  228 STREET between ADRIAN AVENUE and MARBLE HILL AVENUE",Manhattan,"12, 8","34, 50",Film,Feature,United States of America,"10034, 10463"
186438,Shooting Permit,10/30/2014 07:00:00 AM,10/31/2014 02:00:00 AM,10/27/2014 12:14:15 PM,"Mayor's Office of Film, Theatre & Broadcasting","LAUREL HILL BLVD between REVIEW AVENUE and RUST ST,  REVIEW AVE between VAN DAM STREET and LAUREL HILL BOULEVARD,  59 ROAD between 60 LANE and 61 STREET,  59 ROAD between 60 LANE and 61 STREET,  61 STREET between 59 ROAD and FRESH POND ROAD,  FRESH POND ROAD between 59 AVENUE and 59 DRIVE,  59 DRIVE between FRESH POND ROAD and 63 STREET,  59 DRIVE between FRESH POND ROAD and 64 STREET",Queens,"2, 5","104, 108",Television,Episodic series,United States of America,11378
445255,Shooting Permit,10/20/2018 07:00:00 AM,10/20/2018 06:00:00 PM,10/09/2018 09:34:58 PM,"Mayor's Office of Film, Theatre & Broadcasting",JORALEMON STREET between BOERUM PLACE and COURT STREET,Brooklyn,2,84,Still Photography,Not Applicable,United States of America,11201
128794,Theater Load in and Load Outs,11/16/2013 12:01:00 AM,11/17/2013 06:00:00 AM,11/07/2013 03:48:28 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
43547,Shooting Permit,01/10/2012 07:00:00 AM,01/10/2012 07:00:00 PM,01/04/2012 12:25:37 PM,"Mayor's Office of Film, Theatre & Broadcasting","EAGLE STREET between FRANKLIN STREET and WEST STREET,  WEST STREET between EAGLE STREET and FREEMAN STREET,  FREEMAN STREET between WEST STREET and FRANKLIN STREET",Brooklyn,"1, 2","108, 94",Television,Episodic series,United States of America,"11101, 11222"
66846,Shooting Permit,07/27/2012 07:00:00 AM,07/27/2012 07:00:00 PM,07/23/2012 07:26:03 PM,"Mayor's Office of Film, Theatre & Broadcasting",8 AVENUE between LINCOLN PLACE and BERKELEY PLACE,Brooklyn,6,78,Film,Feature,United States of America,11217
104342,Shooting Permit,06/21/2013 12:00:00 AM,06/21/2013 09:00:00 AM,05/27/2013 06:22:39 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   44 STREET between BROADWAY and 6 AVENUE,Manhattan,5,14,Television,News,United States of America,10036
244863,Shooting Permit,09/16/2015 07:00:00 AM,09/16/2015 09:00:00 PM,09/10/2015 10:26:27 PM,"Mayor's Office of Film, Theatre & Broadcasting","BRONXDALE AVENUE between MORRIS PARK AVENUE and VAN NEST AVENUE,  MORRIS PARK AVENUE between BRONXDALE AVENUE and FOWLER AVENUE",Bronx,11,49,Television,Cable-episodic,United States of America,10462
446379,Shooting Permit,10/20/2018 06:00:00 AM,10/20/2018 10:00:00 PM,10/18/2018 11:01:48 AM,"Mayor's Office of Film, Theatre & Broadcasting",JANE STREET between WASHINGTON STREET and GREENWICH STREET,Manhattan,2,6,WEB,Not Applicable,United States of America,10014
