No_of_Individual_Wrestlers,No_of_Tag_Teams,No_of_Triple_Teams,No_of_Teams_with_More_Than_3_Members,Name_of_Teams_with_More_Than_3_Members
4263,7765,3293,2095,Bob Backlund & Larry Zbyszko & Peter Maivia & Tony Garea
,,,,Baron Mikel Scicluna & Mr. Fuji & Professor Toru Tanaka & Stan Stasiak
,,,,Baron Mikel Scicluna & Baron Von Raschke & Billy White Wolf & Chief Jay Strongbow & Doug Gilbert & Frank Monroe & Jan Nelson & Johnny Rodz & Ken Patera & Larry Zbyszko & Santacopita & Special Delivery Jones & Ted Adams & Tony Garea
,,,,Bobo Brazil & Bruno Sammartino & Buddy Austin & Pedro Morales
,,,,Buddy Rogers & Diamond Jack & Johnny Barend & The Shadow
,,,,Bradshaw & Bubba Ray Dudley & D-Von Dudley & Faarooq & Jeff Hardy & Matt Hardy
,,,,Albert & Billy & Bradshaw & Bubba Ray Dudley & Christian & Chuck & D-Von Dudley & Faarooq & Lance Storm & Scotty 2 Hotty
,,,,Billy & Bradshaw & Chuck & Faarooq
,,,,Bubba Ray Dudley & D-Von Dudley & Jeff Hardy & Matt Hardy
,,,,Albert & Bubba Ray Dudley & D-Von Dudley & Scotty 2 Hotty
,,,,Al Snow & Albert & Big Boss Man & Billy & Booker T. & Bradshaw & Christian & Chuck & Diamond Dallas Page & Faarooq & Goldust & Jeff Hardy & Kane & Kurt Angle & Lance Storm & Matt Hardy & Maven & Mr. Perfect & Perry Saturn & Rikishi & Rob Van Dam & Scotty 2 Hotty & Steve Austin & Test & The Big Show & The Godfather & The Hurricane & The Undertaker & Val Venis
,,,,Albert & Justin Credible & Lance Storm & Scotty 2 Hotty
,,,,Albert & Billy Gunn & Billy Kidman & Bradshaw & Chavo Guerrero & Chuck Palumbo & Crash Holly & Diamond Dallas Page & Faarooq & Funaki & Hugh Morrus & Justin Credible & Lance Storm & Perry Saturn & Raven & Shawn Stasiak & Spike Dudley & Steven Richards & Tazz & The Hurricane & Tommy Dreamer
,,,,Ivory & Jacqueline & Jazz & Lita & Mighty Molly
,,,,Chris Jericho & Kane & The Big Show & The Rock & The Undertaker
,,,,Booker T. & Kurt Angle & Rob Van Dam & Shane McMahon & Steve Austin
,,,,Bradshaw & Faarooq & Jeff Hardy & Matt Hardy
,,,,Bubba Ray Dudley & Chavo Guerrero & Chris Kanyon & D-Von Dudley & Hugh Morrus & Justin Credible & Lance Storm & Mike Awesome & Raven & Rob Van Dam & Steven Richards & Tazz & Test & The Hurricane & Tommy Dreamer
,,,,Jeff Hardy & Lance Storm & Matt Hardy & Spike Dudley & The Big Show & The Hurricane
,,,,Booker T. & Bubba Ray Dudley & D-Von Dudley & Rhyno
