titles,match_duration,matches,win_type,location,event
Dusty Rhodes Tag Team Classic Cup,08:18,Akam & Rezar vs Nick Miller & Shane Thorne,def. (pin),"Toronto, Ontario",TakeOver: Toronto
Interim NXT Cruiserweight Championship,12:24,Santos Escobar vs Gran Metalik,def. (pin),"Orlando, Florida",TV #434 - New Year's Evil
Interim NXT Cruiserweight Championship NXT Cruiserweight Championship,18:06,Santos Escobar vs Jordan Devlin,def.,"Orlando, Florida",TV #448 - TakeOver: Stand & Deliver - Day 2
Million Dollar Title,13:13,L.A. Knight vs Cameron Grimes,def. (pin),"Orlando, Florida",TV #461 - The Great American Bash 2021
NXT Championship,00:43,Bron Breakker vs Duke Hudson,def. (pin),"Orlando, Florida",TV #510 Taping
NXT Championship NXT North American Championship,15:25,Keith Lee vs Dominik Dijakovic,def. (pin),"Winter Park, Florida",TV Taping #409
NXT Championship NXT UK Championship,17:12,Bron Breakker vs Tyler Bate,def. (pin),"Orlando, Florida",Worlds Collide 2022
NXT Cruiserweight Championship,06:18,Roderick Strong vs Grayson Waller,def. (pin),"Orlando, Florida",TV #473
NXT Cruiserweight Championship NXT North American Championship,15:30,Carmelo Hayes vs Roderick Strong,def. (pin),"Orlando, Florida",TV #487 - New Year's Evil 2022
NXT Heritage Cup,10:54,Noam Dar vs Dragon Lee,def. (pin),"Lowell, Massachusetts",Battleground 2023
NXT North American Championship,00:56,"Carmelo Hayes vs Isaiah ""Swerve"" Scott",def. (pin),"Orlando, Florida",TV #475
NXT North American Championship NXT Tag Team Titles,13:35,Bronson Reed & Nash Carter & Wes Lee vs Joaquin Wilde & Raul Mendoza & Santos Escobar,def. (pin),"Orlando, Florida",TakeOver: In Your House 2021
NXT North American Championship WWE United Kingdom Championship,21:50,Pete Dunne vs Ricochet,draw (NC),"Winter Park, Florida",TV Taping #315
NXT Tag Team Titles,02:21,Angelo Dawkins & Montez Ford vs Steve Cutler & Wesley Blake,def. (DQ),"Winter Park, Florida",TV Taping #355
NXT Tag Team Titles NXT UK Tag Team Championship,15:05,Elton Prince & Kit Wilson vs Brooks Jensen & Brutus Creed & Josh Briggs & Julius Creed & Mark Coffey & Wolfgang,def. (pin),"Orlando, Florida",Worlds Collide 2022
NXT UK Championship,16:59,WALTER vs Tommaso Ciampa,def. (pin),"Orlando, Florida",TV #447 - TakeOver: Stand & Deliver - Day 1
NXT UK Tag Team Championship,08:45,Mark Coffey & Wolfgang vs Brooks Jensen & Josh Briggs,def. (CO),"Orlando, Florida",TV #520
NXT UK Women's Title NXT Women's Title,13:18,Mandy Rose vs Blair Davenport & Meiko Satomura,def. (pin),"Orlando, Florida",Worlds Collide 2022
NXT Women's Tag Team Titles,07:32,Gigi Dolin & Jacy Jayne vs Cora Jade & Roxanne Perez,def.,"Tampa, Florida",Tampa Show
NXT Women's Title,02:00,Shayna Baszler vs Xia Li,def.,"Crystal River, Florida",Crystal River Show
WWE United Kingdom Championship,07:54,Pete Dunne vs Wolfgang,def. (pin),"Winter Park, Florida",TV Taping #263
WWE Womens Tag Team Championship,09:00,Chelsea Green & Piper Niven vs Jacy Jayne & Thea Hail,def. (pin),"Orlando, Florida",TV #582 - Halloween Havoc 2023 - Day 2
WWE World Heavyweight Championship,17:06,Seth Rollins vs Bron Breakker,def. (pin),"Orlando, Florida",TV #563 - Gold Rush - Day 1
