Customer ID,Company Name,Total,Group
ALFKI,Alfreds Futterkiste,2302.1999969999997,Medium
ANATR,Ana Trujillo Emparedados y helados,514.3999906700001,Low
ANTON,Antonio Moreno Taquería,660.0,Low
AROUT,Around the Horn,5838.5,High
BERGS,Berglunds snabbköp,8110.54990875,High
BLAUS,Blauer See Delikatessen,2160.0,Medium
BLONP,Blondesddsl père et fils,730.0,Low
BOLID,Bólido Comidas preparadas,280.0,Low
BONAP,Bon app',7185.9000077,High
BOTTM,Bottom-Dollar Markets,12227.399949600001,Very High
BSBEV,B's Beverages,2431.0,Medium
CACTU,Cactus Comidas para llevar,1576.799988,Medium
CHOPS,Chop-suey Chinese,4429.4000534,Medium
COMMI,Comércio Mineiro,513.750012,Low
CONSH,Consolidated Holdings,931.500012,Low
DRACD,Drachenblut Delikatessen,2809.60997458,Medium
DUMON,Du monde entier,860.09999468,Low
EASTC,Eastern Connection,9569.309973200001,High
ERNSH,Ernst Handel,42598.8999409,Very High
FOLKO,Folk och fä HB,15973.850057340002,Very High
FRANK,Frankenversand,5586.999983850001,High
FRANR,France restauration,2252.060014,Medium
FRANS,Franchi S.p.A.,1296.0,Medium
FURIB,Furia Bacalhau e Frutos do Mar,68.0,Low
GALED,Galería del gastrónomo,207.5,Low
GODOS,Godos Cocina Típica,7064.0499672000005,High
GOURL,Gourmet Lanchonetes,497.0,Low
GREAL,Great Lakes Food Market,10562.579986,Very High
HANAR,Hanari Carnes,24238.04997655,Very High
HILAA,HILARION-Abastos,6132.29993148,High
HUNGO,Hungry Owl All-Night Grocers,22796.3401198,Very High
ISLAT,Island Trading,2684.5999984,Medium
KOENE,Königlich Essen,20204.949930000002,Very High
LACOR,La corne d'abondance,1992.05001022,Medium
LAMAI,La maison d'Asie,1549.9500128,Medium
LAUGB,Laughing Bacchus Wine Cellars,187.0,Low
LEHMS,Lehmanns Marktstand,3342.850015,Medium
LETSS,Let's Stop N Shop,1450.5999904,Medium
LILAS,LILA-Supermercado,5994.0599938000005,High
LINOD,LINO-Delicateses,10085.59997811,Very High
LONEP,Lonesome Pine Restaurant,1709.3999976,Medium
MAGAA,Magazzini Alimentari Riuniti,1692.9999923999999,Medium
MAISD,Maison Dewey,4746.5799978000005,Medium
MORGK,Morgenstern Gesundkost,245.0,Low
NORTS,North/South,45.0,Low
OCEAN,Océano Atlántico Ltda.,3031.000004,Medium
OLDWO,Old World Delicatessen,5337.6500376,High
OTTIK,Ottilies Käseladen,3012.6999852,Medium
PERIC,Pericles Comidas clásicas,1496.0,Medium
PICCO,Piccolo und mehr,4393.75,Medium
PRINI,Princesa Isabel Vinhos,2633.9000100000003,Medium
QUEDE,Que Delícia,1353.59999848,Medium
QUEEN,Queen Cozinha,7007.649978,High
QUICK,QUICK-Stop,40526.9899245,Very High
RANCH,Rancho grande,1694.7000048,Medium
RATTC,Rattlesnake Canyon Grocery,21725.59992846,Very High
REGGC,Reggiani Caseifici,4262.99996,Medium
RICAR,Ricardo Adocicados,7312.000024,High
RICSU,Richter Supermarkt,5497.89994172,High
ROMEY,Romero y tomillo,726.8899994000001,Low
SANTG,Santé Gourmet,3976.75000072,Medium
SAVEA,Save-a-lot Markets,42806.250035080004,Very High
SEVES,Seven Seas Imports,1630.0,Medium
SIMOB,Simons bistro,244.30001120000003,Low
SPECD,Spécialités du monde,2371.0,Medium
SPLIR,Split Rail Beer & Ale,1117.000015,Medium
SUPRD,Suprêmes délices,11862.5000336,Very High
THEBI,The Big Cheese,69.5999984,Low
THECR,The Cracker Box,325.999996,Low
TOMSP,Toms Spezialitäten,910.39999772,Low
TORTU,Tortuga Restaurante,1874.4999981,Medium
TRADH,Tradição Hipermercados,4401.619984000001,Medium
TRAIH,Trail's Head Gourmet Provisioners,237.8999976,Low
VAFFE,Vaffeljernet,4333.50006,Medium
VICTE,Victuailles en stock,3021.9999924,Medium
WANDK,Die Wandernde Kuh,1564.0,Medium
WARTH,Wartian Herkku,300.0,Low
WELLI,Wellington Importadora,1245.0,Medium
WHITC,White Clover Markets,15278.89996402,Very High
WILMK,Wilman Kala,1986.9999804200002,Medium
WOLZA,Wolski  Zajazd,1865.0999904,Medium
