,id,team_api_id,team_fifa_api_id,team_long_name,team_short_name
0,16848,8350,29.0,1. FC Kaiserslautern,KAI
1,15624,8722,31.0,1. FC Köln,FCK
2,16239,8165,171.0,1. FC Nürnberg,NUR
3,16243,9905,169.0,1. FSV Mainz 05,MAI
4,11817,8576,614.0,AC Ajaccio,AJA
5,11074,108893,111989.0,AC Arles-Avignon,ARL
6,49116,6493,1714.0,AC Bellinzona,BEL
7,26560,10217,650.0,ADO Den Haag,HAA
8,9537,8583,57.0,AJ Auxerre,AUX
9,9547,9829,69.0,AS Monaco,MON
10,9549,8481,1823.0,AS Nancy-Lorraine,NAN
11,9556,9853,1819.0,AS Saint-Étienne,ETI
12,26563,10229,1906.0,AZ,ALK
13,39393,8485,77.0,Aberdeen,ABE
14,35292,10215,1901.0,Académica de Coimbra,ACA
15,26552,8593,245.0,Ajax,AJA
16,35291,10213,,Amadora,AMA
17,14868,8121,1530.0,Angers SCO,ANG
18,31455,8322,111082.0,Arka Gdynia,ARK
19,3459,9825,1.0,Arsenal,ARS
20,3465,10252,2.0,Aston Villa,AVL
21,20513,8524,39.0,Atalanta,ATA
22,43051,8315,448.0,Athletic Club de Bilbao,BIL
23,43053,9906,240.0,Atlético Madrid,AMA
24,49117,10192,900.0,BSC Young Boys,YB
25,21280,9976,1848.0,Bari,BAR
26,15619,8178,32.0,Bayer 04 Leverkusen,LEV
27,2,9993,675.0,Beerschot AC,BAC
28,4218,8658,88.0,Birmingham City,BIR
29,3468,8655,3.0,Blackburn Rovers,BLB
30,4996,8483,1926.0,Blackpool,BLA
31,38176,8613,1898.0,Boavista FC,BOA
32,20524,9857,189.0,Bologna,BOL
33,3471,8559,4.0,Bolton Wanderers,BOL
34,15620,9789,22.0,Borussia Dortmund,DOR
35,15631,9788,23.0,Borussia Mönchengladbach,GLA
36,8779,8678,1943.0,Bournemouth,BOU
37,22044,9858,190.0,Brescia,BRE
38,4234,8191,1796.0,Burnley,BUR
39,43037,8371,479.0,CA Osasuna,OSA
40,35296,10214,1891.0,CD Nacional,NAC
41,43041,8388,477.0,CD Numancia,NUM
42,43804,9867,260.0,CD Tenerife,TEN
43,35284,9807,1889.0,CF Os Belenenses,BEL
44,35298,10212,1893.0,CS Marítimo,MAR
45,20515,8529,1842.0,Cagliari,CAG
46,7276,8344,1961.0,Cardiff City,CAR
47,25804,208931,112409.0,Carpi,CAP
48,20517,8530,110364.0,Catania,CAT
49,39395,9925,78.0,Celtic,CEL
50,22042,9880,110915.0,Cesena,CES
51,3475,8455,5.0,Chelsea,CHE
52,20519,8533,192.0,Chievo Verona,CHI
53,12,8342,231.0,Club Brugge KV,CLB
54,31458,2186,110747.0,Cracovia,CKR
55,7261,9826,1799.0,Crystal Palace,CRY
56,47612,7869,1867.0,Córdoba CF,COR
57,15627,9912,159.0,DSC Arminia Bielefeld,BIE
58,26554,8526,635.0,De Graafschap,GRA
59,11825,9836,110569.0,Dijon FCO,DIJ
60,41216,8284,180.0,Dundee FC,DUF
61,39398,9938,181.0,Dundee United,DUU
62,40757,8457,182.0,Dunfermline Athletic,DUN
63,12595,10242,294.0,ES Troyes AC,TRO
64,18691,9776,110500.0,Eintracht Braunschweig,BRA
65,15625,9810,1824.0,Eintracht Frankfurt,EFR
66,46848,10268,468.0,Elche CF,ELC
67,25048,8534,1746.0,Empoli,EMP
68,13343,9747,62.0,En Avant de Guingamp,GUI
69,37214,7842,10020.0,Estoril Praia,EST
70,3467,8668,7.0,Everton,EVE
71,27780,10218,1971.0,Excelsior,EXC
72,49119,9930,434.0,FC Aarau,AAR
73,37696,158085,112513.0,FC Arouca,ARO
74,17465,8406,100409.0,FC Augsburg,AUG
75,43042,8634,241.0,FC Barcelona,BAR
76,49118,9931,896.0,FC Basel,BAS
77,15617,9823,21.0,FC Bayern Munich,BMU
78,30222,6631,100626.0,FC Dordrecht,DOR
79,15629,8398,162.0,FC Energie Cottbus,COT
80,26548,8674,1915.0,FC Groningen,GRO
81,19916,8234,111239.0,FC Ingolstadt 04,ING
82,50204,7730,1862.0,FC Lausanne-Sports,LAU
83,9544,8689,217.0,FC Lorient,LOR
84,49121,10199,897.0,FC Luzern,LUZ
85,14106,8550,68.0,FC Metz,MET
86,9538,9830,71.0,FC Nantes,NAN
87,35289,6403,1892.0,FC Paços de Ferreira,FER
88,38173,6547,100741.0,FC Penafiel,PEN
89,35283,9773,236.0,FC Porto,POR
90,15621,10189,34.0,FC Schalke 04,S04
91,49120,10179,110770.0,FC Sion,SIO
92,9553,9874,226.0,FC Sochaux-Montbéliard,SOC
93,49479,10190,898.0,FC St. Gallen,GAL
94,16850,8152,110329.0,FC St. Pauli,STP
95,49837,10191,1715.0,FC Thun,THU
96,26550,8611,1908.0,FC Twente,TWE
97,26555,9908,1903.0,FC Utrecht,UTR
98,49122,9824,286.0,FC Vaduz,VAD
99,26561,6601,,FC Volendam,VOL
100,49124,10243,894.0,FC Zürich,ZUR
101,9,7947,,FCV Dender EH,DEN
102,39387,8596,79.0,Falkirk,FAL
103,36723,4064,,Feirense,FEI
104,26558,10235,246.0,Feyenoord,FEY
105,20521,8535,110374.0,Fiorentina,FIO
106,18074,8194,110636.0,Fortuna Düsseldorf,FDU
107,25791,9891,111657.0,Frosinone,FRO
108,3474,9879,144.0,Fulham,FUL
109,14876,6391,110316.0,GFC Ajaccio,GAJ
110,31454,8569,110744.0,GKS Bełchatów,BEL
111,20518,10233,110556.0,Genoa,GEN
112,43046,8305,1860.0,Getafe CF,GET
113,36735,9764,1888.0,Gil Vicente FC,GV
114,9539,9827,59.0,Girondins de Bordeaux,BOR
115,29624,6433,100632.0,Go Ahead Eagles,GAE
116,45330,7878,110832.0,Granada CF,GRA
117,49115,9956,322.0,Grasshopper Club Zürich,GRA
118,9554,9855,1805.0,Grenoble Foot 38,GRE
119,34337,8019,110565.0,Górnik Łęczna,LEC
120,15618,9790,28.0,Hamburger SV,HAM
121,39397,8429,184.0,Hamilton Academical FC,HAM
122,15622,9904,485.0,Hannover 96,HAN
123,39389,9860,80.0,Heart of Midlothian,HEA
124,24273,9876,206.0,Hellas Verona,VER
125,26557,9791,100634.0,Heracles Almelo,HER
126,15626,8177,166.0,Hertha BSC Berlin,HBE
127,39392,10251,81.0,Hibernian,HIB
128,3473,8667,1952.0,Hull City,HUL
129,44557,10278,100879.0,Hércules Club de Fútbol,HER
130,20528,8636,44.0,Inter,INT
131,39394,8066,620.0,Inverness Caledonian Thistle,INV
132,31456,1957,110745.0,Jagiellonia Białystok,BIA
133,20522,9885,45.0,Juventus,JUV
134,7,9991,674.0,KAA Gent,GEN
135,1042,6351,2013.0,KAS Eupen,EUP
136,1,9987,673.0,KRC Genk,GEN
137,5,9984,1750.0,KSV Cercle Brugge,CEB
138,13,9999,546.0,KSV Roeselare,ROS
139,14,8571,100081.0,KV Kortrijk,KOR
140,11,8203,110724.0,KV Mechelen,MEC
141,2476,8573,682.0,KV Oostende,OOS
142,17,10001,681.0,KVC Westerlo,WES
143,15633,8295,1832.0,Karlsruher SC,KAR
144,39391,8597,82.0,Kilmarnock,KIL
145,31925,8245,111083.0,Korona Kielce,KKI
146,9550,8639,65.0,LOSC Lille,LIL
147,20516,8543,46.0,Lazio,LAZ
148,9541,9746,1738.0,Le Havre AC,LEH
149,9543,8682,1739.0,Le Mans FC,LEM
150,20530,9888,347.0,Lecce,LEC
151,31453,2182,873.0,Lech Poznań,POZ
152,31450,8030,111091.0,Lechia Gdańsk,LGD
153,31447,8673,1871.0,Legia Warszawa,LEG
154,8021,8197,95.0,Leicester City,LEI
155,35295,6421,10018.0,Leixões SC,LEI
156,44565,8581,1853.0,Levante UD,LEV
157,1034,9989,239.0,Lierse SK,LIE
158,3462,8650,9.0,Liverpool,LIV
159,21285,8537,1844.0,Livorno,LIV
160,51606,7896,,Lugano,LUG
161,3466,8456,10.0,Manchester City,MCI
162,3457,10260,11.0,Manchester United,MUN
163,3469,8549,12.0,Middlesbrough,MID
164,20523,8564,47.0,Milan,ACM
165,10309,10249,70.0,Montpellier Hérault SC,MON
166,37210,8348,1900.0,Moreirense FC,MOR
167,39390,9927,83.0,Motherwell,MOT
168,43054,9864,573.0,Málaga CF,MAL
169,26553,8464,1910.0,N.E.C.,NEC
170,26564,9761,1904.0,NAC Breda,NAC
171,20526,9875,48.0,Napoli,NAP
172,35297,9809,100737.0,Naval 1° de Maio,NAV
173,49123,7955,435.0,Neuchâtel Xamax,XAM
174,3458,10261,13.0,Newcastle United,NEW
175,5756,9850,1792.0,Norwich City,NOR
176,22805,6269,112225.0,Novara,NOV
177,9542,9831,72.0,OGC Nice,NIC
178,31452,8242,1564.0,Odra Wodzisław,ODR
179,9545,9748,66.0,Olympique Lyonnais,LYO
180,9552,8592,219.0,Olympique de Marseille,MAR
181,1513,1773,100087.0,Oud-Heverlee Leuven,O-H
182,31448,2183,1570.0,P. Warszawa,PWA
183,29000,6413,1914.0,PEC Zwolle,ZWO
184,26556,8640,247.0,PSV,PSV
185,20532,8540,1843.0,Palermo,PAL
