id,name
1,
8,6-person tag (2 out of 3 falls)
9,no time limit
25,steel cage
33,6-person tag
67,no disqualification bullrope
88,tag (2 out of 3 falls)
104,judo
126,8-person tag elimination
153,"""Texas Death"""
161,6-person tag (3 out of 5 falls)
195,Battle Royal
232,referee: Gorilla Monsoon
259,"""Sicilian stretcher"""
307,boxer vs. wrestler
399,handicap tag
419,tag (3 out of 5 falls)
438,"""Greek Death"""
481,2 out of 3 falls
552,lumberjack death
755,Roman Gladiator
1446,8-person tag
1630,no disqualification
1637,"""hardcore"""
1658,fatal 4-way
1671,tag team tables
1704,referee: Jacqueline
1711,dark
1731,referee: Ric Flair
1767,falls count anywhere
1792,"""Paddle on a Pole"""
1809,triple-threat
1893,street fight
1897,fatal 4-way elimination tag
1899,referee: Mike Chioda
1905,four-way
2080,tag team turmoil
2087,"""Brass Knuckles On A Pole"""
2089,referee: Stephanie McMahon
2117,bikini
2173,triple-threat tag elimination
2185,three-way tag elimination
2300,30-man Royal Rumble
2314,handicap over the top rope elimination
2352,3-way tag
2388,hardcore (tag)
2389,wet T-shirt
2467,eggnog
2471,triple-threat no disqualification no countout
2483,"""First Blood"""
2527,referee: Lita
2540,tornado tag
2607,strap
2616,bra and panties
2640,3-way Tag Elimination
2664,gravy bowl invitational
2675,handicap tables
2687,steel cage (2 on 2)
2688,immunity battle royale
2689,6-pack challenge
2690,"""Survivor Series"""
2774,tables (3 vs 3)
2798,triple-threat tag
2801,referee: Trish Stratus
2865,battle royale (16 man)
2895,lingerie
2896,ladder
2909,Mixed Tag Team Match
3040,swimsuit contest
3126,6-person tag elimination
3306,12-person tag
3347,"""Lights Out"""
3475,elimination tables (6-man tag)
3483,referee: Mick Foley
3490,referee: Mick Foley tag team bra and panties
3491,10-person tag
3497,arm wrestling
3529,four-way elimination tag
3559,20-man tag
3569,3-way Match
3656,tables
3840,four-way tag TLC
3859,triple-threat hardcore
3861,chain
3868,no holds barred
3960,"""Duchess of Queensbury Rules"""
3961,"""Ultimate Submission"""
3962,"""Last Man Standing"""
3967,"""Duchess of Queensbury Rules"" (tag)"
3982,submission (tag)
3999,four-way tag
4008,Kiss The Flag Match
4022,no disqualification tag
4067,4-way elimination tag
4105,whipping
4123,referee: Mick Foley street fight
4124,triple-threat tag TLC
4125,Gimmick battle royale
4140,lumberjack match
4276,Gauntlet
4340,"""3 stages of hell"""
4342,triple-threat tag team tables
4346,6-way hardcore
4350,no disqualification 6-man tag
4430,3-way Hardcore Match
4494,"""first blood"" tag"
4504,three-way tag
4589,spanking
4772,dark 6-person tag
4793,fatal 4-way tag
4796,"""Hell in a Cell"" (six-way)"
4823,triple-threat tag team tables elimination
5013,handicap hardcore tag
5070,Dudley Boyz Invitational table match
5081,tag team battle royale
5171,tag team ladder
5181,10 minute hardcore battle royale (6 man)
5185,referee: Mick Foley no disqualification
5227,Acolytes' Rules (tag)
5235,"""Brooklyn Strap"""
5286,street fight (tag)
5322,"""Stinkface"""
5528,handicap tag elimination
5586,evening gown
5587,handicap tables dumpster
5663,battle royale (5 person)
5743,submission
5745,referee: Shawn Michaels 60 minute Ironman
5753,handicap lumberjack tables
5844,six man hardcore
5849,referee: Shane McMahon
5932,handicap steel cage
5969,15 minute hardcore battle royale (13 man)
5971,triple-threat tag team ladder
5972,"referee: Val Venis ""Catfight"""
5977,fatal 4-way elimination
5998,referee: Mick Foley referee: Triple H
6027,three-way
6049,no disqualification triple-threat
6122,"""Hell In A Cell"""
6163,no disqualification handicap tag
6284,"""swimsuit contest"" (7 participants)"
6296,"""Lumberjack Battle Royale"""
6327,5-way Tag elimination
6407,"""Pink Slip on a Pole"""
6437,"handicap ""Boiler Room Brawl"""
6440,"""Brahma Bull"" strap"
6442,no disqualification falls count anywhere
6463,"""chocolate pudding"""
6479,referee: Mae Young referee: The Fabulous Moolah four corners evening gown pool
6516,Anything Goes
6565,"""Gravy Bowl"""
6582,no holds barred handicap tag
6593,three-way hardcore
6601,technical wrestling tag
6713,no holds barred tag
6756,"""Good Housekeeping"""
6779,"""Ho Jack"""
6790,"""Texas Tornado"" tag"
6791,mud wrestling
6837,referee: The Rock
6841,handicap evening gown
6856,"""Kennel From Hell"""
6858,"""Six-Pack Challenge"""
6859,chokeslam
6861,"""Inferno"""
6863,handicap casket
6865,"""Boiler Room Brawl"""
6881,5-man Royal Rumble
6883,"""Pepper on a Pole"""
6895,5-way
6906,"""Buried Alive"" tag"
6926,"""Tuxedo"""
6931,7-team elimination tag
6965,referee: Shawn Michaels
6979,"""Tag Team Turmoil"""
6986,"""Lion's Den"" weapons"
6987,"""Love Her or Leave Her"""
6989,"""Kiss My Ass"""
6990,referee: Jesse Ventura triple-threat
6999,"""Nightstick"""
7013,"""Dog Collar"""
7039,triple-threat no disqualification falls count anywhere handicap (1 on 2)
7065,Dog Collar Match
7076,"""Bloodbath"""
7109,referee: Hardcore Holly
7110,"""Iron Circle"""
7121,"""Nightstick On A Pole"""
7145,hardcore evening gown
